"","filter","Yeast_HE_D5-Ctrl_a_pos_20190515_Run37.mzML","Yeast_HE_D5-Ctrl_b_pos_20190515_Run40.mzML","Yeast_HE_D5-Ctrl_c_pos_20190515_Run43.mzML","POS_D5-211-C3-a_Run145.mzML","POS_D5-211-C3-b_Run148.mzML","POS_D5-211-C3-c_Run151.mzML"
"38/217.1048mz/2.24min",993217.98,873157.44,1119584.6,874888.25,1008760.56,1289343.9,977675.4
"39/140.0683mz/2.46min",76501.37,43240.918,82358.17,86683.18,56074.7,116770.82,70644.57
"40/316.2117mz/2.52min",161528.7,378905,172567.9,192132.47,150489.5,97262.42,77598.91
"41/316.2116mz/2.68min",185968.305,483951.94,316461.5,108783.01,263153.6,91479,106367.36
"42/89.0598mz/2.74min",390795.97,1227202.5,462431.1,361792.6,350893.8,291523.2,419799.34
"43/272.1856mz/2.75min",251738.705,457010.9,316054.78,286595.44,216881.97,128447.54,111278.84
"44/217.1072mz/2.8min",233146.845,302399.5,251867.11,562677.25,192220.62,116858.55,214426.58
"45/257.0996mz/2.8min",561874.15,635531,551323.1,1194898,508213.3,402661.06,572425.2
"46/138.0551mz/2.83min",460692.37,729429,699165.94,635383.44,286001.3,200849,203142.55
"47/120.0445mz/2.83min",1570444.65,2561646,2504766,2225040,915849.3,692642.8,649178.9
"48/171.0993mz/2.86min",1600703.03,490318.56,475002.56,267178.84,2775283,2711087.5,2740815.2
"50/345.1519mz/3.14min",187049.055,252543.84,184725.34,539637.94,121691.53,69289.54,189372.77
"51/212.1259mz/3.19min",596632.77,538042.2,531660.56,545192.94,648072.6,741991.44,713541.7
"52/172.1333mz/3.19min",1086186,1050209.2,1000862.06,1013033.6,1136079.1,1122162.8,1157237.4
"53/194.1154mz/3.19min",6006171.25,5550690,5608868.5,5752086.5,6260256,6731986.5,6965845.5
"55/239.089mz/3.35min",816094.25,585025.5,621064.56,785703.9,1372424.4,846484.6,1858539.6
"56/194.1153mz/3.4min",193078.54,134364.14,526896.56,121655.08,959707.8,134859.06,251298.02
"57/219.0571mz/3.52min",763693.05,472468.16,704063.7,571939.8,965555.25,823322.4,937973.7
"58/233.0727mz/3.55min",82676.0375,111962.734,61915.23,174515.22,78579.875,52805.863,86772.2
"59/255.0545mz/3.56min",95364.98,103437.08,40652.473,154486.44,87292.88,56507.457,111116.914
"60/194.1153mz/3.54min",367839.39,436737.9,195951.27,170419.77,522701.1,374958.25,360720.53
"61/201.0597mz/3.65min",97654.925,183206.77,150574.69,383144.03,40963.363,30231.223,44735.16
"62/217.1072mz/3.66min",57923.9135,123977.27,96024.46,165238.33,12228.959,2445.7918,19823.367
"63/385.1466mz/3.66min",171843.75,311265.3,259329.77,648033.3,80572.67,56643.73,84357.73
"64/345.1541mz/3.66min",27907.35,50080.805,46512.25,134678.56,9302.45,9302.45,9302.45
"65/140.0683mz/3.71min",108991.4425,70989.58,104845.33,104798.42,137240.38,113137.555,164955.33
"66/322.0966mz/3.77min",63532.557,60915.984,55392.29,106577.98,66149.13,40524.695,66752.45
"67/302.1304mz/3.8min",701451.63,955356.5,634986.25,1293005.6,683627.2,542617.7,719276.06
"68/324.1123mz/3.8min",2121414.85,2224620.2,1698226.6,3029360.2,2023825.9,1645381.9,2219003.8
"69/217.1072mz/3.85min",56712.0185,77007.41,56348.49,150358.2,44209.293,30983.076,57075.547
"70/468.2438mz/3.85min",199411.28,326846.06,266037.78,521222.72,112931.63,84980.88,132784.78
"71/451.2171mz/3.84min",477594.03,556432.06,477445.4,979511.1,411725.56,338452.1,477742.66
"72/433.2065mz/3.84min",108208.15,140299.77,108370.22,256059.61,90804.086,68984.375,108046.08
"73/473.1992mz/3.84min",1761620,2087157.5,1775188.2,3451053.8,1518018.4,1231067.1,1748051.8
"74/245.0859mz/3.84min",467805.28,520364.78,465661.06,900811.2,424701.56,343213.8,469949.5
"75/300.1147mz/3.9min",720414,959815.4,733447.1,1374672.9,707380.9,568599.4,679704.5
"76/322.0966mz/3.9min",724038.405,789315.5,610660.44,1131831,723478.56,587789.25,724598.25
