"","filter","Yeast_HE_D5-Ctrl_a_neg_20190515_Run37.mzML","Yeast_HE_D5-Ctrl_b_neg_20190515_Run40.mzML","Yeast_HE_D5-Ctrl_c_neg_20190515_Run43.mzML","NEG_D5-227-C1-a_Run221.mzML","NEG_D5-227-C1-b_Run224.mzML","NEG_D5-227-C1-c_Run227.mzML"
"28/217.1047mz/2.24min",523894.464,873157.44,1119584.6,874888.25,174631.488,174631.488,174631.488
"29/140.0683mz/2.44min",25944.5508,43240.918,86922.38,86683.18,8648.1836,8648.1836,8648.1836
"30/316.2115mz/2.52min",103540.74,378905,172567.9,192132.47,34513.58,34513.58,34513.58
"31/121.0294mz/2.65min",498686.34,166228.78,166228.78,166228.78,831143.9,924592.1,839256.4
"32/316.2116mz/2.68min",65269.806,483951.94,316461.5,108783.01,21756.602,21756.602,21756.602
"33/89.0598mz/2.75min",217075.56,1227202.5,462431.1,361792.6,72358.52,72358.52,72358.52
"34/272.1855mz/2.75min",171957.264,457010.9,316054.78,286595.44,57319.088,57319.088,57319.088
"35/217.1071mz/2.8min",151120.266,302399.5,251867.11,562677.25,50373.422,50373.422,50373.422
"36/257.0995mz/2.8min",330793.86,635531,551323.1,1194898,110264.62,110264.62,110264.62
"37/120.0445mz/2.83min",1335024,2561646,2504766,2225040,445008,445008,445008
"38/138.0551mz/2.83min",381230.064,729429,699165.94,635383.44,127076.688,127076.688,127076.688
"40/172.0978mz/3.03min",270493.536,90164.512,90164.512,90164.512,515014.94,548585.9,450822.56
"41/165.0555mz/3.09min",462138.42,154046.14,154046.14,154046.14,774156.56,770230.7,859388.8
"42/345.1518mz/3.13min",110835.204,252543.84,184725.34,539637.94,36945.068,36945.068,36945.068
"43/172.1333mz/3.19min",600517.236,1050209.2,1000862.06,1013033.6,200172.412,200172.412,200172.412
"44/194.1153mz/3.19min",3330414,5550690,5608868.5,5752086.5,1110138,1110138,1110138
"46/239.089mz/3.35min",351015.3,585025.5,621064.56,785703.9,117005.1,117005.1,117005.1
"47/217.0421mz/3.52min",263755.2,87918.4,87918.4,87918.4,439592,660038.75,524772.44
"48/219.0571mz/3.52min",283480.896,472468.16,704063.7,571939.8,94493.632,94493.632,94493.632
"49/233.0726mz/3.55min",37149.138,111962.734,61915.23,174515.22,12383.046,12383.046,12383.046
"50/255.0545mz/3.55min",24391.4838,103437.08,40652.473,154486.44,8130.4946,8130.4946,8130.4946
"51/201.0596mz/3.65min",90344.814,183206.77,150574.69,383144.03,30114.938,30114.938,30114.938
"52/217.1071mz/3.66min",57614.676,123977.27,96024.46,165238.33,19204.892,19204.892,19204.892
"53/385.1465mz/3.65min",155597.862,311265.3,259329.77,648033.3,51865.954,51865.954,51865.954
