"","FC","log2(FC)","raw.pval","-log10(p)"
"729/385.7238mz/10.32min",0.036881,-4.761,1.0475e-07,6.9798
"149/344.3157mz/5.77min",0.037256,-4.7464,1.0765e-07,6.968
"742/89.5067mz/10.33min",0.038232,-4.7091,1.0792e-07,6.9669
"700/80.9479mz/10.18min",0.0375,-4.7369,1.1872e-07,6.9255
"707/615.4952mz/10.21min",0.037006,-4.7561,1.1998e-07,6.9209
"750/152.9949mz/10.34min",0.036919,-4.7595,1.2336e-07,6.9088
"823/111.039mz/10.53min",0.036876,-4.7612,1.259e-07,6.9
"38/138.0551mz/2.83min",0.036728,-4.767,1.4136e-07,6.8497
"577/377.3199mz/8.82min",0.036625,-4.771,1.4302e-07,6.8446
"526/391.2839mz/8.38min",0.03799,-4.7182,1.495e-07,6.8254
"647/395.3306mz/8.97min",0.036754,-4.7659,1.8267e-07,6.7383
"37/120.0445mz/2.83min",0.036408,-4.7796,1.8343e-07,6.7365
"121/448.2033mz/5.43min",0.036351,-4.7819,1.9433e-07,6.7115
"812/104.0302mz/10.49min",0.036318,-4.7832,2.0447e-07,6.6894
"130/437.193mz/5.58min",0.03688,-4.761,2.1797e-07,6.6616
"310/377.3202mz/7.47min",0.036396,-4.7801,2.3651e-07,6.6262
"452/352.3391mz/7.88min",0.037079,-4.7533,2.4619e-07,6.6087
"743/113.9636mz/10.33min",0.037492,-4.7373,2.8811e-07,6.5404
"467/579.2631mz/7.9min",0.03717,-4.7497,2.9444e-07,6.531
"449/378.2088mz/7.88min",0.036221,-4.787,3.006e-07,6.522
"211/433.19mz/6.37min",0.035922,-4.799,3.0101e-07,6.5214
"146/377.1662mz/5.72min",0.035932,-4.7986,3.1245e-07,6.5052
"114/318.3mz/5.24min",0.036802,-4.7641,3.2973e-07,6.4818
"101/568.2963mz/4.73min",0.035783,-4.8046,3.516e-07,6.454
"784/115.964mz/10.38min",0.036269,-4.7851,4.8928e-07,6.3104
"448/283.2631mz/7.88min",0.035539,-4.8145,4.9839e-07,6.3024
"349/579.2632mz/7.75min",0.036471,-4.7771,6.2099e-07,6.2069
"193/313.2347mz/6.19min",0.036909,-4.7599,7.3797e-07,6.132
"136/346.3313mz/5.66min",0.035266,-4.8256,7.9078e-07,6.1019
"212/275.083mz/6.38min",0.034871,-4.8418,8.1675e-07,6.0879
"205/255.243mz/6.3min",0.034726,-4.8478,8.8795e-07,6.0516
"170/359.2401mz/6.0min",0.034671,-4.8501,9.2282e-07,6.0349
"708/738.5038mz/10.22min",0.035449,-4.8181,9.7471e-07,6.0111
"674/613.4225mz/9.62min",0.034632,-4.8518,1.0131e-06,5.9944
"350/421.1559mz/7.75min",0.035733,-4.8066,1.0299e-06,5.9872
"163/328.3208mz/5.99min",0.034558,-4.8549,1.0824e-06,5.9656
"252/478.2924mz/7.17min",0.03447,-4.8585,1.1147e-06,5.9528
"749/141.9585mz/10.33min",0.036332,-4.7826,1.1617e-06,5.9349
"745/110.5217mz/10.34min",0.035715,-4.8073,1.2073e-06,5.9182
"308/481.2922mz/7.46min",0.034172,-4.871,1.4247e-06,5.8463
"530/393.2971mz/8.39min",0.035506,-4.8158,1.5291e-06,5.8156
"736/169.9772mz/10.33min",0.034026,-4.8772,1.7105e-06,5.7669
"155/631.3266mz/5.88min",0.033624,-4.8944,1.9418e-06,5.7118
"453/782.5661mz/7.88min",0.036135,-4.7904,2.0598e-06,5.6862
"648/851.7098mz/8.97min",0.033779,-4.8877,2.1312e-06,5.6714
"201/401.287mz/6.24min",0.035505,-4.8159,2.1523e-06,5.6671
"28/217.1047mz/2.24min",0.036328,-4.7828,2.3209e-06,5.6343
"318/579.2633mz/7.54min",0.036063,-4.7933,2.639e-06,5.5786
"145/887.3878mz/5.68min",0.033929,-4.8814,3.062e-06,5.514
"748/109.0224mz/10.34min",0.036024,-4.7949,3.0637e-06,5.5138
"126/302.3052mz/5.48min",0.03302,-4.9205,3.8682e-06,5.4125
"139/225.091mz/5.68min",0.032453,-4.9455,3.9357e-06,5.405
"138/118.0651mz/5.68min",0.032436,-4.9462,4.0578e-06,5.3917
"735/163.9905mz/10.33min",0.032367,-4.9493,4.0754e-06,5.3898
"127/303.3085mz/5.48min",0.032788,-4.9307,4.1089e-06,5.3863
"132/344.3157mz/5.61min",0.032598,-4.9391,4.1423e-06,5.3828
"140/279.0991mz/5.68min",0.032369,-4.9492,4.1714e-06,5.3797
"166/359.1532mz/5.99min",0.032297,-4.9525,4.2519e-06,5.3714
"229/577.3609mz/6.86min",0.032281,-4.9532,4.382e-06,5.3583
"451/351.2504mz/7.88min",0.032354,-4.9499,4.494e-06,5.3474
"83/455.1886mz/4.54min",0.034092,-4.8744,4.5813e-06,5.339
"172/372.347mz/6.04min",0.03244,-4.9461,4.8142e-06,5.3175
"533/312.3258mz/8.43min",0.033954,-4.8803,5.257e-06,5.2793
"157/330.3364mz/5.89min",0.032033,-4.9643,5.4354e-06,5.2648
"137/105.0335mz/5.68min",0.031879,-4.9713,5.4515e-06,5.2635
"131/300.2896mz/5.58min",0.031946,-4.9682,5.4632e-06,5.2625
"165/337.1712mz/5.99min",0.031718,-4.9785,5.7131e-06,5.2431
"113/671.2884mz/5.24min",0.032863,-4.9274,5.7409e-06,5.241
"144/211.0754mz/5.68min",0.03145,-4.9908,6.6985e-06,5.174
"141/320.1255mz/5.68min",0.031482,-4.9893,6.738e-06,5.1715
"522/338.3415mz/8.35min",0.032427,-4.9467,6.8569e-06,5.1639
"730/213.9827mz/10.32min",0.031325,-4.9965,6.926e-06,5.1595
"712/158.9641mz/10.23min",0.034854,-4.8425,6.957e-06,5.1576
"112/666.333mz/5.23min",0.032061,-4.963,7.0569e-06,5.1514
"287/237.2213mz/7.37min",0.032037,-4.9641,7.0807e-06,5.1499
"301/255.2318mz/7.38min",0.032225,-4.9557,7.1448e-06,5.146
"290/350.1775mz/7.37min",0.031267,-4.9992,7.2908e-06,5.1372
"187/372.1202mz/6.11min",0.033345,-4.9064,7.5861e-06,5.12
"630/378.3234mz/8.96min",0.031071,-5.0083,7.9316e-06,5.1006
"186/371.117mz/6.11min",0.033341,-4.9066,8.0172e-06,5.096
"569/546.4303mz/8.71min",0.032158,-4.9587,9.1042e-06,5.0408
"135/347.3347mz/5.65min",0.030503,-5.0349,1.0525e-05,4.9778
"703/589.4798mz/10.2min",0.030085,-5.0548,1.257e-05,4.9007
"189/412.1433mz/6.11min",0.031261,-4.9995,1.4961e-05,4.825
"84/236.0805mz/4.54min",0.032574,-4.9402,1.6139e-05,4.7921
"206/220.1122mz/6.31min",0.029008,-5.1074,1.838e-05,4.7357
"111/649.3063mz/5.23min",0.030891,-5.0167,1.849e-05,4.7331
"198/357.2608mz/6.22min",0.029242,-5.0958,2.0246e-05,4.6937
"733/174.9533mz/10.33min",0.033212,-4.9121,2.0511e-05,4.688
"342/408.3081mz/7.7min",0.029619,-5.0774,2.2537e-05,4.6471
"178/147.0805mz/6.1min",0.031775,-4.9759,2.4012e-05,4.6196
"181/349.135mz/6.1min",0.03191,-4.9699,2.467e-05,4.6078
"390/408.3082mz/7.77min",0.028652,-5.1252,2.4911e-05,4.6036
"82/450.2335mz/4.54min",0.030647,-5.0281,2.5002e-05,4.602
"184/255.5845mz/6.1min",0.030621,-5.0294,2.5282e-05,4.5972
"177/119.0856mz/6.1min",0.031549,-4.9863,2.718e-05,4.5658
"393/250.1777mz/7.78min",0.028288,-5.1437,2.9537e-05,4.5296
"179/165.0911mz/6.1min",0.031414,-4.9924,3.0266e-05,4.519
"59/324.1123mz/3.8min",0.029144,-5.1007,3.0533e-05,4.5152
"81/433.2067mz/4.54min",0.030821,-5.02,3.1356e-05,4.5037
"690/743.6156mz/10.04min",0.031636,-4.9823,3.3079e-05,4.4804
"681/226.9514mz/9.94min",0.027248,-5.1977,3.3879e-05,4.4701
"185/219.057mz/6.11min",0.030602,-5.0303,3.5347e-05,4.4516
"411/213.9829mz/7.87min",0.027734,-5.1722,3.9798e-05,4.4001
"67/300.1147mz/3.9min",0.028523,-5.1317,4.1947e-05,4.3773
"188/719.245mz/6.11min",0.029541,-5.0811,4.4103e-05,4.3555
"673/587.4644mz/9.62min",0.027192,-5.2007,5.2758e-05,4.2777
"506/851.7097mz/8.22min",0.027346,-5.1925,5.3873e-05,4.2686
"313/365.266mz/7.51min",0.026257,-5.2512,5.3998e-05,4.2676
"656/823.6788mz/8.98min",0.025609,-5.2872,5.754e-05,4.24
"688/771.6468mz/10.03min",0.030563,-5.0321,5.9059e-05,4.2287
"705/216.9227mz/10.2min",0.026973,-5.2124,6.1116e-05,4.2138
"66/473.1992mz/3.85min",0.02896,-5.1098,6.279e-05,4.2021
"58/302.1304mz/3.8min",0.026275,-5.2502,6.317e-05,4.1995
"579/378.3233mz/8.82min",0.030406,-5.0395,7.094e-05,4.1491
"553/213.9829mz/8.58min",0.028482,-5.1338,7.2466e-05,4.1399
"562/366.3727mz/8.67min",0.030503,-5.0349,8.2173e-05,4.0853
"716/226.9514mz/10.23min",0.028953,-5.1101,0.00013424,3.8721
"424/716.5229mz/7.85min",23.497,4.5544,0.00014192,3.8479
"327/131.5336mz/7.61min",0.020934,-5.578,0.00019199,3.7167
"482/690.5064mz/8.21min",0.025157,-5.3129,0.00021544,3.6667
"182/697.2629mz/6.1min",0.024713,-5.3386,0.00022012,3.6573
"699/144.9822mz/10.18min",0.020266,-5.6248,0.00024831,3.605
"414/281.248mz/7.87min",317.04,8.3085,0.00034834,3.458
"698/146.9803mz/10.17min",0.023518,-5.4101,0.00053732,3.2698
"725/716.5227mz/10.25min",0.044362,-4.4945,0.00065963,3.1807
"828/169.9773mz/10.81min",0.018425,-5.7622,0.00083614,3.0777
"485/468.1676mz/8.2min",52.008,5.7007,0.0024512,2.6106
"463/752.5197mz/7.9min",0.013249,-6.238,0.0033277,2.4778
"675/879.7408mz/9.63min",0.052452,-4.2529,0.0078094,2.1074
"639/827.7096mz/8.96min",0.051407,-4.2819,0.0080496,2.0942
