"","PC1","PC2","PC3","PC4","PC5","PC6"
"Yeast_HE_D5-Ctrl_a_neg_20190515_Run37.mzML",-10.569,1.3934,0.12171,-0.00038481,0.0032274,2.1164e-15
"Yeast_HE_D5-Ctrl_b_neg_20190515_Run40.mzML",-10.806,-0.82866,0.8678,-0.0010112,0.0070129,3.8927e-15
"Yeast_HE_D5-Ctrl_c_neg_20190515_Run43.mzML",-10.679,-0.55264,-0.99402,0.00035699,-0.011131,3.6221e-15
"NEG_D5-227-C1-a_Run221.mzML",10.652,-0.0092428,-0.016464,0.30763,0.46286,4.4617e-15
"NEG_D5-227-C1-b_Run224.mzML",10.709,-0.0040005,-0.00018506,-0.60121,0.0070037,4.8572e-16
"NEG_D5-227-C1-c_Run227.mzML",10.692,0.0011328,0.021156,0.29462,-0.46897,8.4655e-16
