filename	ATTRIBUTE_GROUP
POS_TJGI2pt1_EV_gpdA_CTRL_1_Run13.mzML	CTRL
POS_TJGI2pt1_EV_gpdA_CTRL_2_Run143.mzML	CTRL
POS_TJGI2pt1_EV_gpdA_CTRL_3_Run194.mzML	CTRL
POS_TJGIp11_1_Run25.mzML	EXP
POS_TJGIp11_2_Run123.mzML	EXP
POS_TJGIp11_3_Run149.mzML	EXP
