row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,POS_TJGIp11_2_Run123.mzML Peak area,POS_TJGI2pt1_EV_gpdA_CTRL_3_Run194.mzML Peak area,POS_TJGIp11_3_Run149.mzML Peak area,POS_TJGI2pt1_EV_gpdA_CTRL_2_Run143.mzML Peak area,POS_TJGIp11_1_Run25.mzML Peak area,POS_TJGI2pt1_EV_gpdA_CTRL_1_Run13.mzML Peak area,
7275,81.52048008271143,10.575883,,,,161,,,,,,,1.9447778E7,2.0330492E7,2.0975014E7,1.932696E7,1.2462171E7,1.0930083E7,
43,83.02155051204,0.3713592,,,,198,,,,,,,1168046.4,695760.1,744964.75,443049.25,117808.4,925369.25,
115,83.04912051980564,0.42676225,,,,,,,,,,,1361175.4,193496.98,727408.25,95195.48,318394.34,1276522.5,
7286,84.95962022194239,10.605971,,,,,,,,,,,692908.44,885299.94,1474271.9,1065688.8,771105.9,797549.94,
138,84.95971604667874,0.5123287,,,,,,,,,,,772318.9,935086.5,460638.62,1016364.6,626275.7,329141.2,
131,85.02841532823571,0.47070852,,,,,,,,,,,1326418.1,163554.66,444410.66,128442.95,500132.66,292944.72,
186,86.0600816621179,0.75115305,,,,,,,,,,,407628.62,288769.25,119947.52,164002.6,327335.97,1558851.8,
124,86.09641033535569,0.45883605,,,,,,,,,,,167689.75,224805.0,150134.98,348697.5,201496.2,96101.31,
143,86.09643139163573,0.5616544,,,,,,,,,,,906791.1,271063.38,262166.62,363237.25,612526.4,253938.94,
229,86.09643239196669,0.9918205,,,,,,,,,,,188931.02,128490.54,66552.33,104759.19,86885.734,112737.56,
255,86.09644505499305,1.2171928,,,,,,,,,,,213493.72,86714.81,38296.55,209827.58,158604.84,111993.92,
178,86.0964467382351,0.75674325,,,,,,,,,,,3984434.2,2311470.8,3329479.2,1747173.1,2395264.2,140926.78,
208,86.09645553008265,0.88869375,,,,,,,,,,,464335.94,290758.75,51938.68,245333.12,175320.64,106158.766,
76,87.04405483623202,0.38175562,,,,198,,,,,,,2030207.2,1008534.3,217361.31,938313.06,128046.78,1264428.5,
491,87.04415258005555,3.3021853,,,,77,,,,,,,10522.808,1744242.0,28812.621,1678397.4,52880.895,2501364.0,
610,88.0216065235399,3.696381,,,,,,,,,,,3566.0098,243793.14,0,212226.08,0,415053.3,
7241,90.50664021119142,10.4809885,,,,,,,,,,,722571.75,660233.0,772088.7,736907.6,1321786.2,1193958.5,
7277,90.52581841209324,10.578461,,,,161,,,,,,,4.067988E7,4.075902E7,4.2685084E7,3.454431E7,2.8317806E7,2.5556516E7,
21,90.97663658653188,0.3363435,,,,24,,,,,,,866775.9,771972.6,628894.94,809093.56,718246.0,1124686.0,
3387,91.05421541727058,6.4694614,,,,,,,,,,,392174.84,389777.7,374058.8,451423.6,560799.44,1117498.4,
7256,94.04500768908561,10.519687,,,,202,,,,,,,3744084.2,3544035.2,4310498.0,3881946.2,2865724.0,2823702.2,
110,95.04910651091144,0.40609196,,,,,,,,,,,369448.66,229805.03,140342.66,69181.586,151920.44,1323119.4,
7276,97.99127095503991,10.577637,,,,161,,,,,,,8012134.5,8213572.5,8761201.0,8150723.5,5363139.0,4909932.0,
7347,98.51198226855576,10.8896055,,,,,,,,,,,1054160.9,176896.31,912103.06,730408.56,1.2516862E7,1.4610938E7,
7388,98.51198300592903,10.993942,,,,,,,,,,,4820749.5,257352.28,996376.7,901874.56,1980884.0,975676.1,
