row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,Yeast_HE_D5-Ctrl_b_pos_20190515_Run40.mzML Peak area,Yeast_HE_D5-Ctrl_a_pos_20190515_Run37.mzML Peak area,Yeast_HE_D5-Ctrl_c_pos_20190515_Run43.mzML Peak area,POS_D5-227-C1-a_Run220.mzML Peak area,POS_D5-227-C1-c_Run226.mzML Peak area,POS_D5-227-C1-b_Run223.mzML Peak area,
615,80.94785890526141,10.183045,,,,,,,,,,,849612.6,930464.2,815978.7,375757.5,423413.94,432958.9,
444,80.94792347504382,7.855746,,,,4,,,,,,,766733.0,554205.44,662708.0,145125.55,421895.16,356431.12,
415,80.9479258990358,7.766971,,,,12,,,,,,,878339.6,608120.56,868997.2,337491.16,358264.7,328604.38,
304,80.94793234463081,7.3734956,,,,6,,,,,,,605250.75,453578.38,696817.56,380046.22,368525.53,373449.88,
714,81.52052532224639,10.480094,,,,57,,,,,,,2.7274882E7,2.9259034E7,2.7966768E7,3.1908814E7,3.1192734E7,2.8361916E7,
26,84.95979548683466,0.42870104,,,,,,,,,,,2772350.2,4099752.5,1.0379863E7,9781919.0,4028111.5,4100355.2,
41,89.05978584352862,2.7418873,,,,,,,,,,,462431.1,1227202.5,361792.6,376937.4,268692.7,45520.92,
651,89.50667564075582,10.325378,,,,25,,,,,,,1.144064E7,1.1433834E7,1.2806039E7,1.6854796E7,1.710818E7,1.5869328E7,
679,90.5067049386534,10.367184,,,,25,,,,,,,4709399.5,4638022.0,4725757.5,4610901.5,4644679.5,4631610.0,
720,90.5259015293247,10.501766,,,,57,,,,,,,4.0922364E7,4.135648E7,3.760239E7,3.7602944E7,4.003552E7,3.9922904E7,
441,90.9767102884917,7.871282,,,,4,41,[M-H2O+2H]+2,,2,441;447,197.94975,1133448.1,912886.9,1185922.0,976519.6,1232804.5,1345018.0,
281,90.97672541170861,7.367227,,,,6,32,[M-H2O+2H]+2,,2,281;284,197.94976,1378564.1,1160519.4,1555573.4,1823196.1,1956574.6,1951526.2,
680,91.50440645817578,10.367187,,,,25,,,,,,,1792999.4,1763337.5,1804893.0,1739647.6,1778511.0,1741790.5,
706,94.04511510252395,10.450664,,,,57,,,,,,,4974401.0,4939875.0,4732135.5,5256815.5,5283314.5,5212090.5,
653,97.51442042064589,10.326184,,,,25,53,[M+NH4]+,,2,653;646,79.48076,1307722.9,1388868.0,1278102.9,1730120.9,1489460.0,1625394.5,
14,97.96884400409283,0.3188317,,,,30,,,,,,,158515.05,189730.44,188352.1,276095.78,219167.61,240048.38,
3,97.96884544102073,0.03493352,,,,0,,,,,,,110124.95,84880.164,114579.016,441643.88,451651.22,453865.97,
722,97.99137792977939,10.5062895,,,,57,,,,,,,9588389.0,9013835.0,9387882.0,9935254.0,9057955.0,1.0136707E7,
652,98.5120539361673,10.325383,,,,25,,,,,,,2.3580524E7,2.2551964E7,2.2928398E7,2.6799984E7,2.6650754E7,2.8556654E7,
610,101.07093932576556,10.171548,,,,,,,,,,,2060736.9,2096919.2,2015990.6,1854662.6,2004702.9,1956214.0,
710,102.03388194511992,10.477294,,,,57,,,,,,,1.4028165E8,1.3853955E8,1.4515152E8,1.5225882E8,1.5264906E8,1.5218024E8,
711,102.53544847238254,10.478166,,,,57,,,,,,,1.2205041E7,1.1980027E7,1.2592613E7,1.3323257E7,1.3230821E7,1.3311812E7,
712,104.03023308326696,10.479924,,,,57,,,,,,,3615046.0,3202513.0,3703096.5,3894587.5,3891969.5,3851910.5,
156,105.03354195792714,5.6743836,,,,44,,,,,,,2467678.5,1846915.0,2597630.5,3180531.2,3080523.2,4058786.2,
659,109.02246471513656,10.33056,,,,25,52,[M+NH4]+,,2,640;659,90.98879,7381046.5,5669208.0,5644671.0,6499838.5,8150811.5,6427827.0,
695,109.52169512761652,10.379359,,,,25,,,,,,,5096003.0,4941068.0,5259094.5,5226885.5,5236038.0,5185113.0,
648,110.02008000368762,10.32363,,,,25,,,,,,,9.046508E7,8.930242E7,9.133548E7,1.2493721E8,1.2767631E8,1.2507162E8,
654,110.52175034876036,10.326325,,,,25,54,[M+Na]+,,2,655;654,87.5323,6168187.0,6615303.0,7821718.5,7693133.5,9678861.0,9627669.0,
681,111.02019110075854,10.367187,,,,25,60,[M+NH4]+,,2,681;678,92.98659,7.939425E7,7.915511E7,8.0734264E7,7.730103E7,7.917188E7,7.8259624E7,
332,111.0202553861872,7.5764527,,,,,,,,,,,9289799.0,9075690.0,9132433.0,1.103163E7,1.091601E7,2.3625436E7,
723,111.03902040950804,10.526544,,,,57,,,,,,,1.2155978E7,1.0615713E7,1.1574239E7,9796878.0,9958126.0,1.0269315E7,
687,111.51892221445877,10.368927,,,,25,,,,,,,2008572.1,1924844.1,2014142.6,1930546.4,1920940.6,2001892.9,
315,111.51897620500831,7.5216923,,,,,,,,,,,159191.6,104454.25,161542.95,100065.875,498308.66,117206.26,
674,111.52176464567158,10.365441,,,,25,,,,,,,6787262.5,6691522.5,6880642.5,6605728.0,6739104.5,6561233.5,
329,111.52186890427437,7.5827503,,,,,,,,,,,794441.75,753108.1,785140.6,2037027.8,899047.2,930974.0,
682,112.0178258747258,10.367187,,,,25,,,,,,,3.1093494E7,3.0950596E7,3.1442178E7,3.037323E7,3.0822664E7,3.0653612E7,
683,112.5195585737671,10.367187,,,,25,,,,,,,2206800.8,2166385.2,2212751.0,2157541.5,2192955.2,2200950.5,
684,113.01657969493776,10.367187,,,,25,,,,,,,4348225.0,4360230.5,4455318.5,4270871.5,4330119.5,4322707.0,
311,113.01669638096526,7.5207696,,,,,,,,,,,429121.34,434396.03,467320.53,519061.56,530054.2,1082789.2,
366,113.01669898477326,7.6506734,,,,,,,,,,,439582.66,385120.5,351185.25,537200.5,1305931.0,502788.7,
656,113.96358076659016,10.328011,,,,25,,,,,,,7057517.0,8225338.5,7176085.0,8952330.0,3748079.0,8131610.5,
17,113.96378317745534,0.32064247,,,,30,,,,,,,2057201.1,1645683.8,2389126.8,2470759.8,2541364.5,2508317.8,
8,113.96378511958552,0.03673382,,,,0,,,,,,,2782697.0,2728314.8,2835497.2,2669090.2,2908350.0,2583674.8,
669,114.01648408726696,10.363853,,,,25,,,,,,,1105818.0,1043150.6,1113333.8,1043120.25,1079313.8,1071797.6,
692,115.96398261964579,10.374035,,,,25,,,,,,,2001137.5,2156360.2,2425267.5,2271452.8,2094720.8,2158075.2,
19,116.97195717133194,0.32517397,,,,30,,,,,,,983248.2,593772.5,930963.44,859345.5,953531.3,609884.4,
150,118.06512590779921,5.673406,,,,44,,,,,,,1088992.5,832281.06,1140044.9,1376488.5,1334923.6,1728296.6,
192,119.08559666472907,6.1009464,,,,39,,,,,,,2233152.8,1330526.4,1468033.6,1089302.0,1106045.8,1763681.0,
45,120.04446333721455,2.829502,,,,41,,,,,,,2504766.0,2561646.0,2225040.0,4333007.0,3413434.5,5065797.5,
716,125.98620804426979,10.482829,,,,57,,,,,,,2.1710632E7,2.3375738E7,2.2511954E7,2.3294382E7,1.9097116E7,2.1110774E7,
24,128.95082655706722,0.41952452,,,,19,,,,,,,2565770.5,2388062.0,2683212.5,2674589.0,2816309.2,2892632.2,
704,130.5216599794684,10.402403,,,,25,,,,,,,2255533.8,2379528.2,2290723.8,2473039.5,2408403.8,2198114.5,
671,131.533509555042,10.364572,,,,25,,,,,,,6902001.0,6743107.5,7144073.5,6475719.5,6704075.5,6521920.0,
335,131.5336182244402,7.616117,,,,,,,,,,,2525547.2,884824.8,2123222.5,2827239.2,2762946.8,2351891.2,
527,136.02165358010282,8.404097,,,,,,,,,,,4750310.0,4908357.5,4705572.0,877481.5,896394.44,905583.56,
35,136.0394867906611,1.7371978,,,,27,,,,,,,2152909.8,2348383.2,4251467.5,3410112.0,3416677.2,3759380.5,
46,138.05508182443745,2.829502,,,,41,,,,,,,699165.94,729429.0,635383.44,1235076.8,981981.2,1478109.4,
32,138.0550900520633,1.6760293,,,,,,,,,,,2189070.2,2169571.0,3493681.5,3118424.0,2854029.0,3529550.8,
649,138.99534533543405,10.324501,,,,25,,,,,,,4422416.5,4209994.0,4454389.5,5455751.5,3456751.2,5489091.0,
721,139.01791488455544,10.506262,,,,57,,,,,,,1.0482867E7,1.0097925E7,1.011755E7,1.090758E7,1.0584179E7,1.1397723E7,
10,139.96344721293943,0.31792757,,,,,,,,,,,494610.56,285581.03,429039.34,673217.5,373506.94,284039.06,
6,139.96346627765837,0.03763728,,,,,,,,,,,161978.84,488679.5,416391.4,675531.0,491685.8,499569.84,
667,139.98789855251007,10.363692,,,,25,,,,,,,2.7495566E7,2.6880322E7,2.7274766E7,2.7143418E7,2.673887E7,2.7258574E7,
629,140.06820071643634,10.245896,,,,,,,,,,,560391.5,659295.6,596098.6,465742.3,474102.2,442346.28,
38,140.06828603532074,2.4559433,,,,,,,,,,,86922.38,43240.918,86683.18,66980.586,77996.19,106239.73,
435,140.06829696281488,7.853189,,,,4,,,,,,,387615.97,367544.5,402318.38,450704.84,251166.19,455658.72,
306,140.06830046841011,7.3779902,,,,6,,,,,,,469224.88,415988.38,470809.44,530644.0,644926.94,539080.2,
65,140.0683052626351,3.7247763,,,,,,,,,,,104845.33,70989.58,104798.42,26222.422,131149.33,58163.613,
29,140.06835580398965,0.7529053,,,,,,,,,,,64047.188,46657.848,53964.414,75270.516,39456.656,122357.72,
25,140.0683756193796,0.42793655,,,,,,,,,,,12674.139,95858.18,33420.164,67082.414,75973.7,77326.58,
646,141.95854912352502,10.32538,,,,25,53,[2M-H2O+H]+,,2,653;646,79.48076,1977538.4,1692146.6,1755625.9,2559718.8,2617236.5,2583911.8,
13,141.95875940625572,0.3197331,,,,30,,,,,,,1.4746755E7,8587854.0,5522232.0,9327331.0,9835502.0,4539947.5,
2,141.9587644086379,0.034033526,,,,0,,,,,,,8401688.0,1.1490568E7,1.0876501E7,1.06108E7,1.0772637E7,1.0955134E7,
672,141.98334234269697,10.365417,,,,25,,,,,,,1.0441034E7,1.036238E7,1.0472705E7,1.0315952E7,1.024447E7,1.0374588E7,
11,143.9591287379558,0.32064208,,,,,,,,,,,490633.8,283899.4,840383.1,175598.12,492386.47,388813.25,
1,143.959201144784,0.034033876,,,,,,,,,,,91169.72,221170.83,248489.75,144835.02,113437.88,296712.2,
673,143.98088990111967,10.365433,,,,25,56,[M-H+2Na]+,,2,673;666,99.00928,1370583.1,1370528.0,1361345.8,1333994.2,1340466.1,1366457.9,
701,144.98212093931252,10.38609,,,,,,,,,,,3566643.0,3028622.8,3571936.5,3408599.2,3241733.8,3123036.5,
