filename	ATTRIBUTE_GROUP
Anid_HE_TJG15pt3_EV_alcA_CTRL_1_YT_neg_20210511_Run47.mzML	CTRL
Anid_HE_TJG15pt3_EV_alcA_CTRL_2_YT_neg_20210511_Run103.mzML	CTRL
Anid_HE_TJG15pt3_EV_alcA_CTRL_3_YT_neg_20210511_Run213.mzML	CTRL
NEG_TJGIp3_1_Run56.mzML	EXP
NEG_TJGIp3_2_Run138.mzML	EXP
NEG_TJGIp3_3_Run174.mzML	EXP
