"","Filename","2024_NEG_Anid-EV-alcA_CTRL_1_Run177.mzML","2024_NEG_Anid-EV-alcA_CTRL_2_Run198.mzML","2024_NEG_Anid-EV-alcA_CTRL_3_Run230.mzML","2024_NEG_Anid-p2_1_Run180.mzML","2024_NEG_Anid-p2_2_Run221.mzML","2024_NEG_Anid-p2_3_Run242.mzML"
"1","Class","CTRL","CTRL","CTRL","EXP","EXP","EXP"
"2","152/244.0826mz/2.02min","2577503.5","3731052.5","2667412.5","1966925.2","2540869.2","1603398.9"
"3","153/158.0822mz/2.03min","259831.66","302934.16","7906600.5","3144657.8","631037.25","4615123.0"
"4","155/345.13mz/2.04min","362393.1","508853.12","113857.02","232438.94","149931.36","182843.84"
"5","158/327.1199mz/2.05min","84226.414","87101.0","610731.5","37700.53","106769.29","182980.7"
"6","162/182.0458mz/2.08min","3298662.2","2149809.8","1064724.5","644983.7","997020.9","871175.4"
"7","163/224.0564mz/2.08min","592865.3","552852.2","1321528.2","577731.5","1184360.0","1227796.9"
"8","165/283.0606mz/2.1min","731347.7","472526.3","202640.4","86777.74","159249.25","200334.67"
"9","166/293.1143mz/2.09min","4610.924","20826.977","155723.66","6204.6133","8895.16","71917.93"
"10","167/220.0649mz/2.1min","5975262.5","6207557.0","4215460.0","2028091.4","1833378.5","3468977.2"
"11","168/231.0986mz/2.1min","40907.02","58407.41","1778936.5","614682.94","284363.53","776391.25"
"12","170/224.1041mz/2.11min","495990.53","650229.2","0.0","157501.72","295039.2","143290.56"
"13","171/242.067mz/2.11min","1760987.0","1730965.4","1262416.9","1514990.5","2039817.9","1616064.5"
"14","172/117.0558mz/2.12min","1874189.6","2847821.5","3754308.2","1321114.2","1840433.2","1981198.2"
"15","173/196.0615mz/2.14min","567791.3","144172.64","525161.4","606361.2","894448.1","692924.6"
"16","174/163.9861mz/2.12min","3313524.0","1915012.8","1821852.6","3559215.0","2619507.2","2299891.0"
"17","177/240.0514mz/2.14min","1392183.2","1788058.9","2117995.8","3040798.0","4342391.5","3492619.2"
"18","178/259.1299mz/2.14min","244162.92","436387.5","359874.25","212843.19","120996.75","318717.8"
"19","182/356.1345mz/2.16min","604203.4","248253.66","649078.1","43604.72","274234.38","248058.69"
"20","183/212.0565mz/2.17min","434462.8","195140.47","132857.53","171105.17","367593.47","310303.2"
"21","185/225.0881mz/2.15min","395410.0","1166024.5","1180093.8","971462.1","992150.1","949030.6"
"22","186/147.0663mz/2.15min","257736.12","428241.4","51371.625","0.0","18393.203","4618.419"
"23","187/240.0877mz/2.17min","479764.03","557589.6","425966.0","127301.305","406978.0","323714.62"
"24","188/281.0991mz/2.18min","1249143.8","1623513.9","5151419.0","2765549.8","1334565.4","3424061.0"
"25","191/303.0813mz/2.18min","139493.23","70802.51","627304.06","220166.73","154038.03","438484.97"
"26","192/459.1965mz/2.18min","12388.076","37927.27","339070.03","157730.31","20044.926","203542.34"
"27","193/254.08mz/2.18min","86169.0","258126.75","1199418.5","280940.8","89318.45","571030.4"
"28","194/218.1034mz/2.18min","5747325.0","7329235.5","27927002.0","14414182.0","6181668.0","18404022.0"
"29","195/175.0611mz/2.18min","146875.45","242438.34","443509.62","394512.3","241240.75","489724.66"
"30","196/219.1067mz/2.18min","538810.4","662591.2","2661463.0","1358055.0","548770.6","1770314.8"
"31","197/437.214mz/2.18min","306731.12","423089.72","6024131.5","1919398.8","352258.47","2987427.2"
"32","198/343.1143mz/2.2min","408258.3","551525.44","174376.47","214984.53","339621.78","187006.11"
"33","200/184.0615mz/2.22min","454538.03","570823.5","446777.38","341276.0","323343.9","159703.83"
"34","201/305.9633mz/2.21min","244507.64","315403.97","0.0","0.0","5654.415","0.0"
"35","202/197.0454mz/2.21min","53259.95","20910.504","1008331.6","266601.56","972349.56","807175.7"
"36","203/145.0507mz/2.22min","1083696.1","1231053.5","3019616.0","1651181.4","1104975.4","1978217.6"
"37","204/382.1002mz/2.22min","190503.97","293228.88","534981.6","830419.5","503250.53","1094368.6"
