"","filter","2024_NEG_Anid-EV-alcA_CTRL_1_Run177.mzML","2024_NEG_Anid-EV-alcA_CTRL_2_Run198.mzML","2024_NEG_Anid-EV-alcA_CTRL_3_Run230.mzML","2024_NEG_Anid-p2_1_Run180.mzML","2024_NEG_Anid-p2_2_Run221.mzML","2024_NEG_Anid-p2_3_Run242.mzML"
"152/244.0826mz/2.02min",2559186.35,2577503.5,3731052.5,2667412.5,1966925.2,2540869.2,1603398.9
"153/158.0822mz/2.03min",1887847.525,259831.66,302934.16,7906600.5,3144657.8,631037.25,4615123
"155/345.13mz/2.04min",207641.39,362393.1,508853.12,113857.02,232438.94,149931.36,182843.84
"158/327.1199mz/2.05min",96935.145,84226.414,87101,610731.5,37700.53,106769.29,182980.7
"162/182.0458mz/2.08min",1030872.7,3298662.2,2149809.8,1064724.5,644983.7,997020.9,871175.4
"163/224.0564mz/2.08min",888612.65,592865.3,552852.2,1321528.2,577731.5,1184360,1227796.9
"165/283.0606mz/2.1min",201487.535,731347.7,472526.3,202640.4,86777.74,159249.25,200334.67
"166/293.1143mz/2.09min",14861.0685,4610.924,20826.977,155723.66,6204.6133,8895.16,71917.93
"167/220.0649mz/2.1min",3842218.6,5975262.5,6207557,4215460,2028091.4,1833378.5,3468977.2
"168/231.0986mz/2.1min",449523.235,40907.02,58407.41,1778936.5,614682.94,284363.53,776391.25
"170/224.1041mz/2.11min",226270.46,495990.53,650229.2,28658.112,157501.72,295039.2,143290.56
"171/242.067mz/2.11min",1673514.95,1760987,1730965.4,1262416.9,1514990.5,2039817.9,1616064.5
"172/117.0558mz/2.12min",1927693.9,1874189.6,2847821.5,3754308.2,1321114.2,1840433.2,1981198.2
"173/196.0615mz/2.14min",587076.25,567791.3,144172.64,525161.4,606361.2,894448.1,692924.6
"174/163.9861mz/2.12min",2459699.1,3313524,1915012.8,1821852.6,3559215,2619507.2,2299891
"177/240.0514mz/2.14min",2579396.9,1392183.2,1788058.9,2117995.8,3040798,4342391.5,3492619.2
"178/259.1299mz/2.14min",281440.36,244162.92,436387.5,359874.25,212843.19,120996.75,318717.8
"182/356.1345mz/2.16min",261244.02,604203.4,248253.66,649078.1,43604.72,274234.38,248058.69
"183/212.0565mz/2.17min",252721.835,434462.8,195140.47,132857.53,171105.17,367593.47,310303.2
"185/225.0881mz/2.15min",981806.1,395410,1166024.5,1180093.8,971462.1,992150.1,949030.6
"186/147.0663mz/2.15min",34882.414,257736.12,428241.4,51371.625,923.6838,18393.203,4618.419
"187/240.0877mz/2.17min",416472,479764.03,557589.6,425966,127301.305,406978,323714.62
"188/281.0991mz/2.18min",2194531.85,1249143.8,1623513.9,5151419,2765549.8,1334565.4,3424061
"191/303.0813mz/2.18min",187102.38,139493.23,70802.51,627304.06,220166.73,154038.03,438484.97
"192/459.1965mz/2.18min",97828.79,12388.076,37927.27,339070.03,157730.31,20044.926,203542.34
"193/254.08mz/2.18min",269533.775,86169,258126.75,1199418.5,280940.8,89318.45,571030.4
"194/218.1034mz/2.18min",10871708.75,5747325,7329235.5,27927002,14414182,6181668,18404022
"195/175.0611mz/2.18min",318475.32,146875.45,242438.34,443509.62,394512.3,241240.75,489724.66
"196/219.1067mz/2.18min",1010323.1,538810.4,662591.2,2661463,1358055,548770.6,1770314.8
"197/437.214mz/2.18min",1171244.26,306731.12,423089.72,6024131.5,1919398.8,352258.47,2987427.2
"198/343.1143mz/2.2min",277303.155,408258.3,551525.44,174376.47,214984.53,339621.78,187006.11
"200/184.0615mz/2.22min",394026.69,454538.03,570823.5,446777.38,341276,323343.9,159703.83
"201/305.9633mz/2.21min",3392.649,244507.64,315403.97,1130.883,1130.883,5654.415,1130.883
"202/197.0454mz/2.21min",536888.63,53259.95,20910.504,1008331.6,266601.56,972349.56,807175.7
"203/145.0507mz/2.22min",1441117.45,1083696.1,1231053.5,3019616,1651181.4,1104975.4,1978217.6
"204/382.1002mz/2.22min",519116.065,190503.97,293228.88,534981.6,830419.5,503250.53,1094368.6
"205/235.0724mz/2.23min",290806.445,59468.758,85560.945,149227.19,432385.7,548526.44,553684.7
"207/273.1092mz/2.24min",267873.17,59366.043,91603.664,181362.94,824305.3,354383.4,708085.25
"208/317.0991mz/2.23min",1129867.35,283774.4,382950.2,269606.22,3232801.8,1876784.5,2635282.5
"209/283.0936mz/2.24min",972637.2,985292.9,1234650,1086141.5,813316.25,959981.5,807785.8
"211/200.0565mz/2.25min",570169.03,355136.94,390730.34,451728.62,688609.44,781812,697695.3
"214/446.1778mz/2.27min",301432.315,333825.84,505922.66,325500.16,190984.55,277364.47,240857.97
"215/196.0615mz/2.27min",449327.095,476161.03,902358,230282.55,498291.88,92972.42,422493.16
"217/125.0245mz/2.27min",373197.28,375410.9,329822.66,370983.66,926066.7,990544.2,176426.47
"218/181.0508mz/2.28min",460393.36,726316,786359.56,510212.97,270265.66,410573.75,372591.28
"219/360.0723mz/2.28min",103235.712,516178.56,834204.44,103235.712,103235.712,103235.712,103235.712
"220/330.0986mz/2.29min",54176.922,137218.19,90294.87,144354.33,18058.974,18058.974,18058.974
