Filename	Class
2024_POS_Y-EV_1_CTRL_Run88.mzML	CTRL
2024_POS_Y-EV_2_CTRL_Run117.mzML	CTRL
2024_POS_Y-EV_3_CTRL_Run138.mzML	CTRL
2024_POS_Y-p11_1_Run97.mzML	EXP
2024_POS_Y-p11_2_Run126.mzML	EXP
2024_POS_Y-p11_3_Run150.mzML	EXP
