row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,NEG_TJGIp1_3_Run186.mzML Peak area,NEG_TJGI15pt3_EV_alcA-Control_2_Run115.mzML Peak area,NEG_TJGIp1_2_Run100.mzML Peak area,NEG_TJGI15pt3_EV_alcA-Control_3_Run204.mzML Peak area,NEG_TJGI15pt3_EV_alcA-Control_1_Run32.mzML Peak area,NEG_TJGIp1_1_Run35.mzML Peak area,Unnamed: 19
276,314.10342401964317,4.335102,,,,26.0,,,,,,,541857.8,365100.84,502131.1,403876.97,390010.94,533041.9,
170,314.10348772208334,3.3735303999999995,,,,,,,,,,,79237.01,55715.265999999996,73068.414,58925.77,63866.51,104262.72,
699,315.25384140850133,5.8843865,,,,50.0,,,,,,,1620450.9,1513304.1,1732788.9,1607978.8,1385309.5,1666181.1,
660,315.25389249915514,5.780706400000001,,,,63.0,,,,,,,568899.75,465385.97,536639.9,525867.44,554574.9,581196.56,
1123,315.2539625815291,6.9985833,,,,71.0,,,,,,,835313.4,920582.25,428328.0,1044232.1,563163.06,588183.6,
1082,315.2539748100755,6.9017963,,,,92.0,,,,,,,178936.28,137097.94,161797.73,146870.67,129698.83,151264.7,
1476,321.210268382941,7.6583630000000005,,,,9.0,,,,,,,64968.215,529585.3,621011.4,20525.994,11090.45,1632925.6,
974,321.2200404470566,6.597414,,,,,,,,,,,926093.7,976135.3,937656.75,1136333.8,915206.25,992560.8,
47,323.0788183671029,0.45145628,,,,,,,,,,,316873.38,584398.4,480742.25,176387.02,559322.5,569564.06,
814,323.2227644947873,6.168062,,,,58.0,,,,,,,4580795.5,4658567.0,4611802.0,4952922.0,3676172.2,4395270.0,
1027,323.22279592052485,6.7648697,,,,3.0,,,,,,,242991.92,242073.62,247917.72,264589.84,173955.36,227572.84,
1543,323.2590257954835,7.697700500000001,,,,9.0,,,,,,,859526.8,669922.3,969523.94,816925.56,1232152.9,967583.94,
1387,323.25909703967477,7.544150999999999,,,,94.0,,,,,,,104542.31,74356.98,128442.82,73174.76,97751.3,109945.24,
958,323.2592543550084,6.557529400000001,,,,,,,,,,,48421.75,54331.883,48076.383,63844.707,52021.566,70358.03,
2085,325.18419182416915,10.418955,,,,,,,,,,,86693.38,0.0,3499.6259999999997,147921.02,447052.88,514158.6,
1734,325.1842631246971,8.132019999999999,,,,44.0,,,,,,,416848.84,683232.2,619641.7,674362.2,684430.8,754059.1,
1078,325.1842922291005,6.840542,,,,,,,,,,,320829.9,2244451.8,2526559.0,269805.97,2310354.8,1264710.2,
1030,325.18431302886637,6.7745093999999995,,,,,,,,,,,440504.6,1320453.4,1374457.1,736864.94,299673.22,2476512.2,
993,325.1843489657648,6.725046000000001,,,,,,,,,,,1981244.6,593481.4,480081.03,2512262.0,230421.92,709422.1,
