"","filter","NEG_TJGI15pt3_EV_alcA-Control_1_Run32.mzML","NEG_TJGI15pt3_EV_alcA-Control_2_Run115.mzML","NEG_TJGI15pt3_EV_alcA-Control_3_Run204.mzML","NEG_TJGIp4_1_Run44.mzML","NEG_TJGIp4_2_Run109.mzML","NEG_TJGIp4_3_Run189.mzML"
"81/218.1033mz/2.11min",2417690.15,1986247.5,2228749.8,2710956,1934724.6,2606630.5,2683187.8
"82/145.0506mz/2.14min",1216353.55,1106338.2,1026941.06,1326368.9,940331.4,1384879.5,2010874
"83/118.051mz/2.26min",51202.0995,908.0616,390735.03,150826.5,4540.308,23364.129,79040.07
"84/218.1044mz/2.31min",34689.6785,12008.028,31551.707,37827.65,11606.51,38733.746,50024.19
"86/158.0822mz/2.37min",295394.77,233479.2,274345.84,332609.88,224659.39,316443.7,404869.9
"87/194.0458mz/2.39min",1976791.6,1609258.8,1813843.2,2139740,1680016.8,2317835.2,2455426
"88/144.0455mz/2.4min",1127878,1157537.1,1319045.4,1455662.1,988629.7,1088288.4,1098218.9
"89/188.0353mz/2.4min",1718083.5,1692900.9,2059580,2387149.5,1421687.1,1607404.8,1743266.1
"90/136.0404mz/2.41min",829746.63,818329.06,652536.8,773130.7,841164.2,917861.1,998841.25
"91/175.0612mz/2.44min",1486403.35,1486586.5,1411843,1914304.5,1095165.4,1486220.2,1614064.4
"92/139.0401mz/2.46min",664966.25,592632.4,642751.44,742142.7,473785.94,687181.06,811128.25
"93/172.0979mz/2.55min",29528.925,30476.516,38202.93,54200.137,745.31572,3726.5786,28581.334
"94/228.0878mz/2.57min",376857.48,753315.44,417336.62,498275.94,200235.2,233886.53,336378.34
"95/121.0295mz/2.58min",976317.95,638061.44,818958.6,839435,1220778.1,1124711,1113200.9
"96/130.0873mz/2.58min",114461.735,38307.04,164597.6,172575.66,24962.031,123015.64,105907.83
"97/159.0663mz/2.61min",315741.22,332953.25,320898,393009.72,233892.64,286595.7,310584.44
"98/178.051mz/2.63min",667226.85,622003.2,602802.94,712450.5,582364.75,788943.44,732010.44
"99/158.0823mz/2.73min",865984.655,816245.3,1053163,1315479.2,532714.8,845056.56,886912.75
"100/136.0404mz/2.74min",112188.8625,66161.14,129846.07,167205.69,45815.625,111501.42,112876.305
"101/107.0503mz/2.76min",614307.25,595567.7,649416.2,798886.56,513569.12,618554.06,610060.44
"102/151.0401mz/2.76min",458819.02,427729.84,478197.75,596941.2,355457.75,452847.2,464790.84
"103/131.0714mz/2.78min",5346455.5,4101108.8,3590300.8,4442848,6994653,6250063,6947533
"104/188.0353mz/2.79min",74643.96,74767.61,74520.31,97247.41,49782.707,55569.93,79026.19
"105/457.1869mz/2.8min",1049.62452,540976.44,1049.62452,5248.1226,1049.62452,1049.62452,1049.62452
"106/501.1765mz/2.82min",18935.8465,2235403.5,24619.193,96303.375,2650.5,13252.5,2650.5
"107/158.0822mz/2.81min",847648.73,827401.56,1078931,1284084.1,543759.7,792572.5,867895.9
"108/159.0663mz/2.87min",636197.2,627582.8,531884.5,655401.25,511624.84,670372.4,644811.6
"109/426.1898mz/2.92min",197700.255,140842.95,245380.86,272410.38,114707.016,194596.39,200804.12
"110/185.0819mz/2.89min",37706.8325,56959.445,47552.36,54623.066,4836.7996,27861.305,24183.998
"111/118.051mz/2.92min",138587.735,117083.08,282126.3,32587.104,3441.8389,815915.3,160092.39
"112/172.0979mz/2.91min",1596743.75,1627517.1,1472463.9,1040718.06,1565970.4,2014841.4,2012492.9
