"","filter","2024_NEG_CC_1_Run21.mzML","2024_NEG_CC_2_Run48.mzML","2024_NEG_CC_3_Run62.mzML","2024_NEG_CC-NaB_1_Run30.mzML","2024_NEG_CC-NaB_2_Run51.mzML","2024_NEG_CC-NaB_3_Run57.mzML"
"37/328.9796mz/2.13min",1432600.1,1595063.4,1454756.1,1189924.5,1410444.1,1479411.9,1246689.5
"38/312.9847mz/2.35min",438926.315,218778.83,561715.5,438103.03,589704.5,435920.34,439749.6
"39/312.9847mz/2.45min",637397.9,634447.7,670231.4,611823.4,736831.06,590930.06,640348.1
"40/373.0055mz/2.71min",2113272,2257010.2,2072115.2,2000419.6,2275841.8,2113290.2,2113253.8
"41/370.9898mz/2.8min",826459.77,919898,805295.6,803970.94,906032.7,836526.1,816393.44
"42/265.0176mz/2.84min",1792210.15,1947526.1,1788778.2,1767804.5,1932694.9,1795642.1,1762416.8
"43/397.0055mz/3.14min",300267.33,328452.97,283622.03,286838.56,309042.06,302315.1,298219.56
"44/265.0176mz/3.18min",3338711.5,3461896,3243903.8,3214153.5,3379423,3317284.8,3360138.2
"45/212.0353mz/3.31min",3177186.4,2627980,3421620.8,8122291.5,2265289.5,2932752,3680574.5
"46/421.0055mz/3.31min",81026.7375,92237.8,91984.9,75894.35,82516.1,79537.375,68146.52
"47/421.0056mz/3.41min",2996456.75,3235767.2,2830852,2806243.8,3223245,3071674,2921239.5
"48/209.9992mz/3.41min",326603.485,360422.75,325157.47,312197.7,333843.72,328049.5,300687.7
"49/249.0227mz/3.49min",6022964.25,6057187,5698965,5614002,5988741.5,6720423,6841276
"50/582.981mz/3.53min",709487.375,787449.2,682728.9,655657,772332.06,709001.75,709973
"53/560.999mz/3.54min",3832799,4224123,3811020.2,3745378.5,4230724.5,3732143.8,3854577.8
"54/213.0386mz/3.54min",1904027.7,2748449.2,2243994.8,1611549.4,1552998.4,2196506,1446453.6
"55/212.0353mz/3.54min",17600474,21804692,17830688,13307568,17111950,17553342,17647606
"57/407.0044mz/3.62min",1269930.8,1335789.1,1193888.5,1229078,1318820.4,1265410.6,1274451
"58/405.0107mz/3.62min",18771386,18889106,17732686,17837680,18939264,18653666,19005494
"59/811.0291mz/3.62min",333804.545,370601.94,313384.12,323123.25,344272.9,339962.06,327647.03
"60/406.0138mz/3.62min",3590246.5,3620992.2,3233143.8,3651887.2,3559500.8,3395166,3778381
"62/421.0055mz/3.86min",492320,512986.97,480279,452269.94,617988.6,418723.28,504361
"63/309.1014mz/4.02min",416402.02,441297.62,404056.2,392178.34,463355.88,414757.38,418046.66
"64/605.0258mz/4.07min",733482.5,890392.4,670023.4,738648.9,728316.1,691770.56,843047.44
"66/421.1867mz/4.15min",909776.73,1159734.9,804098.2,977752.5,966587.56,823795.06,852965.9
"67/603.01mz/4.17min",345287.315,387478.75,308302.4,342897.6,347677.03,321617.53,353721.72
"68/447.0213mz/4.21min",333401.86,339719.78,316512.9,332371.66,337826.5,321581.75,334432.06
"69/263.0383mz/4.27min",336710.34,347975.78,334334.7,330672.06,345575,336868.28,336552.4
"71/282.9837mz/4.4min",365548.19,397801,375756.44,353557.5,371781.88,358447.03,359314.5
"72/242.1762mz/4.43min",489014.325,504428.47,480038.28,483300.25,503800.72,494728.4,451792.38
"73/497.0371mz/4.44min",977638.05,1045720.06,917589.7,1010404.8,971694.7,919047.44,983581.4
"74/560.999mz/4.51min",93305.0825,86153.47,100456.695,22223.762,121777.75,52020.33,123700.09
"77/793.0186mz/4.49min",718453.13,598263.5,643447.2,961622.25,824386.8,633956,793459.06
"79/341.0486mz/4.56min",739747.82,816816.8,701846.44,743425.94,764977,700527.56,736069.7
"80/422.9768mz/4.56min",766527.12,861216.7,751914.5,766555.3,816906.9,716580.4,766498.94
"81/404.0444mz/4.56min",443713.345,483724.84,442972.72,416306.72,469833.4,427036.66,444453.97
"84/653.0255mz/4.57min",639165.33,551684.56,624998.6,842026.56,653332.06,612946.2,715711.56
"85/497.0371mz/4.67min",1519918.7,1315325.6,1395156,1874843,1624233.9,1415603.5,1647514.8
"86/228.9699mz/4.74min",461129.94,494201.06,455355.97,457055.28,496645.5,455689.4,465204.6
"87/227.9666mz/4.74min",5812194.75,6061078,5891523,5632661,6266872.5,5732866.5,5724825
"88/229.9645mz/4.74min",5829267,6014812,5972596,5573851,6187157,5661852.5,5685938
"89/230.9678mz/4.74min",464321.86,476722.94,474965.25,443309.94,503108.2,429720.8,453678.47
"90/266.9888mz/4.76min",1471817.55,1691425.6,1532154,1368003.4,1616749.4,1404693.2,1411481.1
"91/268.9857mz/4.76min",491198.585,568111.9,515641.25,455835,513746.97,446503.06,468650.2
"92/637.0305mz/4.78min",4306432.65,4013649.8,4042159.5,5572367.5,4475875.5,4136989.8,4664821.5
"95/481.0421mz/4.92min",4370100,3987698.8,4070791.8,5142831,4868160,4310170.5,4430029.5
"96/544.0379mz/4.92min",1820482.65,1574437.8,1655809.9,2149699.5,1916585.6,1811902.1,1829063.2
"97/426.9678mz/4.97min",10028633.5,10754062,10561936,9637257,10420010,9345799,8787695
"98/428.9624mz/4.97min",372449.84,403793.75,396905.7,366830.4,378069.28,359279.66,337716.2
"99/396.2154mz/4.99min",545229.07,909457.56,536284.44,775604.8,413619.12,554173.7,386363.66
"100/397.219mz/4.99min",93033.25,152305.28,94906.47,131348.61,69805.15,91160.03,70443.47
"101/484.2681mz/5.03min",933919.94,1311657.5,797769.3,1249536.9,869349.44,998490.44,816751.3
"102/501.2582mz/5.03min",186286.08,270422,156216.22,254273.72,182458.16,190114,149543.58
"103/653.0255mz/5.04min",60716.3835,54784.625,58481.97,78698.12,66843.52,51662.08,62950.797
"104/187.861mz/5.09min",33586.11,33586.11,33586.11,33586.11,33586.11,33586.11,167930.55
"105/214.8799mz/5.11min",30950.6305,30597.277,19325.229,91470.87,31303.984,23974.098,627140.2
"106/241.8989mz/5.11min",151889.805,152191.55,147350.61,128372.01,259684.95,151588.06,1506596.2
"107/396.2154mz/5.1min",1927430.45,2768363.8,1713910.9,2769893.5,1493296,2140950,1376742.5
