row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,2024_NEG_CC_2_Run48.mzML Peak area,2024_NEG_CC-AZA_3_Run71.mzML Peak area,2024_NEG_CC-AZA_2_Run39.mzML Peak area,2024_NEG_CC-AZA_1_Run24.mzML Peak area,2024_NEG_CC_1_Run21.mzML Peak area,2024_NEG_CC_3_Run62.mzML Peak area,Unnamed: 19
471,89.0244140658743,9.987619,,,,,,,,,,,843077.56,3239592.8,1166280.5,918407.94,883809.94,1156765.0,
29,89.02441848632198,0.42805859999999996,,,,,,,,,,,588634.0,2434794.0,1230297.6,738262.2,648494.4,3184018.0,
528,96.96012600166371,10.622636,,,,,,,,,,,1250562.0,2527710.8,2471246.8,2482128.5,8978525.0,2508854.2,
383,100.9336521582303,8.463179,,,,,,,,,,,810787.75,615562.0,780727.5,471559.3,599070.4,694925.1,
337,100.93365233698879,8.221347,,,,,,,,,,,895883.75,486616.6,715285.06,698015.8,1755621.1,876193.0,
372,100.93365244237448,8.384427,,,,,,,,,,,822099.0,804707.7,1534262.5,1136880.5,840325.1,264724.84,
280,100.9336530424268,7.82976,,,,,,,,,,,743749.5,934693.94,1418729.1,576123.56,661730.56,2152338.0,
341,100.93365363664006,8.263219,,,,,,,,,,,1220602.0,889886.7,816838.94,500521.88,805405.94,2495451.2,
483,100.93365378661423,10.215741,,,,,,,,,,,857878.56,1219291.0,1345879.8,863283.75,1177540.8,1153091.4,
334,100.93365448940442,8.155471,,,,,,,,,,,218933.47,848658.1,644639.2,225107.55,759258.7,1294304.0,
299,100.93365612811716,7.951809,,,,,,,,,,,1618283.8,2425631.5,1137083.9,768609.2,1346549.8,1891711.1,
363,100.93365491615913,8.309612,,,,,,,,,,,809188.0,925003.8,705888.8,1817947.9,1122458.5,1675860.0,
474,112.98567476310184,10.143777,,,,,,,,,,,1020180.7,707300.1,635557.8,883505.94,709261.4,590013.9,
491,112.98568013858795,10.276722,,,,34.0,,,,,,,2167654.2,3131050.0,2591211.0,2298860.0,2314974.2,2916501.5,
10,112.98568157971857,0.34015209999999996,,,,3.0,,,,,,,3591475.2,3585582.2,3626545.5,3712209.5,3645057.2,3492552.5,
431,115.92075421120751,8.923444,,,,,,,,,,,2873669.8,3327498.5,1004998.4,661455.1,791375.9,1032670.6,
482,115.92075601612707,10.213384,,,,35.0,,,,,,,3960577.8,3539813.0,2510284.0,3938107.0,3631693.0,3447992.5,
272,115.92076235980335,7.6840777000000005,,,,,,,,,,,868638.5,1038921.9,1145857.6,610408.9,1454585.4,2367393.0,
349,115.92076299213517,8.281497,,,,5.0,,,,,,,11631265.0,7246739.5,9779819.0,10064300.0,15939919.0,10189245.0,
313,115.92076538156584,7.946095,,,,7.0,,,,,,,4280714.5,5308684.5,5019859.5,6886082.0,5215941.5,5161455.5,
285,115.92076565342222,7.841148,,,,19.0,,,,,,,3592083.5,3288127.5,3474899.8,4219767.5,5156863.0,5494121.0,
484,116.9209096470039,10.219702999999999,,,,35.0,,,,,,,440937.75,432167.47,270876.12,430022.88,394905.2,161112.22,
