"","filter","GF_MC_RCG_Ctrl_1_neg_20210511_Run68.mzML","GF_MC_RCG_Ctrl_2_neg_20210511_Run147.mzML","GF_MC_RCG_Ctrl_3_neg_20210511_Run159.mzML","GF_S4_MC_RCG_1_neg_20210511_Run71.mzML","GF_S4_MC_RCG_2_neg_20210511_Run91.mzML","GF_S4_MC_RCG_3_neg_20210511_Run171.mzML"
"2548/646.325mz/4.66min",196103.105,450532.72,349073.1,360743.1,31031.143,38408.97,43133.11
"2549/180.1031mz/4.67min",274735.59,287168.62,162046.36,251297.69,407973.6,299427.84,262302.56
"2551/251.1038mz/4.67min",268640.905,193551.62,128969.125,361927.34,259075.75,320300.5,278206.06
"2554/769.3781mz/4.69min",107965.5925,93079.945,56602.043,111888.38,104042.805,134350.89,121476.01
"2556/187.134mz/4.71min",2063872.55,1777174.5,1547532.9,1831831.9,2717762.8,2518961.5,2295913.2
"2557/309.2072mz/4.72min",2906475.9,2349622,1802592.6,2053236,4210879.5,3463329.8,3641824.8
"2558/570.2936mz/4.72min",4909.2173,664.24332,664.24332,3321.2166,6497.218,27529.832,394313.38
"2559/539.3243mz/4.73min",317784.705,427794.2,378525.28,353517.16,242776.28,201977,282052.25
"2560/307.1916mz/4.73min",481542.29,298050.28,216570.31,239685.22,907414.44,704702.94,665034.3
"2562/398.2297mz/4.75min",81099.3,123306.61,70064.016,135689.14,58665.715,84319.29,77879.31
"2563/886.4358mz/4.75min",261591.03,449481.9,359750.56,553923.06,95598.445,134379.27,163431.5
"2564/408.185mz/4.79min",111323.555,132178.1,97281.91,169515.31,112525.43,110121.68,101495.92
"2565/550.3612mz/4.77min",196122.6,232105.62,189895.75,202349.45,157423.6,132206.19,212736.89
"2566/511.2769mz/4.76min",232415.57,244230.89,161154.3,396279.5,199840.8,220600.25,307704
"2567/501.1768mz/4.78min",488357.98,1364848.5,492022.56,484693.4,330699.53,167822.17,538893.8
"2568/495.2821mz/4.79min",71166.06,70472.05,47242.133,81070.52,60356.625,71860.07,82704.22
"2569/329.2334mz/4.81min",11358085,9094683,6963007.5,9443454,15733746,13272716,14006474
"2570/379.1412mz/4.81min",334614.55,201741.8,134618.36,187179.55,477844.34,629525.56,467487.3
"2571/424.2454mz/4.82min",240156.355,331676.5,243608.98,396593.62,202453.22,234825.06,236703.73
"2572/325.2022mz/4.84min",672704.67,495809.94,385296.3,342137.78,2732426.8,849599.4,879049.1
"2573/357.2646mz/4.83min",201113.315,57050.516,44304.64,65321.53,500366.34,336905.1,370086.8
"2575/408.1849mz/4.83min",291652.135,201425.72,127315.125,225370.39,413977.03,469037.34,357933.88
"2577/521.2977mz/4.84min",304556,339814.25,277444.22,448026.6,248196.73,280958.6,328153.4
"2578/243.1601mz/4.84min",476212.85,245091.11,258941.78,324316.8,949278.94,850895,628108.9
"2579/330.2367mz/4.83min",2435245,2334271.5,1184174,1647928.5,2719900,2601191.8,2536218.5
"2580/287.1864mz/4.84min",1209521.37,939704.4,1023509.94,961885.56,1717884.9,1684518.5,1395532.8
"2581/762.441mz/4.84min",341408.64,433300.12,315634.72,542512.06,274878.5,318992.94,363824.34
"2583/718.4512mz/4.85min",122198.078,123082.836,86249.69,130479.76,121313.32,118540.766,145072.06
"2584/198.15mz/4.86min",1081042.25,1239960.9,970490.5,1599246.4,904577.94,1062362,1099722.5
"2585/242.1398mz/4.86min",3164263,3656042.8,2770942,4749122,2726127.8,3121793.5,3206732.5
"2586/313.2385mz/4.87min",624225.55,426332.25,859866.94,434987.94,723291.56,606478.4,641972.7
"2587/307.1915mz/4.87min",230931.9,74839.36,51237.36,52929.324,698103.25,387024.44,511501.78
"2589/232.1343mz/4.88min",360667.16,371706.7,285045.12,513061.53,329702.7,349627.62,376164.5
"2590/276.1241mz/4.88min",1414967.75,1528984.4,1119660.9,1979810.6,1312313.2,1366247,1463688.5
"2591/1022.5201mz/4.87min",334747.03,338284.78,251010.92,461432.4,285447.38,331209.28,382693.66
"2592/633.2932mz/4.87min",385500.35,529007.44,350227.62,677791.9,346364.47,390142.5,380858.2
"2593/683.3773mz/4.88min",27940.066,27940.066,27940.066,27940.066,27940.066,27940.066,139700.33
"2594/555.2824mz/4.91min",719322.15,498329.78,403371.2,614210.2,824434.1,848484.7,1112914.1
"2595/401.187mz/4.92min",550169.15,647416.25,588550.2,656243.3,511788.1,495926.03,470257.66
"2596/437.1635mz/4.92min",269802.3,410804.97,285464.3,254140.3,335901.34,213703.38,159002.33
"2597/447.1923mz/4.92min",263277.1,309172.5,276003.8,329686.66,250550.4,226558.47,234563.83
"2598/427.9708mz/4.96min",1087295.825,1147174.9,1027416.75,1247449.6,680743.6,927911.1,1163050.4
"2599/481.2456mz/4.92min",174660.935,439634.2,332421.94,368768.25,3379.986,16899.93,3379.986
"2600/313.2384mz/4.92min",885313.78,792563.06,1038964.5,887506.06,1030945.6,830133.2,883121.5
"2601/384.1928mz/4.93min",152523.714,342232.2,254206.19,341571.75,50841.238,50841.238,50841.238
"2602/396.2154mz/4.93min",72643.425,149307.88,121072.375,159265.05,24214.475,24214.475,24214.475
"2604/269.1758mz/4.94min",421789.455,133657.12,84914.016,250227.97,603456.56,673198.8,593350.94
"2605/640.3354mz/4.94min",85701.36,232010.1,65155.367,349352.6,53636.707,66370.35,105032.37
"2608/559.2769mz/4.96min",39555.8905,50809.734,34561.145,68840.03,26621.482,42489.926,36621.855
"2609/426.9677mz/4.96min",13707507,14237492,12851761,14508187,14087733,11907009,13327281
"2610/187.1339mz/4.97min",260745.995,243085.61,206315.12,241425.48,307619.66,278406.38,298267.72
"2612/312.1898mz/4.97min",539046.44,385697.47,302454.28,409884.88,813540.75,668208,722037.94
"2613/311.1865mz/4.98min",3082355.9,2217294.5,1729567.4,2338664,4588367.5,3826047.8,4091786
"2614/410.2005mz/5.03min",380798.14,187353.22,97392.984,232126.38,548550.75,529469.9,534427.1
"2615/312.2261mz/5.0min",727266.85,634831.94,525517.5,639007.4,1077569.8,839454.1,815526.3
"2616/311.2227mz/5.0min",4454698.5,3797359.8,3127493.2,3963022.5,5690397,4946374.5,5464417.5
"2617/309.171mz/5.04min",44314.8395,28025.398,43610.023,58345.133,45019.656,49375.902,28376.01
"2618/612.315mz/5.0min",25233.663,70252.62,21536.232,89700.89,11925.469,28931.094,3483.1455
"2620/357.2646mz/5.0min",198380.77,119908.85,88476.34,133985.6,316488.28,262775.94,294390.47
"2621/341.208mz/5.02min",718893.12,1812859.6,1323528.8,2171751,74127.92,92711.34,114257.44
"2622/229.1808mz/5.02min",104777.134,1546.9656,1546.9656,7734.828,313020.7,237695.19,201819.44
"2624/438.2608mz/5.04min",239263.635,366045.44,262834.44,435472.88,176005.86,204094.34,215692.83
"2625/285.2071mz/5.03min",364323.21,85377.36,93254.38,288232.22,757827.6,440414.2,508478.62
"2626/257.1758mz/5.04min",784633.61,314704.34,222130.5,496453.62,1109736.4,1137615.4,1072813.6
"2629/310.2106mz/5.05min",471041.265,343963.47,273323.4,332820.5,715090.4,598119.06,608032.1
"2630/654.3511mz/5.05min",46985.6385,29782.486,15472.248,46920.332,47885.598,47050.945,113813.44
"2631/309.2071mz/5.05min",3352119.85,3367016.5,3084160.2,3337223.2,3549278.8,2965083,5798557.5
"2634/410.2005mz/5.06min",413951.84,265998.62,111668.52,326551.34,501352.34,536858.94,533446
"2635/307.1915mz/5.08min",257429.725,170330.45,85526.05,140052.02,482800.66,344529,377370.5
"2638/201.1496mz/5.12min",409899.89,368793.1,307421.94,374690.9,445108.88,635159.9,677494
"2639/293.1759mz/5.12min",5208644,3790705.2,2790348.5,6375291.5,5545328.5,5031563,5385725
"2640/221.1547mz/5.12min",296037.43,213854.64,161455.28,368716.9,305159.7,286915.16,313225.7
"2642/236.1054mz/5.12min",567948.73,421635.72,309880.75,718480.3,588942.4,550943.4,584954.06
"2643/327.2177mz/5.13min",1699918.45,1150039.1,440852.97,1266106.4,2452491.2,2133730.5,2234235
"2644/438.2608mz/5.12min",233927.9,364334.28,199797.55,479649.47,116768.23,222508.36,245347.44
"2645/301.2019mz/5.13min",308852.095,203892.88,182430.97,228065.97,432131.1,421425,389638.22
"2646/341.1791mz/5.15min",242094.315,192422.52,114600.62,196081.23,353071.9,359737.7,288107.4
"2647/315.2538mz/5.15min",106609.15,42427.586,26175.72,42720.18,201054.28,170498.12,198436.06
"2648/257.1759mz/5.15min",403390.51,247896.44,163800.03,258501.62,584354.4,562015.94,548279.4
"2651/329.2333mz/5.15min",774209.05,810325.44,353063.22,774806.8,1103429.8,773611.3,709423.94
"2653/642.2913mz/5.17min",4297.17156,28769.453,29308.254,7161.9526,1432.39052,1432.39052,1432.39052
"2655/313.2383mz/5.19min",676812.75,565652.75,426847.97,614086.7,819828.8,739538.8,827201.8
"2656/269.1758mz/5.23min",151096.39,3263.1052,652.62104,81714.59,231225.34,220478.19,225313.89
"2659/683.3774mz/5.26min",37070.094,12356.698,12356.698,12356.698,61783.49,105178.81,1135484.4
"2662/309.1709mz/5.27min",397530.44,396460.88,312173.34,642324.56,398600,367574.56,426472.38
"2663/312.2261mz/5.28min",2604798.05,2083058.6,1683040.6,2074086.8,3508866.2,3126537.5,3543849.5
"2664/311.2228mz/5.28min",13942076.5,11858264,9515950,11771190,18076338,16025889,18182964
"2665/381.2645mz/5.28min",540324.905,474403.28,327810.2,510968.06,688327,569681.75,613207.75
"2666/686.3308mz/5.29min",606298.95,465796.84,280592.2,321702.53,823617.8,1031884.56,746801.06
"2667/347.199mz/5.29min",131869.96,138906.95,35149.734,81707.414,219895.97,135275.97,128463.95
"2669/314.2415mz/5.31min",115927.66,112779.08,70214.11,110051.51,166138.3,119076.24,141544.16
"2671/256.1918mz/5.3min",634513.02,610049.94,426294.5,658976.1,683347.8,592828.3,735638.4
"2673/287.1864mz/5.33min",31466.9952,70938.94,52444.992,103522.32,10488.9984,10488.9984,10488.9984
"2675/271.1914mz/5.33min",159292.47,158890.84,186971.39,154215.72,164792.27,159694.1,128237.555
"2676/290.1761mz/5.34min",682364.1,647808.3,437508.72,694186.9,730865.25,670541.3,782866.7
"2680/410.2208mz/5.36min",66746.1465,74738.016,4373.3148,21866.574,1041955.56,89832.37,58754.277
"2683/420.2503mz/5.36min",779896.905,743763.56,256355,456892.97,5698791,907263.4,816030.25
"2684/374.2447mz/5.36min",546830.32,521724.44,168851.53,319484.28,3894316,647983,571936.2
"2685/391.2853mz/5.36min",121066.205,101161.086,73472.664,118459.49,123672.92,145382.53,144343.05
"2686/201.1496mz/5.36min",91093.69,73703.836,61528.633,82392.68,114865.09,99794.7,113474.53
"2687/315.2538mz/5.36min",257102.815,140053.1,48024.17,139571.9,454655.62,374152.53,461818.75
