"MetaboAnalyst_ID","GF_MC_RCG_Ctrl_1_neg_20210511_Run68.mzML","GF_MC_RCG_Ctrl_2_neg_20210511_Run147.mzML","GF_MC_RCG_Ctrl_3_neg_20210511_Run159.mzML","GF_S4_MC_RCG_1_neg_20210511_Run71.mzML","GF_S4_MC_RCG_2_neg_20210511_Run91.mzML","GF_S4_MC_RCG_3_neg_20210511_Run171.mzML","shared_name"
"3253/695.4659mz/8.14min",4.07106692352245,3.09656496956271,3.77368021391091,3.81228873057789,4.2196868487976,3.97621906365057,"3253"
"3254/480.3095mz/8.14min",3.86843518734916,3.46152213495576,3.81334159265425,2.00585613359706,2.72095138117994,2.0321196260063,"3254"
"3257/117.9286mz/8.14min",2.48741625675131,3.77985327540242,3.92375513863541,4.01406367401978,3.60658124388813,3.68037599057781,"3257"
"3259/325.1842mz/8.14min",3.10437612558448,2.98342237511664,3.17343361660745,3.1341046364099,3.33289428648594,3.52319309980197,"3259"
"3260/699.4958mz/8.14min",3.15115646734447,2.33021775139291,2.78726302584058,2.64555760901544,2.82684905356145,3.44753320493179,"3260"
"3262/745.5016mz/8.14min",1.31506552160034,1.92052376973026,2.5983765917259,3.37251079515904,3.38652607853141,2.81878594590488,"3262"
"3263/731.4861mz/8.14min",2.92668122557688,2.36882263288835,2.97403460217096,3.33897926416923,2.8984110710666,3.72347932319722,"3263"
"3268/132.9234mz/8.15min",3.40469868189934,3.38489398249731,3.03561542632248,3.6012410882347,3.54340930322091,3.34711766970738,"3268"
"3269/353.306mz/8.14min",3.20577808265281,3.4283669633157,3.52717112637266,3.78335938421896,3.31143397691324,3.36190449991699,"3269"
"3270/384.1918mz/8.14min",2.88245050280936,3.00713741281244,3.07665772950745,3.32036305002617,3.03781386837406,3.02460560728391,"3270"
"3271/563.3356mz/8.14min",2.92069597541118,2.60944327573126,2.87410102849982,2.7784544254606,3.04428130141369,3.29685404128593,"3271"
"3272/714.5092mz/8.14min",2.68048015428116,3.24777114538776,3.36547811009325,2.66457782717606,4.42794304980496,3.20179572472549,"3272"
"3273/117.919mz/8.14min",2.77208162139799,3.25477211230097,3.86163769420198,2.78777230016727,3.13111102129428,3.25683763677151,"3273"
"3274/771.3909mz/8.14min",3.29132136437483,2.07658963795637,2.78013405543352,2.62708517715444,3.83596673319037,3.6448626791372,"3274"
"3275/311.1686mz/8.14min",3.13809927762853,2.94582781817702,3.29533785570279,3.20507910447311,3.30264601577795,3.535663267005,"3275"
"3276/113.9263mz/8.14min",3.88466663808937,3.51041251891234,4.09206253843271,3.74760454510127,4.11381250318564,4.08692571479135,"3276"
"3281/115.9207mz/8.14min",5.16602988874918,4.79033641731365,5.37506543740604,5.02789431466006,5.40053235105492,5.38739949321031,"3281"
"3283/590.446mz/8.14min",2.43004032875631,2.7401996258039,3.24186848859858,1.66666350072447,3.50031107242897,2.39189591108419,"3283"
"3284/99.9258mz/8.15min",3.60664057052548,4.56903090721186,3.72345799240918,4.83822634414301,4.02718323415836,4.83947694103018,"3284"
"3289/445.3322mz/8.14min",2.41970107934176,2.77260297176003,2.87288817138984,3.23839226924712,2.79778497995117,2.88395414907379,"3289"
"3290/144.9234mz/8.15min",4.16750986538566,4.10869488338316,4.6159363257425,4.34405579425236,4.6402399894304,4.67191580357365,"3290"
"3294/463.343mz/8.16min",2.42861461516624,2.95541535708776,3.17414592801683,2.96113065360344,2.86019567341803,2.96844858202259,"3294"
"3296/461.3636mz/8.16min",2.58817786791981,2.93199915665,2.98969286602364,3.40124611682639,2.96206392068932,3.01331903257471,"3296"
"3297/475.3427mz/8.17min",3.15390709292603,3.2395709889775,3.63492681979342,3.17137130294343,3.34305854533682,3.62965047893018,"3297"
"3298/383.3166mz/8.18min",2.53115924112816,2.85495644226283,2.9282176598337,3.13123636980962,2.03005937919698,2.73916721870898,"3298"
"3301/134.8946mz/8.15min",2.81810257849899,3.41187297909509,2.93397453871039,3.68809954610123,3.09019637785617,2.81020658822264,"3301"
"3303/385.3323mz/8.25min",2.72700083565587,2.82186992298712,2.97509947985447,2.95328081609482,2.90680309289317,2.93096718820166,"3303"
"3306/607.4217mz/8.29min",2.8614041077453,2.96607798177099,3.02730445489432,2.38711369488812,2.40323916833918,2.41337721012099,"3306"
"3308/341.3059mz/8.29min",3.06707880985556,3.0926136886512,3.22822655989444,3.35256766348398,3.25100328192436,3.29500525846157,"3308"
"3311/115.9207mz/8.26min",4.14153917984679,4.46578564902449,4.63884543220925,5.20869856470866,4.66931573430628,4.74265106184342,"3311"
"3312/132.9234mz/8.27min",3.09792359461857,2.68072786550665,3.14026185303339,3.65488285881976,3.03613570739998,3.16978007022092,"3312"
"3313/589.451mz/8.29min",3.18370881525074,3.090202531886,3.24497776231658,4.10735837287819,3.42451384532519,3.43465188886307,"3313"
"3318/144.9234mz/8.28min",3.85495758740242,3.79824827038054,3.92706217025501,4.438313062081,3.98562119747849,4.07655899311018,"3318"
"3320/590.446mz/8.25min",3.26868658315882,2.84036348697325,2.68661166931465,2.15105238555833,3.34471448540404,2.17731589142082,"3320"
"3321/771.391mz/8.3min",2.89848126124716,2.27181305846205,2.74706799466529,2.74618759790299,3.52121360056669,3.18178016913762,"3321"
"3323/381.301mz/8.35min",3.6286807340023,3.71010901466925,3.88096587241483,4.16046063212546,3.86183339968487,4.18301604217786,"3323"
"3325/411.3842mz/8.4min",2.47982663321848,2.57152248407536,2.63541827276991,2.77499804571552,2.4804426432502,2.56264774650642,"3325"
"3326/325.1842mz/8.41min",2.67361810174913,2.57965007284676,2.57488907541181,2.58560103687469,3.08905407161095,2.97567798801901,"3326"
"3332/311.1686mz/8.41min",2.73022796784438,2.47418907294633,2.48566958471689,2.82396025620942,2.92640020875512,2.97096527465365,"3332"
"3333/144.9234mz/8.43min",4.31237673639105,3.67951620524279,3.64670461230407,3.53698700682696,4.01473467273229,4.03704231459882,"3333"
"3339/132.9234mz/8.44min",3.11433051309367,3.33283714031987,3.2288311515159,2.46854118477949,3.23409795266092,3.23379076555944,"3339"
"3341/399.3478mz/8.43min",3.82578084980568,4.04839360894846,4.18596403260702,3.88763053808066,3.71500786893474,3.76340083703011,"3341"
"3346/355.3217mz/8.47min",3.94506849885627,4.02859297936594,4.17190858025074,4.23101229829296,4.11338787464395,4.17791271372507,"3346"
