Filename,2024_POS_Anid-EV-gpdA_CTRL_1_Run188.mzML,2024_POS_Anid-EV-gpdA_CTRL_2_Run208.mzML,2024_POS_Anid-EV-gpdA_CTRL_3_Run238.mzML,2024_POS_Anid-TJGIp11_1_Run167.mzML,2024_POS_Anid-TJGIp11_2_Run205.mzML,2024_POS_Anid-TJGIp11_3_Run252.mzML
Class,CTRL,CTRL,CTRL,EXP,EXP,EXP
405/182.0786mz/2.03min,5063617.5,2388547.2,7005045.5,8261648.5,5728418.0,2441654.8
406/341.1682mz/2.03min,469735.88,56089.18,761235.56,452119.16,583407.8,26966.87
407/160.0968mz/2.03min,5436547.0,2496648.2,6967732.5,7002242.5,6117769.5,2517086.0
408/100.0756mz/2.03min,5406457.0,2699433.0,6854615.0,8155903.5,6131513.0,1335720.4
410/214.1074mz/2.03min,0.0,0.0,88595.89,187462.16,111637.04,56242.668
412/261.1444mz/2.04min,652043.56,2381632.2,1379400.2,3196307.0,1262155.0,1272352.9
413/239.1004mz/2.07min,0.0,708606.06,45669.32,46032.594,3859.1,112782.586
415/285.1445mz/2.06min,325929.28,2622521.2,832325.4,762555.8,543153.25,2763098.5
418/215.139mz/2.06min,494973.06,626164.9,512601.66,1348328.9,768587.5,612653.56
419/348.1916mz/2.06min,189201.48,0.0,625488.75,1838999.2,1448901.8,376808.97
421/188.0376mz/2.07min,803146.6,8818.358,928703.6,389203.88,333038.03,5261.8833
422/113.0596mz/2.08min,1274278.4,1632654.1,1885527.8,1494566.6,1308950.8,2314912.5
424/226.071mz/2.08min,2515721.0,73031.18,5167566.0,3942236.5,3635397.8,477807.84
425/248.0528mz/2.08min,355593.78,0.0,1273313.6,907298.0,957548.44,99979.32
426/456.2336mz/2.08min,465416.62,0.0,3827.0986,48491.23,0.0,0.0
428/244.0613mz/2.1min,1326422.9,214892.78,1461663.4,657407.44,809577.06,256508.53
429/233.1131mz/2.1min,213824.84,6141793.5,648868.56,1479545.5,951072.06,3314548.0
431/255.0951mz/2.1min,172032.58,4954139.0,362666.44,1396838.0,871514.2,3081647.2
432/222.0794mz/2.1min,2768541.0,839391.8,2947222.0,1591389.1,1704345.0,576258.3
435/170.0812mz/2.11min,404268.9,1883869.1,708102.7,470435.53,357731.22,640232.1
436/203.1023mz/2.11min,189866.58,1355303.6,372458.25,269554.28,126496.56,300313.5
437/128.0706mz/2.11min,2374848.2,12635041.0,4309979.0,3600650.5,1350998.1,4884832.5
438/225.0845mz/2.12min,444129.8,3495321.8,1013873.0,947720.8,388223.47,1324821.8
440/244.1907mz/2.12min,770091.7,552810.6,543095.6,616823.4,690680.7,720053.75
442/323.6402mz/2.13min,75366.05,0.0,70579.375,80748.516,119598.92,109393.4
444/323.1386mz/2.14min,283469.16,0.0,284382.5,314849.75,370895.97,367218.0
446/146.1175mz/2.14min,318388.8,778101.75,362571.7,538203.9,473265.38,590529.25
449/254.1386mz/2.15min,5382182.5,8868924.0,4044964.5,1747121.6,873914.06,3324651.0
451/324.1917mz/2.15min,5856829.0,123074.0,4255878.0,4731315.0,4987462.5,1264167.9
452/226.1056mz/2.16min,149911.44,196421.31,192697.97,159625.78,158596.78,292073.66
453/233.1576mz/2.19min,1133038.2,1198469.6,2636788.8,1458278.4,1388303.5,2070930.1
454/461.2102mz/2.18min,202120.12,5521.766,45292.316,114588.98,74713.43,35087.734
455/220.1179mz/2.19min,7003076.5,2726091.5,4349830.0,7198044.0,4211078.0,2726424.0
456/242.0999mz/2.19min,1774563.4,736116.4,1012977.2,1843519.6,1104248.9,974496.4
457/232.1543mz/2.19min,10057504.0,10241502.0,22106096.0,13667022.0,11879595.0,17472172.0
458/183.0765mz/2.19min,56253.15,128460.58,105650.44,165846.8,105445.85,87483.484
459/221.1212mz/2.18min,654528.56,149804.95,387018.44,672290.94,253993.12,249313.17
460/221.1019mz/2.2min,279845.3,1278490.8,1118571.9,0.0,0.0,58392.19
461/243.0839mz/2.2min,376142.94,1618328.6,1798125.8,10708.385,0.0,91299.27
464/296.0877mz/2.21min,1814549.2,3246.877,2060465.5,2915623.8,1411111.8,162773.52
468/240.0864mz/2.21min,0.0,938616.75,7254.6807,34777.523,14695.348,356592.5
470/212.0892mz/2.21min,225340.06,7250.465,209483.73,230022.73,177666.95,15844.269
472/409.1239mz/2.21min,17595.824,0.0,47032.336,448794.66,143013.52,0.0
473/282.0971mz/2.21min,0.0,0.0,36843.875,312613.4,202343.97,0.0
474/285.1444mz/2.22min,1028697.1,8709971.0,2181321.0,2726749.5,1755984.6,6557770.0
475/426.2232mz/2.22min,9788201.0,47703.863,7870694.0,7817619.5,7414960.5,1605420.4
476/419.2287mz/2.21min,188282.12,0.0,428874.8,470344.94,352902.38,250900.03
477/210.0735mz/2.21min,398308.62,3814104.2,517418.53,711305.4,370140.12,1398510.9
479/101.0596mz/2.22min,48013.164,249095.7,179571.4,216197.39,187544.14,932893.2
