"","Filename","Anid_HE_TJG15pt3_EV_alcA_CTRL_1_YT_neg_20210511_Run47.mzML","Anid_HE_TJG15pt3_EV_alcA_CTRL_2_YT_neg_20210511_Run103.mzML","Anid_HE_TJG15pt3_EV_alcA_CTRL_3_YT_neg_20210511_Run213.mzML","NEG_TJGIp1_1_Run50.mzML","NEG_TJGIp1_2_Run106.mzML","NEG_TJGIp1_3_Run180.mzML"
"1","Class","CTRL","CTRL","CTRL","EXP","EXP","EXP"
"53","220/257.1506mz/2.75min","135746.03","95735.49","116602.83","135900.03","145652.62","108600.0"
"54","222/168.0301mz/2.76min","413154.28","297372.06","479714.5","432480.28","454120.97","341908.22"
"55","225/360.1775mz/2.76min","574933.06","385329.5","401196.12","670477.0","693063.7","404181.9"
"56","226/107.0502mz/2.76min","552512.7","500641.3","457783.1","519251.97","671308.75","520671.2"
"57","227/229.1192mz/2.77min","1071317.9","816333.94","771753.1","1075152.1","1164598.0","750160.8"
"58","229/151.04mz/2.77min","379430.2","361607.84","289071.16","369114.84","503122.7","391314.9"
"59","232/192.0666mz/2.78min","198011.17","173240.45","160429.67","202818.0","248080.34","123681.13"
"60","234/131.0713mz/2.78min","2635607.2","2287156.5","2581735.0","2450410.8","1964107.5","2021575.9"
"61","235/116.0505mz/2.79min","579471.06","533882.6","503076.97","592193.9","658849.44","512990.88"
"62","236/188.0352mz/2.79min","255086.11","240752.45","258941.02","256916.3","299831.53","236823.6"
"63","237/172.0979mz/2.8min","274846.53","253183.5","247923.86","249300.12","314632.16","236191.48"
"64","238/243.0597mz/2.78min","173242.53","152619.64","209367.75","320403.03","100644.375","115614.84"
"65","239/339.1535mz/2.81min","340754.22","526496.2","422900.0","343480.28","490013.03","564860.56"
"66","240/158.0822mz/2.81min","16140113.0","13992656.0","14843354.0","14164827.0","16954568.0","14191587.0"
"67","242/226.07mz/2.81min","476544.75","486590.28","522175.97","586044.7","491193.84","521236.12"
"68","243/384.1427mz/2.86min","119126.79","171418.81","110681.96","115403.11","188089.52","125713.945"
"69","244/273.1455mz/2.83min","971221.3","548493.9","561010.4","1116398.1","1087687.2","543221.56"
"70","246/118.0509mz/2.83min","308257.38","21806.055","70652.54","3288.4846","82979.2","25872.684"
"71","248/483.2456mz/2.85min","251351.03","169377.56","160470.47","219863.4","300436.75","182318.31"
"72","249/243.1347mz/2.85min","939040.3","753862.44","500857.3","779227.9","927919.1","614741.06"
"73","250/241.1193mz/2.85min","8719396.0","6975125.0","7035724.5","7960434.0","8933823.0","7101713.5"
"74","251/293.1142mz/2.86min","668926.0","452183.38","491722.7","807620.0","790741.25","471286.22"
"75","252/255.1349mz/2.87min","214599.08","167421.02","183979.55","206277.67","248132.98","161540.64"
"76","253/159.0662mz/2.87min","359835.75","272527.34","274901.0","357944.12","393586.7","238240.22"
"77","254/426.1896mz/2.88min","481859.12","500399.06","275540.94","380431.2","620562.0","497700.44"
"78","256/341.1004mz/2.91min","336308.22","302784.1","258234.2","313898.8","491259.56","356077.4"
"79","258/227.1037mz/2.9min","151110.27","115161.68","143404.52","135058.19","161969.66","128649.22"
"80","259/130.0873mz/2.91min","1443396.0","1059819.4","1174779.0","1521996.2","1643244.5","1099178.5"
"81","260/172.0979mz/2.91min","12052883.0","9004134.0","22610090.0","12000325.0","14058182.0","8299441.5"
"82","261/240.0853mz/2.92min","364629.56","384759.4","923733.6","391375.53","434438.4","397009.2"
"83","262/367.1847mz/2.91min","236999.95","285713.66","298677.2","269452.0","352490.16","283692.44"
"84","263/384.1427mz/2.92min","363994.97","333187.22","214100.08","377388.5","567506.5","387741.38"
"85","264/273.1455mz/2.94min","445769.12","270704.25","283284.5","449443.97","510867.84","334092.0"
"86","265/224.0927mz/2.94min","451546.28","356370.4","420767.97","383171.7","433847.75","356224.47"
"87","266/317.1351mz/2.94min","560385.1","338924.8","410191.97","531593.0","654633.44","457472.5"
"88","267/230.1032mz/2.95min","306783.0","211518.81","257048.77","298864.12","318681.12","257131.19"
"89","268/171.1027mz/2.95min","2545849.0","1939913.2","1185213.0","2555282.0","2048727.6","1399705.5"
"90","269/186.1134mz/2.95min","1463137.9","929137.5","864202.25","844762.8","919132.25","684950.75"
"91","270/231.1348mz/2.95min","861525.9","652832.3","415493.56","841528.0","699468.94","467661.0"
"92","271/202.1085mz/2.95min","250384.5","202386.33","208566.38","218103.36","246843.6","186974.08"
"93","273/236.0927mz/2.97min","420392.6","347860.5","329455.66","441069.3","492176.1","374869.44"
"94","274/426.1896mz/2.97min","960306.9","904498.7","516713.6","755299.0","1191309.1","894264.25"
"95","275/192.0665mz/2.97min","3597811.0","3683569.2","1980855.2","2552194.5","3707337.0","2650130.8"
"96","276/130.0873mz/2.98min","1686441.1","1438083.1","1397472.9","1482726.6","1849379.6","1411685.9"
"97","278/341.1004mz/2.98min","535352.56","436911.0","357194.9","448522.94","756688.3","486980.3"
"98","280/257.1506mz/2.99min","308501.44","198640.16","176727.12","267961.44","335589.66","188492.39"
"99","282/275.1036mz/2.99min","2230337.0","1806815.2","1816401.9","2138691.8","2372823.0","1902671.9"
"100","283/456.2001mz/3.01min","260081.7","276441.44","157817.78","235101.17","329766.9","256237.1"
