"MetaboAnalyst_ID","Anid_HE_TJG15pt3_EV_alcA_CTRL_1_YT_neg_20210511_Run47.mzML","Anid_HE_TJG15pt3_EV_alcA_CTRL_2_YT_neg_20210511_Run103.mzML","Anid_HE_TJG15pt3_EV_alcA_CTRL_3_YT_neg_20210511_Run213.mzML","NEG_TJGIp1_1_Run50.mzML","NEG_TJGIp1_2_Run106.mzML","NEG_TJGIp1_3_Run180.mzML","shared_name"
"362/187.0975mz/3.45min",4.25860053681627,4.18638263531522,4.11350499451181,4.26523338238551,4.27236267633671,4.21003158747089,"362"
"363/291.135mz/3.46min",2.36242563942337,2.34380169303025,2.095424872344,2.28223311499043,2.40061398801473,2.2293209529692,"363"
"364/313.188mz/3.46min",3.21667946042011,3.16551176313722,3.05402244163777,3.3453574825853,3.28889755848519,3.11353584374246,"364"
"365/228.103mz/3.47min",3.2037541674406,3.15673613638185,3.05268689955716,3.15029370543037,3.17676313340818,3.07626219414995,"365"
"369/230.1032mz/3.48min",2.62260139510978,2.57835154078658,2.50230389884675,2.63116095855753,2.72477923359197,2.61769466152664,"369"
"371/220.0978mz/3.49min",2.71241051921069,2.67012018034331,2.56881539927659,2.69138863089548,2.78167965536824,2.64485355033111,"371"
"377/397.2008mz/3.54min",2.5700191022323,2.37124585636801,2.32012560011128,2.84572842096502,2.57242432037946,2.34729139350335,"377"
"378/156.1029mz/3.55min",2.57352197228128,2.42470901463549,2.40164579859045,2.56141784958613,2.59439636574271,2.42704533742057,"378"
"379/200.0928mz/3.55min",2.74999735195347,2.66068364681952,2.69343507897885,2.79848873042862,2.78039564187657,2.67344785932121,"379"
"383/243.1237mz/3.57min",3.09111923965934,2.88028846305638,2.7761772791689,2.96158678988046,2.9559446968452,2.87240735232291,"383"
"385/272.1698mz/3.6min",2.41403424951663,2.34586065804451,2.26866268413976,2.48491702479184,2.55273198760197,2.34189453449842,"385"
"386/271.1664mz/3.6min",3.3508397099476,3.27230160461289,3.18882366645961,3.39867799703936,3.42307468910276,3.2753195959992,"386"
"393/285.182mz/3.69min",3.64765371041984,3.48702027461751,3.46341638238601,3.65113554342046,3.69511964286573,3.48314523141359,"393"
"395/155.1078mz/3.69min",3.01159533810489,2.86167852104072,2.86678937233002,2.9621408642842,2.87447598627551,2.78481858299499,"395"
"396/199.0976mz/3.69min",3.4538458641301,3.32883260444295,3.32652371067128,3.41196269062107,3.3427022869673,3.25584907546359,"396"
"397/200.1009mz/3.69min",2.4851401222503,2.3553783199538,2.35007640167456,2.43971338542114,2.36356147854942,2.2671125906127,"397"
"399/228.0666mz/3.71min",2.39227775190137,2.35619284097069,2.16950119563722,2.30579328270756,2.42035064551393,2.28014988454643,"399"
"400/192.0667mz/3.73min",2.54164406159797,2.47354476004107,2.43938504379896,2.62083162438795,2.66672061316588,2.51823386644166,"400"
"402/200.1292mz/3.74min",3.25892880459722,3.19042605053013,3.09773938535361,3.21341077477891,3.29932816690657,3.18305857335057,"402"
"406/300.1451mz/3.75min",2.53538671685638,2.37897357973694,2.35892465707909,2.596343730242,2.5743820959157,2.44930443421955,"406"
"407/189.1132mz/3.75min",2.64270443399439,2.60460527216479,2.54255635211026,2.66876866365848,2.69276370585024,2.61024072759669,"407"
"408/171.1027mz/3.75min",3.58722482916927,3.54494457822901,3.46416387438585,3.62117687439911,3.62798815365662,3.54044875406126,"408"
"410/459.2824mz/3.78min",2.93577472763742,2.6278972560251,3.02383327413911,2.96291335292668,3.03415755792897,3.24079056470356,"410"
"415/226.1085mz/3.81min",2.49754436815483,2.42823624076522,2.3586252495669,2.45824083172743,2.56282881275979,2.40212336106272,"415"
"416/412.1037mz/3.8min",2.46635373206556,2.30555173859804,2.5090083344361,2.52470081475642,2.52661510142002,2.43621163127583,"416"
"417/287.1725mz/3.81min",3.16757301715818,3.17390187067653,3.03440905683623,3.24312131619167,3.25699922516031,3.0846047489529,"417"
"418/236.0962mz/3.81min",2.51557953801286,2.47763735645654,2.24821467046412,2.57976733794117,2.45932663053701,2.14366508291294,"418"
"421/201.1133mz/3.83min",2.40868345545966,2.33271328021838,2.17069518512759,2.3740178921291,2.34590771297949,2.2004056853258,"421"
"422/300.1452mz/3.83min",2.40239795658953,2.20611078185527,2.29687311703406,2.45842797646206,2.39994691434611,2.31960139711294,"422"
"423/261.0768mz/3.83min",2.24046878966589,2.24569529851318,2.53760210283047,2.51002484162222,2.61568609743498,2.75575597330951,"423"
"424/185.0819mz/3.83min",3.10182432330806,3.00389066432171,2.92939362077148,3.1564387246791,3.26282108190383,3.12269656746555,"424"
"426/141.0921mz/3.84min",2.32234092384473,2.20730225020243,2.13427807890394,2.36912855342065,2.47059906606936,2.31961182428196,"426"
"428/234.1135mz/3.85min",2.70450738982008,2.64918842718791,2.54545491171786,2.67595032647502,2.75749956677811,2.64549519191898,"428"
"435/179.0714mz/3.92min",2.82459227721638,2.66905454521979,2.65511802918194,3.04048859728528,3.00269909928231,2.48132536253737,"435"
"436/596.2844mz/3.92min",3.06692017642782,3.11720765359865,2.86821636730178,3.01927443350529,3.21720723040317,3.14713428620369,"436"
"437/213.0154mz/3.93min",2.44079059179442,2.53750026632867,2.51781064538138,2.6109154848084,2.47538627248998,2.50651635066877,"437"
"439/141.0921mz/3.95min",2.34525669210629,2.30024774469327,2.12127685800032,2.41047667445473,2.53888658712983,2.34710142768911,"439"
"442/261.0768mz/3.96min",2.56993757777093,2.5311901944436,2.73236054770761,2.84587063926553,2.91751984917739,3.02373766755933,"442"
"443/245.0455mz/3.96min",2.49281231843156,2.40246104677626,2.52529783388418,2.61453889141319,2.60453992470021,2.54709178236699,"443"
"445/225.1133mz/3.98min",2.74934102765104,2.69009162365801,2.6470363792097,2.88562027723155,2.8597773999867,2.74755546433008,"445"
"450/511.1949mz/4.02min",3.21625743069588,3.21899776603592,3.02002175134753,3.16027248034944,3.39066527494402,3.26666215686332,"450"
"454/200.1293mz/4.03min",2.70306448345363,2.57065420531183,2.4900213015855,2.73626418614136,2.86076329846544,2.56374125551169,"454"
"455/165.0557mz/4.05min",2.60512747140751,2.4272043940847,2.55769723487022,2.64244049040912,2.55852355317655,2.36257501393256,"455"
"458/538.2424mz/4.07min",2.53310224206645,2.56527267629226,2.28409305282751,2.53081670133946,2.70207671150285,2.57720281528141,"458"
