row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,2024_NEG_Y-p10_3_Run145.mzML Peak area,2024_NEG_Y-p10_2_Run130.mzML Peak area,2024_NEG_Y-p10_1_Run104.mzML Peak area,2024_NEG_Y-EV_1_CTRL_Run89.mzML Peak area,2024_NEG_Y-EV_2_CTRL_Run118.mzML Peak area,2024_NEG_Y-EV_3_CTRL_Run139.mzML Peak area,Unnamed: 19
92,85.02941983706035,0.56118476,,,,6.0,,,,,,,1921597.5,1649282.6,1724212.6,2167861.2,2023626.4,559091.25,
30,85.02943282605732,0.38347244,,,,7.0,1.0,[M+H]+,,2.0,40;30,84.02157,985953.7,1013800.3,1053931.2,1332960.4,1059721.9,952515.9,
189,85.06588448195345,3.1314437,,,,,,,,,,,177905.7,31060.836,87265.414,200423.47,234140.6,428468.75,
44,87.00861752675415,0.3870627,,,,7.0,,,,,,,850915.9,905933.6,947295.8,881645.94,900738.25,1186008.9,
83,87.0086237809512,0.5363674,,,,6.0,,,,,,,1245426.4,2157183.8,1327557.9,973430.9,1781740.6,1682582.2,
515,89.02441481152741,9.971961,,,,,,,,,,,1162043.1,6427031.0,6076271.5,1256348.4,6460971.5,6124960.5,
514,89.02441485840357,9.816628,,,,,,,,,,,6256896.5,1215316.5,1201088.8,5976888.0,1273390.0,1273370.5,
502,89.02441793140106,8.966887,,,,,,,,,,,849722.5,768740.44,1651220.1,662958.06,1553249.5,1799351.2,
8,92.9280328843091,0.34036097,,,,,,,,,,,166357.16,198642.16,189167.16,129087.43,133467.64,295466.34,
562,96.96012798230512,10.621151,,,,,,,,,,,8171078.5,9064067.0,9076936.0,8486505.0,3694926.5,8677302.0,
4,96.96015079042292,0.3215035,,,,,,,,,,,725957.56,653235.25,625472.5,567085.0,668463.2,646148.06,
5,96.96963460573572,0.32939413,,,,,,,,,,,1842814.9,2393411.5,2029781.6,1613287.5,1939389.8,1521483.4,
499,100.93364967527974,8.856369,,,,,,,,,,,707062.7,577303.75,429570.06,721615.2,662212.06,2992499.5,
487,100.93365258800884,8.531516,,,,,,,,,,,184782.64,658159.7,470506.16,259101.08,313244.03,452373.84,
486,100.93365329096878,8.445028,,,,,,,,,,,563141.5,732487.1,1282970.0,371033.4,313244.03,874049.56,
436,100.93365388265086,7.8362637,,,,,,,,,,,361888.0,131052.84,144373.16,1271478.2,1150849.9,453735.34,
459,100.93365404479094,8.107724000000001,,,,,,,,,,,340119.88,249109.33,530389.5,1167684.6,315357.94,485824.72,
450,100.9336545189976,7.9468955999999995,,,,,,,,,,,547734.94,520577.38,558539.44,639161.1,1072795.1,652849.2,
460,100.93365457492972,8.148555,,,,,,,,,,,250972.97,403343.5,481282.66,3975952.5,668905.4,479332.1,
465,100.93365572637195,8.259051,,,,,,,,,,,3872332.8,686998.7,1247894.8,1087178.4,2047086.9,666276.5,
517,100.93365854508477,10.21678,,,,,,,,,,,1132331.9,1337314.8,345595.97,1448070.4,333885.62,587081.5,
9,102.95686247204029,0.34221354,,,,9.0,,,,,,,383894.28,368244.75,401936.1,377074.2,365040.6,573377.75,
84,111.00883618494206,0.53201264,,,,6.0,,,,,,,18820840.0,21600770.0,14005841.0,12126495.0,21954690.0,25884776.0,
33,111.00884095990442,0.38526824,,,,7.0,,,,,,,8818568.0,9940215.0,9802145.0,7592627.5,9212510.0,12294356.0,
39,112.01219288340435,0.38167617,,,,,,,,,,,170896.97,571237.8,305902.88,407722.72,382384.4,630465.06,
536,112.98567534591923,10.280476,,,,,,,,,,,3592693.5,2508784.8,3501965.0,3818942.2,3771856.0,1897721.2,
506,112.98567608389321,9.033778,,,,,,,,,,,262587.38,428124.16,391562.16,418583.78,472812.66,390934.75,
11,112.98567881848913,0.34775959999999995,,,,9.0,0.0,[M-H+2Na]+,,2.0,11;6,68.01436,1193201.6,1147425.0,1216046.1,1240679.5,1186654.0,1389233.0,
190,113.06084174792255,3.131749,,,,,,,,,,,30893.566000000003,0.0,5064.709,37502.145,41764.9,91464.484,
167,113.06085623499945,2.8000252,,,,,,,,,,,279342.22,134219.78,172501.39,313835.66,351036.4,720924.5,
500,115.92075200821085,8.841957,,,,,,,,,,,4516271.5,4526246.0,1631028.0,1795836.0,4090532.0,2208193.0,
483,115.9207530982534,8.441687,,,,,,,,,,,2400885.2,2288652.5,4207728.5,2218319.2,3183338.8,2199949.0,
474,115.9207551684712,8.283475,,,,47.0,,,,,,,5139023.5,5556432.5,4362651.5,1783379.1,10993412.0,2740897.8,
463,115.92075523623829,8.138341,,,,,,,,,,,837968.3,758807.8,1355811.6,15589761.0,2897094.8,2434756.0,
457,115.92075689907152,7.950558,,,,53.0,,,,,,,3073781.0,1443195.0,2479707.8,2352779.5,1588231.2,2104493.5,
437,115.92075703069702,7.835864999999999,,,,48.0,,,,,,,883610.0,1731579.0,1440256.1,2061448.5,1938771.2,2443409.5,
518,115.92076304263357,10.208383999999999,,,,10.0,,,,,,,3917191.5,2913729.0,3720742.2,4106015.0,3961647.5,3673958.8,
438,116.92856919747987,7.8369503,,,,33.0,,,,,,,5480293.5,5118043.0,5442454.0,10945287.0,6527461.0,5038330.0,
539,116.92857070038616,10.352858,,,,,,,,,,,1644137.8,1292745.8,1512783.0,1693864.1,1620666.6,1367544.5,
107,117.01935948615316,0.65341526,,,,,,,,,,,8354541.0,19712130.0,6317294.0,2589090.2,2500304.0,4921846.0,
138,117.05576453576596,2.1228216,,,,17.0,,,,,,,2048397.6,3574398.0,2507972.2,2737682.0,3140698.2,5628634.0,
18,118.05101071360565,0.35718688,,,,,,,,,,,1699861.9,4793821.0,189954.22,121723.06,136772.75,119116.25,
561,128.03534681917566,10.619209,,,,,,,,,,,2326272.0,4147770.5,2685941.0,2201193.0,2937577.5,3250581.8,
94,128.03535644137682,0.6127891,,,,,,,,,,,4440249.5,3348440.0,4291377.5,2988915.0,2294682.8,4522505.0,
56,128.0353634391332,0.40326202,,,,,,,,,,,1247873.1,2460486.5,1194350.5,628474.2,870518.0,1769616.9,
88,129.0193666325315,0.54987794,,,,6.0,,,,,,,7308497.0,3808082.5,4359092.5,6093642.5,6498432.0,6017221.0,
38,129.01937112261533,0.3853115,,,,7.0,,,,,,,3224763.0,3197637.0,3201615.8,4233665.0,3499771.0,2602403.0,
149,129.05574920296763,2.4350014,,,,30.0,,,,,,,2223998.5,1368336.4,1757962.0,821257.75,1109955.6,7938902.5,
175,131.0714046567277,2.923803,,,,,,,,,,,3505393.2,5321027.0,4855076.5,4909828.0,5368762.5,8910363.0,
14,132.03025615571974,0.35432518,,,,31.0,,,,,,,420556.7,229393.33,450119.97,597256.44,688869.75,415305.94,
96,132.03026980185282,0.6383443,,,,,,,,,,,365145.3,6205.326,32135.766,224569.45,568549.7,14365.707,
279,132.8678577932851,5.9219723,,,,,,,,,,,174595.78,165619.94,170422.39,178595.38,105897.945,638650.56,
481,132.86786071653228,8.474378,,,,,,,,,,,130430.35,29773.676,126119.44,75139.33,142024.44,156024.1,
554,132.86787369639976,10.481963,,,,,,,,,,,282446.8,961680.9,363083.3,781053.2,286843.28,1317733.0,
105,133.01426046682772,0.6428656,,,,,,,,,,,1936842.6,1040542.3,1682141.0,1097659.5,1064056.0,676022.2,
54,133.0142713627598,0.39892069,,,,45.0,,,,,,,2266816.2,4013708.5,2148914.5,1909259.9,1856834.1,2591198.0,
97,133.05063668948137,0.6293151,,,,,,,,,,,315207.38,2071323.4,144487.47,41337.09,134934.61,189295.56,
516,134.89465061226915,10.200150500000001,,,,,,,,,,,160938.05,128295.42,117721.71,199631.44,168424.02,116290.28,
423,134.89466536110942,7.532889,,,,,,,,,,,376365.12,588020.3,542290.8,233570.0,785435.4,428367.53,
478,134.8946655635263,8.404067,,,,,,,,,,,1471526.1,1596693.2,1758867.8,2330416.0,1374920.5,583123.6,
415,134.8946662101732,7.438865,,,,,,,,,,,692702.06,642868.4,662779.1,922817.9,1122907.0,651587.7,
439,134.89466644345842,7.837152000000001,,,,33.0,,,,,,,1257594.0,1127299.9,993206.56,5039524.5,1353587.1,1363928.6,
452,134.89466842710377,7.940326700000001,,,,,,,,,,,588218.3,680203.9,756573.8,1670277.4,632510.6,1082014.0,
471,134.89466854745234,8.279983999999999,,,,47.0,,,,,,,1278134.6,1690923.8,1130604.4,3362314.5,1365443.9,991368.3,
170,136.04042690672384,2.828264,,,,,,,,,,,3652392.8,963261.25,3943217.8,5554352.5,6091058.5,9360481.0,
200,144.04549203992613,3.3941470000000002,,,,,,,,,,,171581.28,309918.56,204465.77,206891.5,207629.9,350988.0,
444,144.92346453976558,7.851282,,,,48.0,,,,,,,811942.8,848964.9,917722.94,2206755.0,1481279.8,1402086.4,
519,144.9234658942249,10.210846,,,,10.0,,,,,,,2209145.8,1735828.4,2032208.4,2468152.5,2186462.0,1817820.1,
461,144.92346622489606,8.158077,,,,,,,,,,,1515230.1,1516145.8,1520064.8,9539415.0,1734851.9,1555028.6,
456,144.9234662955744,7.9557595,,,,53.0,,,,,,,1391997.4,827740.8,1048896.0,2586009.5,1176081.8,1021217.5,
473,144.923467629091,8.268651,,,,47.0,,,,,,,3616496.5,2939198.2,6246870.0,2788523.2,2883870.5,2872249.8,
482,144.92346887150993,8.41419,,,,,,,,,,,1690023.0,1836569.1,1971191.9,2331105.0,1792110.6,1171282.0,
124,145.05066279386912,0.97583157,,,,,,,,,,,462894.38,2307800.8,771344.44,692384.0,662588.44,2386216.0,
15,145.06187217886367,0.35718688,,,,,,,,,,,145183.05,276788.5,72513.77,75597.8,75041.3,54528.0,
19,146.04590605532698,0.35718688,,,,,,,,,,,725905.4,1992592.5,1443316.6,1593750.1,907113.5,1837515.4,
103,146.04591016312338,0.65160656,,,,,,,,,,,1568500.5,261709.69,428872.38,1536500.5,1461411.4,204566.47,
504,146.9659411976571,9.003444,,,,,,,,,,,975537.0,887905.3,933888.5,1252229.8,693242.25,529836.2,
497,146.9659463908164,8.764049,,,,,,,,,,,8218398.5,6956642.0,7677465.0,8647813.0,6455144.5,2955383.0,
128,147.06628332912234,1.2565718000000001,,,,,,,,,,,471537.84,2532935.2,236292.78,267949.94,278492.88,150718.48,
6,154.06221298114045,0.33857129999999996,,,,9.0,0.0,[2M+NH4]+,,2.0,11;6,68.01436,556477.5,882755.4,606079.1,589537.75,645132.25,417909.9,
134,156.06662564106492,2.0598468999999997,,,,,,,,,,,287153.5,250227.64,565749.3,1941036.9,2403060.0,2666349.5,
168,157.050589371798,2.7986765,,,,,,,,,,,2482034.5,1206608.8,1562928.1,2776096.2,3133822.5,6316448.0,
3,158.97850372848794,0.30734923,,,,,,,,,,,509480.38,410570.75,470785.7,500331.0,550333.56,449127.34,
543,160.8419712896196,10.438645,,,,8.0,,,,,,,291835.66,236955.81,310703.94,282082.25,287790.3,161181.33,
114,161.04553206198318,0.78886026,,,,,,,,,,,7362258.5,6998635.0,8346322.0,12606812.0,12241577.0,13680140.0,
475,161.9135610449563,8.282667,,,,,,,,,,,288642.16,251938.72,283984.8,1077415.6,196865.73,144753.62,
442,161.9135629146599,7.8369503,,,,,,,,,,,163674.98,195019.92,248342.28,1657096.5,325903.66,226290.42,
454,161.91356470909,7.943529600000001,,,,,,,,,,,202605.44,148805.86,220030.42,474334.8,224005.78,208435.12,
480,161.91356547261083,8.405841,,,,,,,,,,,361425.22,454355.16,407345.34,691550.6,425187.38,125479.01,
544,162.83904481903397,10.438616,,,,,,,,,,,294189.1,230746.56,304613.5,279924.75,285779.9,159814.95,
191,164.03530859460787,3.1408231,,,,,,,,,,,1311755.0,701353.3,1242292.2,1542885.9,1743191.1,3461248.5,
7,164.9569939187995,0.33857727,,,,9.0,,,,,,,428087.03,520343.5,494704.06,404923.9,446508.2,394718.9,
186,165.05566854164252,3.126996,,,,5.0,,,,,,,1415576.8,2371256.5,1787820.9,1644299.8,1732001.9,2991095.5,
185,172.0979011137494,3.0765312000000002,,,,,,,,,,,262601.3,277263.38,303441.56,298350.94,311800.25,640666.4,
90,173.00914755537562,0.55312973,,,,6.0,,,,,,,22472624.0,11212173.0,17911246.0,22642302.0,20864826.0,17171786.0,
45,173.00915739478557,0.3870627,,,,7.0,,,,,,,9060468.0,7429938.0,9227881.0,11160759.0,9564114.0,7624439.0,
91,174.0125786626299,0.55094033,,,,,,,,,,,73417.734,94534.3,269577.44,1374326.1,927171.56,517204.7,
27,174.01260080440488,0.38798568,,,,,,,,,,,612958.94,210713.19,209315.62,740453.8,740095.25,439148.3,
24,174.0771046628321,0.36362743,,,,,,,,,,,141821.06,78523.766,962555.75,556585.75,1834087.6,2126705.2,
132,175.06113729776337,2.034385,,,,,,,,,,,0.0,0.0,11619.33,33782.637,47234.715,59266.492,
148,175.06114937699974,2.4323359,,,,30.0,,,,,,,131625.56,193051.94,148289.78,150813.27,202875.27,370098.16,
