Filename,2024_NEG_Anid-EV-alcA_CTRL_1_Run177.mzML,2024_NEG_Anid-EV-alcA_CTRL_2_Run198.mzML,2024_NEG_Anid-EV-alcA_CTRL_3_Run230.mzML,2024_NEG_Anid-TJGIp4_1_Run183.mzML,2024_NEG_Anid-TJGIp4_2_Run212.mzML,2024_NEG_Anid-TJGIp4_3_Run233.mzML
Class,CTRL,CTRL,CTRL,EXP,EXP,EXP
259/309.1093mz/2.37min,99458.336,277785.6,206817.44,217190.0,212883.55,47026.402
260/238.0721mz/2.36min,411191.56,381380.53,261372.73,244759.78,226778.94,70521.81
261/151.0401mz/2.37min,216143.47,273523.56,174830.34,170039.97,182140.8,194235.78
262/153.0194mz/2.37min,1266050.4,2893137.2,862548.9,182533.98,107087.305,0.0
263/212.0565mz/2.38min,1179073.9,2089542.6,1108593.6,1012688.06,1142759.6,585981.94
264/258.0983mz/2.4min,285070.0,443679.25,1923301.2,2041446.0,353930.7,1322013.5
265/214.1085mz/2.38min,4729.5186,9988.089,182870.0,216920.44,8768.494,127985.305
266/240.0878mz/2.38min,1258337.0,1614772.5,1200090.5,1109134.0,1150428.5,1052938.0
267/230.1034mz/2.39min,179667.1,153373.73,388002.44,198499.31,175193.25,19519.174
269/229.1558mz/2.32min,54517.66,77811.61,155522.97,74902.56,69956.74,625130.75
270/259.13mz/2.43min,127323.17,91627.57,152444.69,1236752.8,28921.861,51975.52
271/222.0771mz/2.4min,384012.5,423635.16,227312.05,89410.9,139602.62,72323.96
272/168.0666mz/2.4min,602248.4,997942.2,988115.2,745210.06,774331.3,429217.22
273/286.1409mz/2.44min,0.0,15066.003,441113.1,0.0,0.0,0.0
275/210.0772mz/2.41min,1439765.8,1881631.6,1775077.5,1397275.1,1422554.4,1329114.9
277/180.0302mz/2.43min,288014.2,380781.3,403799.47,400287.4,361851.28,284391.12
278/129.0558mz/2.43min,3927831.0,2888937.5,11154930.0,4017704.0,2903171.5,7534690.0
279/175.0612mz/2.43min,462859.5,722103.25,747209.3,777050.7,368038.1,153271.25
280/479.1787mz/2.43min,428307.34,328918.62,388195.94,456497.66,508200.88,4436.557
281/326.1245mz/2.47min,249053.73,297025.6,13580.582,5092.0254,22404.53,0.0
282/416.1826mz/2.43min,2227031.0,1854750.9,1983088.2,2140991.2,2478237.2,149752.4
283/762.321mz/2.44min,490510.97,523562.5,362991.25,380601.16,420932.1,5909.4746
284/345.1301mz/2.44min,9656169.0,12888154.0,7103777.5,7366411.0,7775695.0,6563906.5
285/346.1336mz/2.44min,1452745.2,1910354.0,1059131.4,1088285.1,1148320.5,999649.0
286/691.2683mz/2.44min,587830.9,937644.6,347672.47,327134.3,350043.12,336600.34
287/160.0405mz/2.44min,91192.68,96726.42,607205.3,262742.5,105219.36,0.0
288/205.0336mz/2.44min,24212.28,52882.06,354424.9,167665.42,45948.914,0.0
290/605.2258mz/2.44min,35525.906,3581.8865,277639.1,162170.83,109496.305,0.0
291/204.0302mz/2.44min,604096.44,592567.6,3783777.8,1783465.8,696917.25,144436.86
293/188.0353mz/2.45min,829771.9,475065.4,5127584.5,2642855.5,1969343.1,258486.11
295/313.0678mz/2.46min,283094.66,263169.88,108010.875,468657.7,601838.56,350299.06
297/282.0984mz/2.46min,835054.7,1185163.9,758517.56,1259747.4,955632.25,1887106.9
298/287.0563mz/2.46min,214267.03,284755.94,0.0,0.0,0.0,0.0
300/158.0822mz/2.45min,63790.074,70977.59,896946.9,692291.3,145141.02,316461.88
301/194.0459mz/2.47min,4410509.0,4785957.5,4436219.5,4638122.5,5500808.5,1151199.1
302/237.0881mz/2.47min,433553.72,599632.4,394699.75,336780.94,408027.66,344200.7
303/259.13mz/2.47min,140205.73,177778.4,5357950.5,1451284.9,723569.25,54414.875
304/264.0514mz/2.47min,300608.8,608652.9,244487.17,160349.05,205833.1,32677.46
306/322.1257mz/2.47min,0.0,0.0,329252.66,101203.46,43742.69,0.0
308/136.0404mz/2.47min,948630.4,1516438.1,1046143.8,796263.7,1001216.25,877694.44
309/144.0455mz/2.47min,311724.94,425352.75,929936.3,280793.22,249444.06,3695.2976
310/260.114mz/2.48min,986164.3,1264311.2,526118.6,316638.7,329798.47,389100.03
311/905.3653mz/2.48min,12274.434,0.0,416221.44,123336.97,62069.277,0.0
313/752.2992mz/2.49min,594150.2,1027538.6,4462516.5,1146753.5,910317.25,94697.875
314/716.3225mz/2.49min,1795666.9,1627591.6,6144086.0,3535458.5,2836249.8,232280.97
316/779.3181mz/2.49min,770389.25,694470.0,3025980.0,1622789.8,1237075.6,109038.47
321/167.035mz/2.49min,43335.086,0.0,2515983.2,643142.2,203799.77,147143.02
322/190.0509mz/2.52min,399501.97,782626.2,206510.52,126579.91,175586.81,99312.63
324/755.2998mz/2.49min,54794.035,102846.195,498328.5,116330.6,103198.97,0.0
328/146.0612mz/2.5min,1353362.5,1939206.0,1045152.9,71277.02,258375.28,0.0
329/234.0771mz/2.5min,97070.914,136967.03,5017.055,30109.613,59011.09,99755.27
330/181.0507mz/2.51min,1538228.1,1032226.6,1652929.4,1615959.6,2408707.0,1732898.5
332/182.046mz/2.51min,47000.99,62743.355,35667.3,31487.387,36703.31,29170.535
333/182.0539mz/2.51min,130037.29,47916.156,55437.766,118646.16,195894.39,125808.96
335/175.0612mz/2.52min,6634416.5,9979038.0,10864197.0,11817779.0,7181359.5,3289153.2
337/139.0401mz/2.52min,330695.72,417905.12,15827344.0,3308851.8,4650739.0,123772.85
339/240.0878mz/2.53min,484291.47,768745.1,363180.3,347862.75,394900.56,496636.5
340/176.0645mz/2.52min,485133.9,731243.1,789935.56,890878.44,512867.12,229481.61
344/229.1558mz/2.52min,10831.207,14108.583,4215.836,68230.9,76778.37,762563.4
345/318.1672mz/2.53min,89791.52,87341.484,998911.06,574847.5,608318.44,0.0
346/95.0503mz/2.53min,16159.621,15130.328,1389158.5,262178.22,337032.7,0.0
348/192.0665mz/2.54min,13048.298,4829.204,262201.88,273263.1,129919.484,0.0
349/180.0666mz/2.54min,1341020.4,970185.25,72133.61,961992.44,1823448.8,95973.45
350/349.1039mz/2.54min,679700.1,618096.25,397529.1,657362.44,745841.94,432666.88
351/153.0194mz/2.51min,279268.62,292158.9,2672796.0,882878.6,570862.2,0.0
355/285.1457mz/2.56min,48969.055,29586.293,769984.56,456728.6,279718.28,41800.21
357/232.119mz/2.57min,240467.44,272342.62,1163844.9,471405.47,164324.83,89685.52
358/327.1197mz/2.56min,431923.4,505360.3,243227.0,321166.75,312959.2,278049.16
361/288.0725mz/2.61min,202388.39,598755.4,23282.648,5533.6553,34698.426,18147.139
362/301.1406mz/2.57min,1413009.5,1317255.8,1488570.9,988309.75,1012666.4,250362.84
363/281.1144mz/2.57min,709936.7,1024214.94,3108250.5,1480293.2,1137515.4,389853.16
364/237.1245mz/2.57min,77563.82,99828.31,334793.2,156474.77,90184.48,34046.723
365/282.1179mz/2.57min,83485.3,122035.125,404168.88,200876.4,132773.98,20453.041
366/129.0558mz/2.52min,823498.4,608445.2,7409046.5,2730165.5,723783.25,7028451.5
368/611.2573mz/2.57min,232215.17,211872.55,236532.39,155134.84,154912.31,25573.469
370/591.231mz/2.58min,91501.375,130368.79,380846.97,167278.7,122990.56,40077.773
371/265.083mz/2.58min,1118218.0,1233017.9,948543.06,1007417.5,981514.5,936648.5
372/309.1093mz/2.58min,7888553.5,9016465.0,6780993.5,7467043.0,7127912.5,7135825.5
373/619.226mz/2.58min,984391.1,1140694.2,825389.06,827782.2,770231.44,817434.94
374/254.1034mz/2.59min,2064674.2,2648154.2,1173447.4,2084261.8,1409307.0,2972203.2
375/272.0235mz/2.59min,0.0,0.0,1645360.2,2060968.9,1256482.8,0.0
376/210.0771mz/2.65min,74559.31,179221.5,129123.46,347633.38,213667.47,346280.4
378/246.0983mz/2.6min,119355.67,100863.11,263380.6,319610.97,203196.95,12736.811
379/326.1246mz/2.59min,853690.4,886109.9,9011.283,20625.098,218053.39,0.0
380/214.1085mz/2.6min,182246.81,220940.72,401608.16,562171.1,338127.75,41246.49
384/183.0663mz/2.61min,329181.9,356371.97,3791394.5,657086.1,866317.44,91714.414
386/367.1394mz/2.61min,0.0,0.0,79958.42,0.0,0.0,0.0
388/225.0881mz/2.61min,303275.47,532163.75,1602977.4,790617.1,501633.44,348231.44
