"MetaboAnalyst_ID","NEG_TJGI2pt1_EV_gpdA_CTRL_1_Run14.mzML","NEG_TJGI2pt1_EV_gpdA_CTRL_2_Run144.mzML","NEG_TJGI2pt1_EV_gpdA_CTRL_3_Run195.mzML","NEG_TJGIp7_1_Run17.mzML","NEG_TJGIp7_2_Run141.mzML","NEG_TJGIp7_3_Run156.mzML","shared_name"
"443/493.1631mz/4.69min",4.15105853586743,3.72601453300212,3.65144502674669,4.12403229779745,3.7369458860398,3.71495890755242,"443"
"447/447.2026mz/4.68min",2.38061952819833,2.14277149510619,2.19495239834105,2.37821326093781,2.17194247288645,2.30631833876985,"447"
"448/461.2178mz/4.72min",2.26605152381256,2.27618367850347,2.32932800692528,2.13206401306342,2.51584249683041,2.56371540391593,"448"
"451/507.1423mz/4.7min",2.59162541067884,2.20937230911186,2.12268965278813,2.71528736586654,2.26387653579954,2.14606296814376,"451"
"454/520.1817mz/4.7min",2.97650786702226,2.6264968412766,2.51817547748011,2.9729351080679,2.62869757261048,2.61884849541438,"454"
"458/433.2225mz/4.71min",2.24895488830166,2.0498841977646,2.07628609907438,2.09536815849028,2.18831702420725,2.21294813319883,"458"
"463/417.1552mz/4.71min",3.21510008185763,3.16032275542285,3.1595122343168,3.17122775561282,3.17487932140039,3.19653789359214,"463"
"471/431.207mz/4.73min",2.42207116616675,2.43713954186675,2.35325324132062,2.35737966610407,2.49379555342752,2.551988395361,"471"
"474/412.1846mz/4.74min",2.99827731847461,2.99467541862615,3.03659477830804,2.91957252064794,2.94653162927089,3.00246673574433,"474"
"475/440.1788mz/4.75min",2.26033679473044,2.68052661058026,2.75252069350264,2.63949392445253,2.74267560501583,2.7591626606113,"475"
"476/411.181mz/4.74min",3.59728800611901,3.57334380442043,3.63067172147651,3.51195744185664,3.58167784638274,3.60018679285968,"476"
"477/439.1761mz/4.74min",3.31415057623418,3.29296049007192,3.3311166668347,3.28748945186857,3.31323620067317,3.32030195593397,"477"
"478/895.3548mz/4.74min",2.54457602553364,2.50249123796053,2.52025136369898,2.53901298638853,2.53634898743761,2.51721840879628,"478"
"480/492.1514mz/4.78min",3.49476335100029,2.83257029136555,3.39791798211366,3.61923891368093,3.12988762794088,2.92161049428766,"480"
"481/873.3331mz/4.75min",3.0869221339224,3.05035667026758,3.06340882326577,3.0352040239677,3.09230617822858,3.09091151216413,"481"
"482/947.406mz/4.75min",2.16709708544871,2.13939293107829,2.26291403322672,2.02268756333883,2.2409240579802,2.30145268531711,"482"
"483/492.2317mz/4.75min",2.70373868081395,2.6420423424357,2.74336159786109,2.52959422168263,2.67938934069136,2.79721013527835,"483"
"484/491.2288mz/4.75min",3.22424210452802,3.19109201271972,3.2983984538181,3.06309376202257,3.21002737138877,3.34709786925705,"484"
"488/461.2185mz/4.76min",2.93596002527564,2.68336485703065,2.77181954135278,2.74970090301566,2.86368743832554,2.93600337623448,"488"
"490/477.2131mz/4.76min",2.92677973199456,2.63801417986782,2.64787866097131,2.6953207308618,2.67551097536365,2.77521257416815,"490"
"491/442.1958mz/4.76min",1.9657813770558,2.23842635366218,2.0709349122483,2.19394258591151,2.23705262064507,1.90938683138061,"491"
"492/367.1911mz/4.77min",2.70107932663603,2.69084459373064,2.73882876337931,2.64226569980319,2.69871635924944,2.7182400534334,"492"
"493/911.3492mz/4.77min",3.59215078395129,3.57486410272238,3.62466252611128,3.49852542736883,3.60049193784369,3.60013729296484,"493"
"494/502.1795mz/4.78min",4.92716265135579,4.91129582130228,4.93880469735609,4.84486586045804,4.84369383737913,4.92745735670825,"494"
"495/957.3543mz/4.78min",3.52078208016912,3.42122395081073,3.48444481562657,3.3872602073081,3.49466612547215,3.46325709702487,"495"
"496/501.1765mz/4.78min",5.46244056129478,5.4475058695746,5.47498782683306,5.37965891660999,5.45769000582538,5.46200846077558,"496"
"498/455.171mz/4.78min",4.54665121934714,4.54105759152978,4.57990568365654,4.48898889000867,4.55712925639251,4.57374277843832,"498"
"499/456.1744mz/4.78min",3.99866545447187,3.98430186137085,4.01817730863884,3.91902460194144,4.00194446427818,4.01748433320602,"499"
"501/504.1839mz/4.78min",3.39628355435008,3.35300067730438,3.37538477519876,3.30581497804251,3.37122372678145,3.39549710336247,"501"
"502/493.1443mz/4.78min",3.97071525193493,3.51515420654349,3.43455377124681,3.92338142036854,3.51854310984158,3.50967987069645,"502"
"503/449.2181mz/4.78min",3.70787436809659,3.26756615332428,3.29978763850795,3.49653811125844,3.33080215680086,3.39878609889516,"503"
"504/450.2217mz/4.78min",3.10112653454058,2.68480420086896,2.72298622845895,2.87236019483092,2.74723419188405,2.79054788516526,"504"
"505/447.2019mz/4.79min",2.56460006132537,2.28133100853676,2.16564062991643,2.41122029127787,2.41476889345672,2.27644603245998,"505"
"506/491.1479mz/4.79min",4.50347562760355,4.0519763844667,3.96874373048645,4.4553534122506,4.05879784324003,4.04203044094595,"506"
"509/479.2284mz/4.8min",3.52097069362194,3.14917456754767,3.16413278911612,3.26655560369171,3.18966897352477,3.31073626239866,"509"
"513/494.1478mz/4.8min",3.41580495094385,2.94997037033193,2.86786550269412,3.35861983846762,2.95407128016774,2.94884369175147,"513"
"514/518.1657mz/4.81min",3.60091891424944,3.21459592946855,3.10765397997421,3.54810237266631,3.21169759535479,3.21626801791169,"514"
"517/444.211mz/4.82min",2.14299537411192,2.14440015170605,2.29012840973934,2.10224756864715,2.08483583575307,2.32352024166659,"517"
"518/443.2076mz/4.82min",2.80942041580532,2.78278167523864,2.86774893807917,2.70380883100447,2.85272210648104,2.8832286405515,"518"
"520/429.1915mz/4.85min",2.52234273202416,2.24855261389392,2.20489812505121,2.39976696301549,2.00035428930457,1.9978446315981,"520"
"521/489.2133mz/4.82min",3.3825753771225,3.28860499163425,3.38702063248054,3.18341449179881,3.36954554487897,3.41976427467634,"521"
"522/490.2164mz/4.82min",2.84646158182307,2.32293194116314,2.83530784047896,2.45527606357749,2.80564217769046,2.86814275748194,"522"
"525/473.1808mz/4.83min",2.35770609604561,2.37283919472512,2.4202528602161,1.83261083044356,2.42150922364281,2.4278337535079,"525"
"527/209.1546mz/4.83min",1.87431481867738,2.26506332895292,2.21150235096728,1.83561659991679,2.26801416978421,2.10171288795358,"527"
"528/709.3233mz/4.83min",2.35114670174964,2.63131900183795,2.55319914712425,2.42668065608459,2.62455869538407,2.5279720183806,"528"
