"","filter","NEG_TJGI2pt1_EV_gpdA_CTRL_1_Run14.mzML","NEG_TJGI2pt1_EV_gpdA_CTRL_2_Run144.mzML","NEG_TJGI2pt1_EV_gpdA_CTRL_3_Run195.mzML","NEG_TJGIp7_1_Run17.mzML","NEG_TJGIp7_2_Run141.mzML","NEG_TJGIp7_3_Run156.mzML"
"67/153.0557mz/2.16min",37655.4765,26660.945,38744.57,53826.625,26340.574,36566.383,47262.477
"68/131.0714mz/2.21min",164487.145,137986.11,166555.34,169418.98,134876.48,182603.55,162418.95
"69/180.0337mz/2.26min",32506.192,25159.244,39853.14,40124.16,3813.3486,217997.3,24256.266
"70/196.0108mz/2.26min",3544998.3,2137854.2,3994986.5,3915618.8,1752018.1,8676481,3174377.8
"71/144.0455mz/2.34min",755917.63,869289.56,680520.56,722656.75,783665.7,788226.06,728169.56
"72/158.0823mz/2.36min",156215.275,143659.61,148174.6,168394.48,145311.52,164255.95,166161.77
"73/188.0353mz/2.4min",765453.975,717033.7,737707.56,786489,776156.7,799435.1,754751.25
"74/139.0401mz/2.45min",909999.475,380847.6,1000188.75,1121717.4,734646.2,1024567.75,819810.2
"75/769.234mz/2.57min",1065165.63,689802.56,981869.2,1100387.2,1029944.06,1225470.8,1301306
"76/815.2397mz/2.57min",824398.93,480706.06,748264.3,877930.06,770867.8,934730.06,1010147.75
"77/178.051mz/2.62min",180991.78,150918.5,179995.73,181987.83,168772.36,203835.52,185573.98
"78/213.9639mz/2.64min",231765.405,338189.56,220124.5,221333,948815.1,242197.81,208457.28
"79/158.0823mz/2.72min",588122.5,608420.6,534149.56,567824.4,520616.1,611612.4,652690.06
"80/444.2005mz/2.73min",32127.16,10987.552,32905.71,31348.61,29316.463,57285.188,40061.2
"82/158.0823mz/2.81min",1185947.75,1320021,1062837.8,1061862.4,1137244.1,1236306.9,1234651.4
"83/131.0714mz/2.81min",4668224.75,3969693.8,5380116.5,4644734,4435683,5192764.5,4691715.5
"85/426.1899mz/2.87min",215940.35,120845.28,217184,214696.7,210922.05,320253.84,268977.44
"86/171.1027mz/2.95min",40319.888,257055.6,42814.19,37708.93,113927.21,37825.586,37654.812
"87/186.1136mz/2.95min",1574620.2,1674071.9,1777681.5,1475168.5,1816394.9,1260839.9,1366082.6
"88/426.19mz/2.97min",1429067.7,823611,1445008.5,1351070.6,1413126.9,2070069.5,1659056.5
"89/192.0667mz/2.97min",599543.9,674453.3,478064.7,520074.75,568529.1,634577.06,630558.7
"90/153.0558mz/2.98min",609589.64,205231.05,700604.56,825801.06,446596.3,784399.3,518574.72
"91/456.2005mz/2.99min",120859.98,69451.23,115060.05,118270.31,137946.75,167410.11,123449.65
"92/165.0557mz/3.02min",904999.55,710869.06,951157.7,894746.1,795336.5,916180.5,915253
"93/173.082mz/3.04min",405190.435,484495.03,371902.28,408927.53,415520.62,401167.2,401453.34
"94/164.0354mz/3.05min",618780.675,596248.4,621138.6,616422.75,574165.94,635671.06,642768.75
"95/186.0772mz/3.05min",834903.1,751721.4,827539.5,852534.44,842266.7,824414.6,861819.3
"96/456.2006mz/3.1min",691667.17,479606.62,690616.44,641559.7,809887.7,987976.25,692717.9
"97/227.129mz/3.19min",199953.31,178045.78,181693.89,193533.22,206373.4,246772.6,215780.84
"99/245.0932mz/3.2min",2556773.5,1894369.5,2654307.2,2527735.5,2469075,2804478.8,2585811.5
"101/195.0663mz/3.21min",34675.1125,33409.28,27895.129,50549.05,5579.0258,35940.945,49836.375
"102/178.051mz/3.25min",571290.22,575404.44,568215.5,574364.94,526038.7,690491.8,542938.75
"103/187.0977mz/3.3min",57823.01,56617.836,54389.21,143267.12,7247.825,63547.97,59028.184
"104/144.0455mz/3.27min",349130.905,513206.5,301320.53,319832.7,468352.78,356500.03,341761.78
"105/261.1344mz/3.27min",401047.25,344645.75,421772.78,395828.06,398239.5,423724.78,403855
"106/177.0558mz/3.3min",87439.633,88605.086,74620.5,109777.08,37717.31,86274.18,107087.555
"107/173.082mz/3.31min",48067.391,30709.826,56400.992,29860.58,67612.07,73134.414,39733.79
"108/487.3059mz/3.32min",4177.739,35397.53,4177.739,4177.739,20888.695,4177.739,4177.739
"109/138.0197mz/3.32min",1301086.85,1879500.2,1327426.9,1155854.9,1688961.9,1274746.8,1232803.1
"110/187.0976mz/3.36min",126603.18,92946.82,125076.46,211190.56,113406.19,129610.62,128129.9
"111/261.1344mz/3.36min",3619927.35,3143275,3644073.5,3471753.5,3650558,3763302.8,3595781.2
"112/262.1377mz/3.36min",466646.67,401065.88,468216.28,450566.94,465077.06,483798.53,471324
"113/245.0456mz/3.38min",34187.455,30733.21,29190.623,23235.484,40157.31,40761.4,37641.7
"114/177.0558mz/3.41min",105970.82,92775.5,97754.79,137077.78,53342.656,114186.85,142042.73
"115/269.1032mz/3.41min",37643.014,36412.746,37768.895,50124.723,18895.771,37517.133,49151.008
"117/509.1564mz/3.44min",9628.1188,48140.594,9628.1188,9628.1188,9628.1188,9628.1188,9628.1188
"118/187.0977mz/3.45min",6147548,7811067.5,5778342,6005728,5803930,6510116.5,6289368
"119/209.0796mz/3.45min",494423.09,512816.75,468116.38,478276.28,391323.4,510569.9,518049.5
"120/145.0871mz/3.45min",514418.08,345834.47,632303.06,517989.66,480760.1,607343.8,510846.5
"121/191.0748mz/3.46min",89901.383,16801.736,84008.68,97079.984,16801.736,115773.37,95794.086
"122/228.1031mz/3.48min",215390.2,522694.94,179305.78,184535.11,253779.19,201817.73,228962.67
"123/165.0557mz/3.53min",29364.742,54281.195,43442.84,30326.121,28100.312,25698.412,28403.363
"124/237.0769mz/3.52min",21185.494,411952.44,21185.494,21185.494,105927.47,21185.494,21185.494
"126/269.1032mz/3.53min",495638.05,439501.22,464396.16,589770.7,258641.3,526879.94,606811.5
"127/177.0558mz/3.53min",867724.65,770437.7,822041,1061123.5,466718.16,913408.3,1092629.4
"128/195.0663mz/3.53min",70168.928,65132.766,60196.402,89083.94,29848.605,75205.09,91654.914
"129/145.087mz/3.53min",832425.52,728878.44,854496.75,800462.4,840142.1,885813.3,824708.94
"130/227.129mz/3.54min",49322.2475,5888.8598,84119.94,47461.285,29444.299,139364,51183.21
"131/466.2211mz/3.59min",87578.457,147359.38,77799.5,72748.99,75824.9,139184.88,97357.414
"132/191.0749mz/3.59min",527875.89,140575.33,467056.78,588695,93774.555,746763.4,593555.3
"133/144.0456mz/3.59min",2228703.1,3563355.5,1725043.1,2189190,1842632,2634164.2,2268216.2
"134/466.2212mz/3.67min",515573.12,277676.1,528740.9,502405.34,471843.66,869040.56,679112.75
"135/459.2826mz/3.71min",61305.132,334381.44,20435.044,20435.044,379178.3,102175.22,20435.044
"136/292.1192mz/3.69min",581633.9,474759.53,428621.88,530174.2,759137.2,633093.6,710676.25
