Filename,POS_D5-Ctrl-a-P-EAMeOH_Run28.mzML,POS_D5-Ctrl-b-P-EAMeOH_Run31.mzML,POS_D5-Ctrl-c-P-EAMeOH_Run34.mzML,POS_D5-211-C1-a_Run91.mzML,POS_D5-211-C1-b_Run94.mzML,POS_D5-211-C1-c_Run97.mzML
Class,CTRL,CTRL,CTRL,EXP,EXP,EXP
582/782.5659mz/7.37min,1214253.9,1341488.9,1834984.8,2588250.0,2685016.5,5443388.0
583/350.1774mz/7.37min,1030632.0,1167999.1,1187424.4,1043248.56,867618.5,1419980.1
584/810.5968mz/7.37min,386901.7,515936.56,279595.56,797667.56,581979.5,973624.25
587/443.2043mz/7.37min,183752.83,502147.12,474358.4,0.0,0.0,0.0
588/237.2212mz/7.38min,1380832.0,1543688.4,1809911.2,520928.78,423014.66,807927.0
589/808.5819mz/7.38min,210261.61,249547.92,347139.62,689265.94,541796.06,303384.72
590/577.5184mz/7.38min,4842656.0,547822.8,727481.25,405418.12,565115.3,384439.25
592/255.2317mz/7.38min,1925438.9,2093525.5,2472369.5,753668.56,643889.3,1176335.4
594/226.9514mz/7.38min,300858.22,330491.4,383872.0,0.0,3512.7463,20858.115
596/323.219mz/7.37min,863426.1,982169.56,1314412.9,25845.258,66684.68,233006.7
597/328.3207mz/7.37min,455296.84,603225.0,564321.9,180283.75,124451.29,218402.95
599/345.2009mz/7.38min,423130.53,473324.34,596590.44,0.0,0.0,49224.8
602/780.5506mz/7.39min,1310383.0,1466344.9,1273339.1,321494.3,55930.297,186770.22
603/716.5216mz/7.38min,3439725.0,2905797.2,3804474.8,0.0,10483.813,63743.805
604/760.5839mz/7.37min,302137.25,1189980.9,1496946.8,932119.75,626383.7,2138612.5
606/678.3312mz/7.36min,254564.56,342113.2,437381.9,589871.1,480889.97,615708.1
607/140.0682mz/7.38min,443556.62,487938.62,490714.5,121512.234,250507.02,352416.66
608/419.2762mz/7.39min,331113.66,384017.03,272396.3,100548.62,126810.95,207384.7
610/392.3308mz/7.42min,2026805.1,1960214.2,2034006.1,8416079.0,3535852.0,4197011.5
611/393.3341mz/7.42min,593148.44,572869.7,601056.3,2542839.0,1043748.0,1246754.0
612/278.2114mz/7.43min,0.0,0.0,0.0,322123.78,352039.8,425267.94
614/282.2789mz/7.45min,502705.0,552950.9,556057.0,843186.56,855077.06,909613.3
617/481.292mz/7.45min,4835961.5,5641789.0,4619732.0,1339091.2,2817319.0,3945562.0
619/315.2315mz/7.46min,316466.53,339445.56,274847.28,254932.48,340160.56,414837.44
621/377.32mz/7.47min,1119483.4,1266987.1,1038042.0,859433.94,1037855.44,1268400.0
622/395.3304mz/7.47min,934556.4,1083344.8,870187.25,596404.0,697670.44,914481.0
623/113.0166mz/7.52min,460432.3,468774.7,452540.0,204881.62,1766919.8,215664.23
624/365.2659mz/7.51min,1772554.8,2255870.5,2613836.2,478918.34,621373.6,1202683.2
625/265.2525mz/7.51min,237121.62,285393.06,300482.34,122524.61,132971.2,200976.58
626/283.263mz/7.51min,422156.72,562737.9,528036.6,240266.67,249764.14,382329.62
627/387.2476mz/7.51min,195818.8,266329.97,360887.47,3407.3853,22361.35,88921.445
628/376.3183mz/7.53min,291741.94,335232.78,334620.28,314235.28,560125.44,719936.0
630/377.1661mz/7.54min,93328.46,74138.39,77123.516,144701.23,128052.11,98386.47
631/557.281mz/7.54min,657357.6,541601.44,575987.2,858998.2,847757.8,661410.94
632/579.263mz/7.54min,3801324.8,3418943.8,3795137.8,2564132.0,2798235.0,2887078.5
633/421.1557mz/7.55min,466015.7,383673.94,400041.0,599939.3,581951.44,469577.34
636/112.0179mz/7.56min,7934991.5,3591696.8,3623529.0,2920591.2,2746214.5,12377032.0
639/481.2919mz/7.57min,1843113.0,2281398.8,1638471.2,519373.12,1010575.94,1393800.1
640/315.2316mz/7.57min,296797.44,325650.2,220431.12,140601.0,280943.22,335611.88
642/141.9834mz/7.58min,1134376.0,1163337.6,1170219.8,887499.5,3686145.8,974344.75
643/111.0202mz/7.55min,20411606.0,9264407.0,17173000.0,7263423.0,8072692.0,8175687.5
645/111.5218mz/7.59min,1734767.9,1745703.5,817600.0,553194.75,661205.25,298286.2
647/315.2526mz/7.6min,83819.336,77694.18,71046.664,635527.8,672517.3,854876.1
648/337.2346mz/7.6min,608709.0,597730.56,557046.5,2062064.1,2488984.8,3494349.8
651/410.3047mz/7.62min,623548.25,715241.1,589124.7,674263.44,759215.6,1100350.8
654/111.5189mz/7.61min,30435.367,414679.4,133960.98,113858.03,58184.38,23186.25
655/425.2869mz/7.66min,686075.94,513178.6,400537.66,64466.562,92663.33,95724.89
656/113.0166mz/7.67min,934218.56,961693.6,925231.7,82668.336,254664.31,1692381.2
658/483.3803mz/7.66min,446948.44,653192.4,496989.47,233018.7,492915.0,607541.7
659/589.4278mz/7.68min,114433.12,247089.84,213533.27,302306.28,435466.9,170385.5
660/545.4018mz/7.68min,145445.14,280608.88,236616.42,344947.0,486405.8,163735.44
661/501.3755mz/7.7min,171788.64,338998.56,279437.44,397830.88,601615.25,178150.33
662/131.5335mz/7.65min,2200388.8,964082.9,1837577.1,423315.38,633250.0,773843.2
663/409.3112mz/7.73min,1173915.8,910378.94,902034.06,271022.2,288326.8,271393.62
664/209.1536mz/7.7min,266045.44,187795.77,195227.81,312807.56,242802.94,234233.33
665/250.1776mz/7.7min,293236.22,211786.95,231457.92,156209.7,167845.28,167015.56
666/408.308mz/7.7min,1930667.6,1388851.9,1472769.0,1114008.1,1171859.9,1154502.2
667/457.3493mz/7.7min,219145.42,405913.22,336672.47,467392.16,788930.1,188960.83
669/226.1801mz/7.7min,1020892.4,711229.8,770925.6,1291969.1,997280.8,955762.1
672/413.323mz/7.7min,174551.22,281822.9,228500.7,330430.6,547090.4,143964.72
677/379.2239mz/7.7min,472308.1,346466.1,438057.4,84672.87,96597.02,55985.188
678/393.7401mz/7.66min,0.0,0.0,0.0,258625.56,376364.78,1285199.4
679/273.2575mz/7.71min,453068.84,529088.9,378592.6,364679.22,492410.1,643196.06
680/181.0144mz/7.66min,2222068.2,661325.44,2250253.5,446988.16,59636.707,431568.75
682/111.5218mz/7.66min,695131.3,741001.25,1474973.4,272605.9,272274.38,207159.14
684/207.0175mz/7.68min,1768845.0,1788095.0,1782436.4,501528.0,348700.2,625376.25
686/740.4043mz/7.74min,902362.2,634042.1,839054.56,1057326.2,709641.44,329795.12
687/282.2214mz/7.74min,1056773.8,1075788.2,1089868.0,842087.7,1163704.0,1031757.5
690/579.263mz/7.75min,4879861.0,4452463.5,4811809.5,3804920.5,3829689.8,3638547.0
691/421.1557mz/7.75min,1119685.6,991785.25,1086595.1,1169316.2,1049903.8,886573.5
692/557.281mz/7.75min,978340.25,832114.44,885683.56,1071920.8,939909.75,803271.6
693/730.5377mz/7.77min,38262.332,3714.4146,16779.385,4131404.0,2417678.5,4473412.0
699/690.5065mz/7.82min,0.0,0.0,0.0,13297026.0,3912414.2,2640914.0
700/712.4886mz/7.83min,0.0,0.0,0.0,2627902.5,2674805.2,2882134.2
701/859.5301mz/7.77min,1405926.5,216479.52,336564.62,89374.09,274317.88,65362.812
702/754.5348mz/7.78min,64722.49,216429.7,191924.27,4824484.0,14551841.0,19823894.0
703/752.5194mz/7.79min,196904.11,81305.664,158126.34,2783276.5,3563152.2,5619949.0
704/393.2193mz/7.77min,746655.7,832594.44,799076.7,379416.38,429493.4,574734.6
705/810.5964mz/7.77min,463149.34,633330.1,315746.6,719313.2,853244.25,1125475.4
707/395.2198mz/7.77min,851457.5,945161.6,943708.8,374123.03,381594.66,510565.78
708/782.5652mz/7.77min,1012600.2,1099462.0,1375904.5,3956785.8,3080634.0,5026346.5
709/808.5817mz/7.77min,271209.72,320827.5,401490.9,1850699.9,1884531.2,989413.56
712/449.3019mz/7.77min,1012862.8,1187333.9,674365.2,147034.0,240183.64,358895.47
714/226.18mz/7.77min,918997.6,669803.25,792616.8,1401735.2,1063464.0,1092236.0
715/228.1957mz/7.77min,1187320.1,866108.1,1059663.1,1823418.2,1405884.8,1446229.9
716/90.9766mz/7.77min,916800.3,977086.0,1078053.6,28187.92,143929.77,91041.83
717/244.1906mz/7.77min,707942.1,525416.5,623906.8,1099542.2,837026.6,870973.4
718/250.1776mz/7.77min,1762905.4,1348927.2,1583456.5,513069.03,606839.4,763713.94
719/408.308mz/7.77min,7681227.0,5875605.5,6762597.0,2384118.5,2765781.5,3412345.0
720/780.5506mz/7.79min,833177.44,986291.06,789660.6,13873123.0,5057750.5,786167.94
721/732.5553mz/7.82min,62262.066,154043.45,68737.13,3341679.5,6713570.0,15737367.0
723/352.339mz/7.82min,1327371.2,1010184.2,988524.8,649835.94,783438.6,593454.0
724/760.5829mz/7.82min,482701.25,901950.06,1066355.0,2200562.0,2902723.2,2084532.2
725/140.0682mz/7.78min,181356.1,741885.1,371346.44,63470.793,136213.88,192211.62
726/266.1725mz/7.77min,909715.4,774820.8,920154.25,233570.69,282940.16,353645.66
727/221.175mz/7.77min,617975.56,455170.5,552745.5,147244.03,180027.06,223160.77
728/236.162mz/7.77min,561138.0,408551.0,482752.6,144065.22,169213.2,211707.1
729/362.3025mz/7.77min,513301.28,372993.03,444790.25,140651.14,155253.9,207475.42
732/424.2833mz/7.78min,45067.164,50654.875,22177.123,342859.03,348476.28,451103.28
734/406.7477mz/7.84min,0.0,0.0,0.0,1474822.1,35276.062,28938.375
736/395.3304mz/7.8min,353910.1,655148.3,438591.0,67694.445,103101.71,220331.02
738/740.4043mz/7.8min,233615.53,173519.45,196452.42,323624.12,190140.95,174385.42
740/559.1307mz/7.82min,764116.44,725309.4,646351.44,523825.94,664707.8,899757.8
743/409.2742mz/7.82min,719863.4,855997.56,712758.56,101662.72,156058.84,206204.7
745/205.0171mz/7.83min,1636763.9,649214.4,664216.25,854605.9,889751.4,1110336.8
747/284.2945mz/7.85min,264342.8,274844.7,260868.34,316754.1,400806.4,444293.34
748/447.3074mz/7.85min,627063.94,797102.0,402720.12,130200.69,218986.03,317567.75
752/752.5195mz/7.87min,300641.34,229901.66,123672.16,3143022.8,5662114.5,8199664.5
753/690.5066mz/7.87min,0.0,0.0,0.0,4664113.0,11029943.0,11347522.0
755/730.5378mz/7.86min,42925.242,16264.9375,14686.601,2895754.2,3845823.5,4427083.0
756/731.5408mz/7.87min,0.0,0.0,0.0,1286851.4,1530091.6,2068238.1
758/732.5557mz/7.86min,85933.086,214952.84,63480.246,8194915.0,32516124.0,17256228.0
759/754.5349mz/7.87min,332355.94,386760.25,289673.53,8691689.0,20094280.0,27388434.0
760/463.2813mz/7.87min,511427.94,544487.0,307568.44,335284.75,476663.72,572509.56
761/716.522mz/7.87min,179081.64,256783.05,177621.28,24762776.0,3705978.8,1939228.1
762/761.5872mz/7.88min,219706.6,192461.81,253259.62,10888598.0,1486663.4,2115544.0
764/740.4044mz/7.85min,318721.5,280149.75,257089.17,595566.5,361026.38,136940.97
765/786.6001mz/7.87min,107319.06,202728.23,196947.56,9059345.0,5500921.0,2070045.9
766/481.3283mz/7.87min,414758.25,321554.06,247425.94,30276.03,27918.457,56208.668
770/782.5645mz/7.87min,1929640.5,2049517.9,2473182.8,7151038.5,7074186.0,11160814.0
771/757.5461mz/7.87min,0.0,0.0,0.0,178322.47,363942.22,508134.7
772/788.6147mz/7.87min,226606.75,324687.84,130665.41,3832514.0,3015808.0,3486525.8
773/780.5507mz/7.87min,1509454.9,1729505.0,1332148.1,38921624.0,21774952.0,23505186.0
774/283.2629mz/7.87min,1689901.6,1832192.6,1733238.4,803400.0,860602.9,1109644.4
775/758.5689mz/7.87min,324369.16,436727.22,365507.25,59699348.0,31835050.0,28904078.0
776/265.2524mz/7.87min,876797.2,939608.4,913100.56,397564.12,428217.47,555449.8
