sample_name,filepath
2024_POS_Y-p9_3_Run155.mzML,2024_POS_Y-p9_3_Run155.mzML
2024_POS_Y-p9_2_Run120.mzML,2024_POS_Y-p9_2_Run120.mzML
2024_POS_Y-p9_1_Run100.mzML,2024_POS_Y-p9_1_Run100.mzML
2024_POS_Y-EV_1_CTRL_Run88.mzML,2024_POS_Y-EV_1_CTRL_Run88.mzML
2024_POS_Y-EV_2_CTRL_Run117.mzML,2024_POS_Y-EV_2_CTRL_Run117.mzML
2024_POS_Y-EV_3_CTRL_Run138.mzML,2024_POS_Y-EV_3_CTRL_Run138.mzML
2024_POS_Anid-TJGIp11_1_Run167.mzML,2024_POS_Anid-TJGIp11_1_Run167.mzML
2024_POS_Anid-TJGIp11_2_Run205.mzML,2024_POS_Anid-TJGIp11_2_Run205.mzML
2024_POS_Anid-TJGIp11_3_Run252.mzML,2024_POS_Anid-TJGIp11_3_Run252.mzML
2024_POS_Anid-EV-gpdA_CTRL_3_Run238.mzML,2024_POS_Anid-EV-gpdA_CTRL_3_Run238.mzML
2024_POS_Anid-EV-gpdA_CTRL_2_Run208.mzML,2024_POS_Anid-EV-gpdA_CTRL_2_Run208.mzML
2024_POS_Anid-EV-gpdA_CTRL_1_Run188.mzML,2024_POS_Anid-EV-gpdA_CTRL_1_Run188.mzML
