#SampleID	BarcodeSequence	LinkerPrimerSequence	filename	ATTRIBUTE_GNPSDefaultGroup
2024_POS_Y-p9_3_Run155.mzML	GATACA	GATACA	2024_POS_Y-p9_3_Run155.mzML	G1
2024_POS_Y-p9_2_Run120.mzML	GATACA	GATACA	2024_POS_Y-p9_2_Run120.mzML	G1
2024_POS_Y-p9_1_Run100.mzML	GATACA	GATACA	2024_POS_Y-p9_1_Run100.mzML	G1
2024_POS_Y-EV_1_CTRL_Run88.mzML	GATACA	GATACA	2024_POS_Y-EV_1_CTRL_Run88.mzML	G2
2024_POS_Y-EV_2_CTRL_Run117.mzML	GATACA	GATACA	2024_POS_Y-EV_2_CTRL_Run117.mzML	G2
2024_POS_Y-EV_3_CTRL_Run138.mzML	GATACA	GATACA	2024_POS_Y-EV_3_CTRL_Run138.mzML	G2
2024_POS_Anid-TJGIp11_1_Run167.mzML	GATACA	GATACA	2024_POS_Anid-TJGIp11_1_Run167.mzML	G3
2024_POS_Anid-TJGIp11_2_Run205.mzML	GATACA	GATACA	2024_POS_Anid-TJGIp11_2_Run205.mzML	G3
2024_POS_Anid-TJGIp11_3_Run252.mzML	GATACA	GATACA	2024_POS_Anid-TJGIp11_3_Run252.mzML	G3
2024_POS_Anid-EV-gpdA_CTRL_3_Run238.mzML	GATACA	GATACA	2024_POS_Anid-EV-gpdA_CTRL_3_Run238.mzML	G4
2024_POS_Anid-EV-gpdA_CTRL_2_Run208.mzML	GATACA	GATACA	2024_POS_Anid-EV-gpdA_CTRL_2_Run208.mzML	G4
2024_POS_Anid-EV-gpdA_CTRL_1_Run188.mzML	GATACA	GATACA	2024_POS_Anid-EV-gpdA_CTRL_1_Run188.mzML	G4
