"","Filename","2024_NEG_Anid-EV-alcA_CTRL_1_Run177.mzML","2024_NEG_Anid-EV-alcA_CTRL_2_Run198.mzML","2024_NEG_Anid-EV-alcA_CTRL_3_Run230.mzML","2024_NEG_Anid-p4_1_Run186.mzML","2024_NEG_Anid-p4_2_Run195.mzML","2024_NEG_Anid-p4_3_Run224.mzML"
"1","Class","CTRL","CTRL","CTRL","EXP","EXP","EXP"
"2","169/244.0826mz/2.02min","2577503.5","3731052.5","2667412.5","1640105.2","985100.0","5707198.0"
"3","171/158.0822mz/2.03min","259831.66","302934.16","7906600.5","4270712.0","2340842.0","256196.53"
"4","172/345.13mz/2.04min","362393.1","508853.12","113857.02","219272.23","145910.55","211761.88"
"5","174/327.1199mz/2.05min","84226.414","87101.0","610731.5","320587.53","171856.06","65323.508"
"6","175/327.0947mz/2.05min","0.0","0.0","0.0","87998.76","418720.38","0.0"
"7","179/224.0564mz/2.08min","600287.5","560446.6","1321528.2","409891.8","1373833.8","339899.62"
"8","180/182.0458mz/2.08min","3298662.2","2149809.8","1064724.5","1063464.9","1952113.5","1529387.1"
"9","182/283.0607mz/2.1min","731347.7","472526.3","202640.4","126784.21","282321.97","250705.94"
"10","183/293.1144mz/2.09min","4610.924","20826.977","155723.66","160078.6","83703.4","0.0"
"11","184/220.0649mz/2.1min","5975262.5","6207557.0","4215460.0","2152743.8","2837281.2","3517581.2"
"12","185/231.0986mz/2.1min","40907.02","58407.41","1778936.5","992729.6","1501505.2","16198.02"
"13","186/229.1194mz/2.11min","23334.855","11789.691","59904.164","1053868.5","34480.094","0.0"
"14","188/224.1041mz/2.12min","495990.53","650229.2","0.0","0.0","8507.506","300862.34"
"15","189/242.067mz/2.12min","1760987.0","1730965.4","1262416.9","2450875.0","1293824.4","1884304.4"
"16","190/117.0558mz/2.12min","1874189.6","2847821.5","3754308.2","1983374.2","2210012.0","1077477.5"
"17","192/163.9861mz/2.12min","3313524.0","1915012.8","1821852.6","2578150.2","2377764.0","2866752.5"
"18","193/196.0615mz/2.14min","567791.3","164865.34","525161.4","686506.3","577233.75","640163.6"
"19","194/240.0514mz/2.14min","1392183.2","1788058.9","2117995.8","3264468.0","2430944.2","2265987.0"
"20","195/259.1299mz/2.14min","244162.92","436387.5","359874.25","1035377.3","232245.97","77616.39"
"21","198/212.0565mz/2.18min","434462.8","195140.47","132857.53","47202.953","115707.16","442878.03"
"22","199/356.1347mz/2.16min","604203.4","248253.66","649078.1","218215.75","545584.1","316356.12"
"23","202/225.0881mz/2.14min","403552.03","1166024.5","1180093.8","1236900.5","813514.2","468279.62"
"24","203/512.2461mz/2.18min","0.0","0.0","150066.95","53121.703","469530.4","0.0"
"25","204/147.0663mz/2.19min","257736.12","428241.4","51371.625","13440.456","13509.547","4997.708"
"26","205/281.0991mz/2.18min","1249143.8","1623513.9","5151419.0","2539190.8","3475840.5","945630.75"
"27","208/254.08mz/2.18min","86169.0","258126.75","1199418.5","362861.66","547522.44","117461.16"
"28","209/303.0813mz/2.18min","139493.23","70802.51","627304.06","201326.67","316587.8","114468.39"
"29","210/459.1965mz/2.18min","12388.076","37927.27","339070.03","96546.51","102306.41","0.0"
"30","211/240.0877mz/2.18min","479764.03","557589.6","425966.0","257045.66","270508.12","336047.97"
"31","212/218.1034mz/2.18min","5747325.0","7329235.5","27927002.0","13095895.0","16808810.0","4046297.5"
"32","213/219.1067mz/2.18min","538810.4","662591.2","2661463.0","1211625.9","1591038.0","370486.44"
"33","214/437.214mz/2.18min","306731.12","423089.72","6024131.5","1467503.2","2372514.2","143643.94"
"34","215/175.0611mz/2.19min","146875.45","242438.34","443509.62","1328910.4","396000.0","170551.4"
"35","216/343.1143mz/2.2min","408258.3","551525.44","174376.47","188571.27","223158.56","294755.78"
"36","218/184.0615mz/2.23min","454538.03","570823.5","446777.38","424377.1","165405.4","293257.25"
"37","219/305.9634mz/2.21min","244507.64","315403.97","0.0","0.0","0.0","120212.664"
"38","221/197.0454mz/2.22min","53259.95","20910.504","1008331.6","60312.465","77875.3","0.0"
"39","222/145.0507mz/2.22min","1083696.1","1231053.5","3019616.0","4120023.8","2054189.8","1057082.4"
"40","223/382.1002mz/2.22min","190503.97","293228.88","534981.6","559668.6","606542.5","214239.08"
"41","226/317.099mz/2.23min","283774.4","382950.2","269606.22","3183970.2","906949.06","371535.6"
"42","227/235.0724mz/2.23min","59468.758","85560.945","149227.19","1578232.8","234937.05","65002.383"
"43","229/283.0936mz/2.24min","985292.9","1234650.0","1086141.5","898741.7","732654.2","708705.06"
"44","230/273.1092mz/2.24min","59366.043","91603.664","181362.94","972747.06","193119.45","69603.97"
"45","234/196.0615mz/2.25min","476161.03","902358.0","210767.45","213599.69","357433.1","346459.34"
"46","235/125.0245mz/2.27min","364198.9","329822.66","365195.5","0.0","65273.664","608367.25"
"47","236/200.0565mz/2.26min","352371.7","374850.53","451728.62","819395.75","561053.06","465205.44"
"48","237/446.1778mz/2.27min","333825.84","505922.66","325500.16","188606.72","285864.1","281513.78"
"49","241/181.0508mz/2.28min","726316.0","786359.56","510212.97","330686.38","261173.55","484850.06"
"50","242/245.1142mz/2.28min","389094.03","288086.47","960234.3","56176.74","578373.3","165881.9"
"51","243/360.0723mz/2.28min","516178.56","834204.44","0.0","0.0","0.0","297381.6"
"52","246/330.0985mz/2.29min","137218.19","90294.87","144354.33","0.0","0.0","313890.25"
"53","248/226.0721mz/2.28min","4373408.0","3994282.0","4166448.8","3298098.8","4135884.2","2557280.2"
"54","249/345.1301mz/2.3min","1654825.5","2511649.2","1428104.9","1123041.5","1103308.8","1604774.8"
"55","251/303.0511mz/2.3min","956468.7","1032834.56","0.0","0.0","0.0","306618.6"
"56","252/356.1347mz/2.32min","283373.03","151852.92","862882.44","306396.72","466125.88","415924.7"
"57","253/215.0674mz/2.31min","0.0","0.0","240091.28","2615653.0","295499.12","0.0"
"58","257/306.0985mz/2.34min","553248.94","560264.6","100594.28","34316.242","35903.06","794720.56"
"59","258/211.0612mz/2.34min","24475.457","34081.33","4688858.5","5427824.0","2439873.5","1454176.0"
"60","259/242.0671mz/2.29min","553264.3","395558.06","300676.12","159835.38","331813.97","64594.26"
"61","265/244.0978mz/2.34min","123770.64","112770.83","0.0","0.0","0.0","177177.62"
"62","268/343.1144mz/2.35min","754393.06","870228.6","286169.47","419817.8","408506.97","633906.1"
"63","271/234.0772mz/2.36min","736638.3","814699.56","701302.0","582644.94","560698.94","587832.4"
"64","272/297.0729mz/2.36min","641551.4","676469.56","590204.44","518468.6","528832.2","531152.56"
