"","filter","2024_NEG_Anid-EV-alcA_CTRL_1_Run177.mzML","2024_NEG_Anid-EV-alcA_CTRL_2_Run198.mzML","2024_NEG_Anid-EV-alcA_CTRL_3_Run230.mzML","2024_NEG_Anid-p4_1_Run186.mzML","2024_NEG_Anid-p4_2_Run195.mzML","2024_NEG_Anid-p4_3_Run224.mzML"
"272/297.0729mz/2.36min",560678.5,641551.4,676469.56,590204.44,518468.6,528832.2,531152.56
"273/180.0666mz/2.36min",93296.4475,84225.37,150631.88,168734.39,83803.18,102267.625,84325.27
"275/161.0819mz/2.36min",298022.75,295933.9,296045.25,665712.6,345556,300000.25,104398.055
"276/309.1093mz/2.37min",185045.315,99458.336,277785.6,206817.44,214380.31,137343.05,163273.19
"277/238.0721mz/2.37min",332438.39,411191.56,381380.53,261372.73,246636.67,331116.78,333760
"278/151.0401mz/2.37min",189054.99,216143.47,273523.56,174830.34,203279.64,169748.66,158862.11
"279/153.0194mz/2.37min",902054.075,1266050.4,2893137.2,862548.9,941559.25,743312.4,607202.3
"280/212.0565mz/2.37min",1041542.7,1179073.9,2089542.6,1108593.6,568926.2,486302.6,974491.8
"282/258.0983mz/2.4min",1081815.925,285070,452992.25,1923301.2,1710639.6,1750616,194202.3
"283/240.0878mz/2.38min",1111611.1,1258337,1614772.5,1200090.5,1023131.7,981920.3,950349.94
"284/214.1085mz/2.39min",80369.9495,4729.5186,9988.089,182870,150751.81,173738.61,945.90372
"286/230.1034mz/2.39min",184685.685,179667.1,153373.73,388002.44,297267.88,189704.27,100593.625
"287/259.1299mz/2.42min",119364.415,127323.17,91627.57,152444.69,152469.53,42322.582,111405.66
"288/449.1202mz/2.4min",12177.1476,4059.0492,4059.0492,20295.246,3468124.2,66347.15,4059.0492
"289/222.0771mz/2.4min",305662.275,384012.5,423635.16,227312.05,444790.66,101405.2,110959.945
"291/286.1409mz/2.42min",34053.3765,3013.2006,15066.003,441113.1,1060171.4,53040.75,3013.2006
"292/168.0666mz/2.41min",825473.3,602248.4,997942.2,988115.2,828189.5,822757.1,556220.94
"293/210.0772mz/2.41min",1398479.6,1439765.8,1881631.6,1775077.5,1357193.4,1193320.2,1248992.2
"294/129.0558mz/2.43min",3663712.9,3927831,2888937.5,11154930,9196339,3399594.8,2623712.5
"295/180.0302mz/2.43min",392290.385,288014.2,380781.3,403799.47,452812.75,430266.78,319214.44
"296/175.0612mz/2.43min",697698.155,462859.5,722103.25,747209.3,673293.06,833390.94,365326.75
"297/479.1785mz/2.43min",408251.64,428307.34,328918.62,388195.94,60907.01,623058.2,647544.56
"298/326.1246mz/2.45min",82776.581,249053.73,297025.6,13580.582,829.1146,4145.573,151972.58
