"MetaboAnalyst_ID","POS_TJGI15pt3_EV_alcA.Control_1_Run31.mzML","POS_TJGI15pt3_EV_alcA.Control_2_Run114.mzML","POS_TJGI15pt3_EV_alcA.Control_3_Run203.mzML","POS_TJGIp3_1_Run40.mzML","POS_TJGIp3_2_Run126.mzML","POS_TJGIp3_3_Run164.mzML","shared_name"
"374/172.1332mz/3.14min",2.43710057454041,2.16488858498595,2.27733839045087,2.1557520547983,1.94337094209789,2.01155126739012,"374"
"377/265.1158mz/3.15min",2.20131799668857,2.1189012547402,2.21058940346044,2.35791579144391,2.16792421810472,2.14671907751617,"377"
"380/162.055mz/3.19min",2.28653671709281,2.19652608664568,2.30578270741382,2.13086860550528,1.99333935573146,2.06029661546916,"380"
"382/247.1077mz/3.2min",2.45588851548074,2.28011541636707,2.38996820568637,2.33395173003093,2.10308799874377,2.26186861587779,"382"
"387/202.1438mz/3.22min",2.16494311870946,2.01197686504649,2.19024983113071,1.97021799105817,2.10789181584733,2.12593803722111,"387"
"390/118.0651mz/3.24min",2.56903868932924,2.46988099423667,2.52975865582115,2.50884026343852,2.33938021697904,2.4459827174343,"390"
"391/164.0706mz/3.24min",2.53791031169048,2.42959668529384,2.52140397571587,2.47475781314018,2.33647423108366,2.45793051961979,"391"
"392/182.0813mz/3.24min",3.18785408305182,3.08063659316312,3.20998299768249,3.10599741599947,3.02472366483427,3.13216317794068,"392"
"396/284.2067mz/3.27min",2.55551607199309,2.28992096875129,2.33199335554202,2.49163931458517,2.07792925227215,2.19600103908889,"396"
"397/289.162mz/3.27min",2.05964720638861,2.14962379582082,2.35913277039112,2.06566571542519,2.05237475185804,2.15152068637731,"397"
"398/146.0601mz/3.27min",2.29211957210233,2.21301692090499,2.32308763749627,2.17952003648086,2.07516221860069,2.1413669829706,"398"
"401/245.1859mz/3.28min",2.58110622338582,2.48934234557055,2.56289631580764,2.57099770995253,2.40033645537435,2.49653900316295,"401"
"402/217.1548mz/3.29min",2.8139086909186,2.6672056702625,2.80236548448824,2.77894016217297,2.69143954098085,2.70346463507173,"402"
"407/303.1914mz/3.34min",3.05195806526358,2.83463751007688,2.89211247569608,2.82055798034825,2.54182213081409,2.61957422010259,"407"
"409/245.1384mz/3.36min",2.42455478464896,2.38047641545525,2.42043827654104,2.11385562594675,1.97623553064086,2.05082771751567,"409"
"412/285.1308mz/3.36min",2.40687373684906,2.40233128318285,2.41804887766495,2.09704916675019,2.00247101057716,2.07188725946499,"412"
"420/155.0598mz/3.45min",2.238673960289,2.23459412435332,2.30780790725835,1.97228276964738,2.00744776710198,2.04198127666808,"420"
"421/279.1703mz/3.37min",2.23833411127424,2.14885217847374,2.35125772461098,2.23320484845491,1.9654322510718,2.28618578333029,"421"
"422/125.0961mz/3.45min",2.32447595804172,2.2465163804452,2.26070502871546,2.0552722047617,1.77084368128489,1.92112107947469,"422"
"423/105.0699mz/3.45min",2.14766511688832,2.07487087956423,2.18405139479144,2.50115656005641,2.2084969213337,2.30182362729437,"423"
"424/171.1016mz/3.45min",2.45717484147005,2.40582175123793,2.4566539112844,2.14800344396219,1.91899304914086,2.08135177238618,"424"
"425/243.0876mz/3.45min",2.4313480857958,2.20927434936596,2.27087723947133,2.23328102509331,2.16758779487545,2.29406842934841,"425"
"426/164.1071mz/3.45min",2.63610502009161,2.56758708394546,2.67665501251127,2.97586897665841,2.74150568380465,2.81669357393804,"426"
"431/230.1176mz/3.46min",3.07018332456099,2.96475122173183,3.02981893390929,2.90801645723458,2.77410765348491,2.83259786846822,"431"
"448/273.1808mz/3.6min",2.6491141130028,2.50976977944739,2.60322767860426,2.40759408931063,2.19313200554395,2.30324045815666,"448"
"449/229.1435mz/3.6min",2.62708590194006,2.50700082907868,2.55918832750509,2.43817367872682,2.18450733642291,2.25429372450467,"449"
"450/269.1359mz/3.6min",2.51593942183887,2.54080727747947,2.58295952266803,2.30362560615683,2.3029052629546,2.33760080597515,"450"
"453/167.1067mz/3.62min",2.07860131418727,1.87826217897332,1.95899273767669,1.97007343597758,1.93294290059716,1.93256291571875,"453"
"454/928.3124mz/3.64min",2.02759808316563,2.01804806072414,2.00382765384396,2.01752948775302,1.81405357710314,1.90409984403397,"454"
"456/177.1275mz/3.65min",1.86345360976042,1.80313737984643,1.93110264033704,2.15150127433177,1.93502813280502,2.0141254008808,"456"
"458/231.1704mz/3.67min",3.36188331829119,3.10287780563117,3.20654900166508,3.25518778580367,3.19907347406208,3.19724330978317,"458"
"461/161.0961mz/3.68min",2.52190400598568,2.65075090253466,2.81821999401013,2.77514740714537,2.54493064587129,2.55843330710707,"461"
"462/232.1736mz/3.67min",2.35359080416458,2.14742439455192,2.24364248527113,2.31944544246189,2.25199549429669,2.23991382991081,"462"
"463/86.0965mz/3.68min",2.15151627981569,2.00700661272411,1.99113839418913,1.95842758983015,1.45697737139628,1.57537549552985,"463"
"464/132.1019mz/3.68min",2.46966078507731,2.41184202104082,2.41804469773516,2.34621382054466,2.20228188184163,2.23812116540244,"464"
"465/287.1964mz/3.68min",2.63136880803859,2.47337122595277,2.52473537247643,2.48873507058418,2.2378950954125,2.28853801036165,"465"
"466/309.1782mz/3.68min",2.77350499331033,2.70114127665982,2.76415176524038,2.64963282490392,2.4903310735846,2.56782537800248,"466"
"467/91.0543mz/3.69min",2.02972420798992,1.92363778794868,1.96997225689769,2.03759005806853,1.85601594407639,1.91458155285446,"467"
"468/137.0962mz/3.69min",2.59330766059117,2.53636033855696,2.59942870554016,2.55709612789031,2.47867147943636,2.5679291495012,"468"
"469/161.0598mz/3.69min",1.97276621077229,2.01246164060334,2.08167503955782,1.98129405172379,2.05172079904075,2.10161363458413,"469"
"470/155.1067mz/3.69min",2.38855591013193,2.34193963303885,2.46341517639288,2.28754847315459,2.22346118542364,2.29286986357262,"470"
"471/165.0911mz/3.69min",2.28385284028939,2.23880124942112,2.31823564009833,2.25908504224765,2.19418202194215,2.27437513102467,"471"
"472/183.1016mz/3.69min",2.27407620249303,2.23736132714273,2.32337225636864,2.23825985917817,2.19946184935545,2.27126805984312,"472"
"475/95.0856mz/3.69min",2.44236615636772,2.37815631315031,2.47118126747251,2.40470512083433,2.33590502421167,2.43094297277579,"475"
"476/119.0856mz/3.69min",2.17374700597038,2.10272987859098,2.18076352700204,2.12143785596562,2.02174638149535,2.11556048517926,"476"
