"","filter","POS_TJGI15pt3_EV_alcA-Control_1_Run31.mzML","POS_TJGI15pt3_EV_alcA-Control_2_Run114.mzML","POS_TJGI15pt3_EV_alcA-Control_3_Run203.mzML","POS_TJGIp3_1_Run40.mzML","POS_TJGIp3_2_Run126.mzML","POS_TJGIp3_3_Run164.mzML"
"1287/507.2276mz/5.86min",443441.47,505064.03,504050.2,481384.97,374687.34,341395,405497.97
"1288/280.2631mz/5.85min",189245.435,201939.6,200946.39,182376.27,187094.83,189132.6,189358.27
"1289/479.2324mz/5.87min",771140.25,789100.56,753179.94,848004,831310.94,430438.88,486535.47
"1290/648.3938mz/5.84min",745054.55,1004690.2,936530.06,741674,748435.1,593449.6,229122.22
"1292/626.4117mz/5.86min",1462415.85,2152284.5,1548111.1,1649764.8,1361118.8,1228823.4,1376720.6
"1293/427.3889mz/5.91min",856014.235,1380778.5,1207771,145944.77,1291320.6,504257.47,330457.56
"1294/324.6854mz/5.86min",3906027.8,2727993.8,4042972.2,3875802.8,2691617.8,3962482.5,3936252.8
"1296/610.417mz/5.86min",32730261,44831770,31878510,31540464,33582012,30614918,34074476
"1298/955.7406mz/5.89min",150079.082,257601.34,1163437.4,28831.959,1138664.5,42556.824,10554.769
"1299/395.3304mz/5.92min",511684,1486903.2,1118932,98694.89,829383.25,193984.75,56880.496
"1301/539.2532mz/5.87min",296564.725,358314.7,356373.28,331446.47,226236.06,241246.25,261682.98
"1302/277.2159mz/5.87min",893720.1,1126935.1,813787.06,845947.9,884234,903206.2,938575.2
"1303/629.39mz/5.87min",796623.42,593556.75,824956.7,781904.94,485983.88,811341.9,820048.94
"1304/648.3713mz/5.87min",538434.86,400014.4,512268.12,576827.2,345437.34,564601.6,629939.8
"1306/632.3986mz/5.87min",18411610,19073050,21518692,18339614,16886832,18425722,18397498
"1307/640.4277mz/5.87min",352322.815,473997.84,360595.88,391721.03,326086.66,298432.28,344049.75
"1311/291.2314mz/5.88min",701422.93,1210606.9,714085.8,769148,641449.6,622410.44,688760.06
"1312/281.2471mz/5.88min",330727.825,333100.12,377414.66,328355.53,321200.56,301345.06,344377.06
"1314/392.2539mz/5.88min",23889.636,39816.06,7963.212,7963.212,7963.212,424660.22,306218.2
"1315/299.2576mz/5.88min",332780.29,337002.78,354309.4,390448.9,295905.88,295512.1,328557.8
"1316/309.2419mz/5.88min",530694.785,888219.3,542747.1,620263.94,488344.6,478130.94,518642.47
"1317/483.4151mz/5.93min",548611.62,699889.1,653686.3,123598.73,844666.3,443536.94,230586.89
"1318/1087.7017mz/5.89min",287238.71,328449.12,309091.47,305845.7,153435.95,234419.22,268631.72
"1320/200.2008mz/5.89min",2617941.85,2428410.5,2873009,3144304.2,2347789.5,2485226.2,2750657.5
"1321/479.2956mz/5.9min",1566454.5,1727503.8,1611068.8,1883831,1306487.9,1332818.2,1521840.2
"1322/478.2923mz/5.89min",5948135.5,6339052.5,6200924.5,6719669.5,4997730.5,4993948,5695346.5
"1324/337.2732mz/5.9min",936694.5,815499.1,738822.25,1287395.8,630817.5,1693695.8,1057889.9
"1329/690.4339mz/5.91min",646672.77,363329.34,432253.62,615105.6,678239.94,688619.94,723266.94
"1335/211.0964mz/5.92min",466379.535,842153,485485.47,447273.6,754643.56,285256.25,351474.72
"1336/596.4013mz/5.92min",1669808.9,2374792.2,1550612.8,1774152.5,1684766,1430469.6,1654851.8
"1337/317.6776mz/5.92min",225671.67,159511.08,256248.77,276680.34,143308.81,222402.72,228940.62
"1338/618.3829mz/5.92min",1146538.1,976095,1256697.4,1305599.8,1080299.4,1121099.2,1171977
"1340/494.3236mz/5.93min",306778.19,327395.5,346265.1,355987.3,241833.22,266114.84,286160.88
"1341/390.7598mz/5.98min",825675.07,829330.7,1173053.6,363697.03,1282639.1,822019.44,311345.2
"1343/471.4153mz/5.98min",1216418.9,1829850.5,1584841.8,571943.25,2208012.2,847996,413441.66
"1345/479.2324mz/5.93min",1621255.5,1878730.8,1753542.4,1850896.1,1488968.6,1222125.6,1438915.4
"1349/408.3255mz/5.97min",330645.55,1212646.9,320166.72,263103.12,486021.06,341124.38,185053.73
"1350/478.2251mz/5.93min",171287.4,318060.3,184915.47,226381.78,134125.81,146150.25,157659.33
"1351/230.1174mz/5.94min",287831.57,290012.7,327112.03,321374.2,200292.19,256655.44,285650.44
"1352/455.3837mz/5.94min",519910.65,153611.2,543511.8,757697.56,185618.45,496309.5,617463.2
"1358/193.1698mz/5.96min",491410.93,659532.3,498344.16,363238.72,620081.3,484477.7,457284.16
"1359/544.3625mz/6.0min",321416.79,463855.72,545018.5,26633.572,530236.5,178977.86,84126.36
"1360/269.6615mz/5.96min",230864.105,226309.31,316593.1,351834.22,158560.84,217243.94,235418.9
"1361/255.2316mz/5.97min",422863.295,411205.56,437134.88,519662.03,332309.9,364001.7,434521.03
"1362/622.4166mz/5.97min",1076020.75,1456793.9,1068353.5,1083688,1113648.5,908813.6,986861.8
"1363/644.3986mz/5.97min",986768.375,648514.7,1022917.44,1150821.2,812874.06,963478.25,1010058.5
"1364/500.369mz/5.97min",3927538.25,6023843,4462944,4775204,3160919.5,2998167.8,3392132.5
"1367/369.2744mz/5.97min",809692.73,1326901.9,925038.56,999142.9,672830.56,601000.5,694346.9
"1368/346.3312mz/5.95min",10183795.25,1571914.5,26021874,12710335,7657255.5,15158246,6566494
"1369/231.17mz/5.97min",191075.26,320582.9,213466.58,245026.92,159426.77,138272.69,168683.94
"1370/522.3509mz/5.97min",1728519.65,1774597.8,2141145.8,2435741.8,1270578.1,1530735.8,1682441.5
"1372/444.3469mz/5.98min",257995.1,220307.67,1409997.2,84175.58,337827.56,295682.53,205979.67
"1373/308.2944mz/5.97min",164142.793,8275.8672,41379.336,286906.25,8275.8672,1001010.3,1296692.8
