row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,Anid_HE_TJG15pt3_EV_alcA_CTRL_2_YT_neg_20210511_Run103.mzML Peak area,Anid_HE_TJG15pt3_EV_alcA_CTRL_3_YT_neg_20210511_Run213.mzML Peak area,NEG_TJGIp3_3_Run174.mzML Peak area,Anid_HE_TJG15pt3_EV_alcA_CTRL_1_YT_neg_20210511_Run47.mzML Peak area,NEG_TJGIp3_1_Run56.mzML Peak area,NEG_TJGIp3_2_Run138.mzML Peak area,
97,88.04026751536183,0.49567473,,,,,,,,,,,222847.23,353990.47,47183.305,90010.97,669766.8,691276.94,
113,88.04029000856055,0.59151953,,,,,,,,,,,91295.27,338619.9,25796.586,90010.97,132187.02,347417.6,
131,88.04030880705575,0.7158954,,,,88,,,,,,,464726.88,989112.2,494295.0,598010.1,877429.1,1004248.0,
93,89.02429444235474,0.5099302,,,,,,,,,,,1660261.8,830452.7,716779.06,1366710.8,1767183.8,1860704.4,
1997,89.02430000461653,10.101079,,,,,,,,,,,163013.06,149071.67,135350.25,182463.03,51795.617,150774.58,
923,96.96002830842316,5.8925443,,,,,,,,,,,126501.34,45645.832,240479.27,260838.38,158271.1,686168.3,
77,96.96006233469666,0.3959966,,,,12,,,,,,,2541781.2,2650324.5,2397984.2,3260733.2,3103416.8,2459301.2,
2105,96.96007839759072,11.009895,,,,,,,,,,,4050748.8,4104334.0,3891119.5,3889300.5,3861654.0,3932916.0,
31,96.96954007127488,0.37036693,,,,12,,,,,,,1625291.4,4728973.5,2651963.5,2893399.2,3719026.5,4612496.0,
2013,99.92575311855045,10.204026,,,,30,,,,,,,1649868.4,2738313.2,2541029.2,2433098.2,1869908.2,2218890.5,
1889,99.92576632929486,8.465236,,,,,,,,,,,2.9042012E7,3.5411612E7,6271965.5,3.24225E7,3.2257976E7,6854587.5,
1782,99.92576726050481,8.126851,,,,,,,,,,,4686316.5,6438121.5,3.563687E7,4948703.5,5133822.5,3.6391084E7,
89,101.02441871370242,0.39842987,,,,,,,,,,,33448.96,220581.33,355052.5,213762.55,72353.23,1032185.8,
107,102.01964831162537,0.47833005,,,,,,,,,,,1199856.9,370650.84,1567442.9,1204904.2,1145879.9,2290384.5,
54,102.01964841588516,0.38156375,,,,12,,,,,,,1873820.6,2772828.2,2063689.1,1789286.1,1971375.2,2215357.2,
70,103.00366710453835,0.38767967,,,,12,,,,,,,2939115.0,2716860.8,3102801.8,2961933.8,3361427.2,3356802.2,
44,104.03530374399855,0.3755374,,,,12,,,,,,,150388.44,1636392.5,734228.8,378608.88,603373.06,2669614.8,
1888,106.04101452247646,8.463642,,,,,,,,,,,108235.11,237947.67,64442.844,0,3796.4624,901623.0,
2044,106.04102444892659,10.197066,,,,,,,,,,,106008.625,410354.97,255182.6,13681.155,16965.098,147501.6,
1999,106.04103355753362,10.140124,,,,,,,,,,,106008.625,742379.5,179205.14,45287.03,16965.098,952318.5,
