"","filter","GF_MC_RCG_Ctrl_1_neg_20210511_Run68.mzML","GF_MC_RCG_Ctrl_2_neg_20210511_Run147.mzML","GF_MC_RCG_Ctrl_3_neg_20210511_Run159.mzML","GF_PF_MC_RCG_1_neg_20210511_Run79.mzML","GF_PF_MC_RCG_2_neg_20210511_Run97.mzML","GF_PF_MC_RCG_3_neg_20210511_Run198.mzML"
"2517/282.1136mz/4.37min",4116925.6,6762155.5,5812442,7054734,2289124,2421409.2,802519.3
"2518/649.3569mz/4.39min",1024410.175,1553502,1298226.1,1837316.4,750594.25,687673.06,503901.75
"2519/495.2822mz/4.4min",67842.295,78457.28,54860.97,91190.37,73217.164,62467.426,41499.055
"2520/299.1611mz/4.36min",49308.3115,172679.62,76577.266,187655.47,12067.928,22039.357,10086.419
"2521/381.2282mz/4.4min",61669.378,55659.676,43857.977,46270.457,97259.66,75512.28,67679.08
"2522/718.451mz/4.41min",375919.75,490409.16,444472.97,478843.5,307366.53,174374.88,32026.43
"2523/488.2402mz/4.42min",270507.765,491406.47,356029.7,624224.25,133853.72,184985.83,62582.395
"2524/331.249mz/4.43min",250746.81,200583.22,181113.52,208195.4,294773.9,293298.22,350138.75
"2525/343.2124mz/4.43min",264733.825,208753.81,196720.33,207035,464551.72,320713.84,601294.4
"2526/410.2296mz/4.44min",234725.48,425936.84,315159.06,470254.38,154291.9,153620.3,141114.84
"2528/229.1444mz/4.52min",6528159,3197024.5,2381615.5,5316116,7740202,10185237,12312763
"2529/755.3621mz/4.45min",280460.205,602057.06,499139.7,791253.5,52356.543,58066.113,61780.71
"2531/325.177mz/4.47min",469774.54,938650.75,735983.1,1051086.6,203565.98,200159.81,106634.49
"2534/470.2507mz/4.48min",157022.41,314877.22,202691.19,474134.7,91038.96,111353.63,64705.88
"2535/512.2723mz/4.47min",48232.89,16077.63,16077.63,16077.63,88737.08,80388.15,168376.95
