"","Filename","GF_MC_RCG_Ctrl_1_neg_20210511_Run68.mzML","GF_MC_RCG_Ctrl_2_neg_20210511_Run147.mzML","GF_MC_RCG_Ctrl_3_neg_20210511_Run159.mzML","GF_PF_MC_RCG_1_neg_20210511_Run79.mzML","GF_PF_MC_RCG_2_neg_20210511_Run97.mzML","GF_PF_MC_RCG_3_neg_20210511_Run198.mzML"
"55","2511/242.1762mz/4.36min","539223.2","513863.94","489750.66","400170.0","407203.56","508037.28"
"56","2514/398.2296mz/4.37min","596259.4","431782.0","898219.3","224780.64","354655.06","88013.59"
"57","2515/288.1241mz/4.37min","53457.277","31802.38","65617.27","601087.3","411529.84","721687.56"
"58","2517/282.1136mz/4.37min","6762155.5","5812442.0","7054734.0","2289124.0","2421409.2","802519.3"
"59","2518/649.3569mz/4.39min","1553502.0","1298226.1","1837316.4","750594.25","687673.06","503901.75"
"60","2519/495.2822mz/4.4min","78457.28","54860.97","91190.37","73217.164","62467.426","41499.055"
"61","2520/299.1611mz/4.36min","172679.62","76577.266","187655.47","12067.928","22039.357","10086.419"
"62","2521/381.2282mz/4.4min","55659.676","43857.977","46270.457","97259.66","75512.28","67679.08"
"63","2522/718.451mz/4.41min","490409.16","444472.97","478843.5","307366.53","174374.88","32026.43"
"64","2523/488.2402mz/4.42min","491406.47","356029.7","624224.25","133853.72","184985.83","62582.395"
"65","2524/331.249mz/4.43min","200583.22","181113.52","208195.4","294773.9","293298.22","350138.75"
"66","2525/343.2124mz/4.43min","208753.81","196720.33","207035.0","464551.72","320713.84","601294.4"
"67","2526/410.2296mz/4.44min","425936.84","315159.06","470254.38","154291.9","153620.3","141114.84"
"68","2528/229.1444mz/4.52min","3197024.5","2381615.5","5316116.0","7740202.0","10185237.0","12312763.0"
"69","2529/755.3621mz/4.45min","602057.06","499139.7","791253.5","52356.543","58066.113","61780.71"
"70","2531/325.177mz/4.47min","938650.75","735983.1","1051086.6","203565.98","200159.81","106634.49"
"71","2534/470.2507mz/4.48min","314877.22","202691.19","474134.7","91038.96","111353.63","64705.88"
"72","2535/512.2723mz/4.47min","0.0","0.0","0.0","88737.08","80388.15","168376.95"
"73","2536/1077.5984mz/4.47min","7129.085","3718.4941","10555.821","420020.56","402664.47","270363.12"
"74","2537/481.2664mz/4.48min","320573.06","251163.25","340479.4","312675.72","261340.28","277044.3"
"75","2539/301.202mz/4.47min","33595.086","31295.475","95064.48","160585.9","210467.23","262003.48"
"76","2540/229.1274mz/4.48min","445104.06","368420.4","519057.47","887020.8","908943.56","1026727.8"
"77","2541/184.1342mz/4.49min","1611479.5","1373366.4","1858349.5","3244922.2","3353352.2","3839458.0"
"78","2542/228.1242mz/4.49min","4185557.5","3479379.8","4831240.5","8371017.5","8463777.0","9835989.0"
"79","2543/347.1974mz/4.49min","389166.6","310057.5","314418.38","389033.78","304360.03","271080.25"
"80","2545/307.1914mz/4.5min","1194071.2","944552.7","1060703.4","1436531.9","1357006.1","1988343.0"
"81","2547/427.2196mz/4.5min","0.0","0.0","0.0","101915.68","73806.375","188683.12"
"82","2548/329.2333mz/4.5min","13054260.0","11265764.0","13391695.0","18284704.0","19672922.0","23129330.0"
"83","2549/507.2819mz/4.5min","391496.03","347827.1","505779.0","601690.8","632476.7","696961.9"
"84","2550/330.2366mz/4.5min","2434247.8","2135032.5","2481388.8","3592807.5","3634668.0","4255066.5"
"85","2551/375.1846mz/4.52min","169377.52","117133.32","260241.17","303678.44","540111.25","507075.12"
"86","2552/388.224mz/4.5min","534563.44","462590.5","454841.1","193195.16","187953.06","249913.8"
"87","2553/331.2391mz/4.5min","279414.34","231390.11","285981.28","404503.84","438803.0","506039.62"
"88","2555/349.1403mz/4.51min","180446.33","138915.14","283524.78","621081.9","710096.1","551327.94"
"89","2557/398.2296mz/4.53min","200785.03","129547.875","291234.0","97865.42","135741.02","42526.05"
"90","2559/315.1562mz/4.54min","98769.32","60888.086","192416.58","562374.1","606880.0","286891.28"
"91","2563/262.1084mz/4.54min","997197.56","852502.3","1148885.0","1721593.6","1514052.8","893925.25"
"92","2564/218.1186mz/4.55min","372851.97","315128.88","414024.88","672654.9","584741.0","315286.2"
"93","2565/718.451mz/4.56min","636967.3","489025.62","571047.4","389070.7","267913.8","51702.8"
"94","2566/228.1604mz/4.56min","566873.2","475015.72","551525.2","600484.06","627759.25","588512.75"
"95","2567/327.2178mz/4.56min","4862372.5","3869481.8","4590341.0","5354375.0","6971399.0","6276217.5"
"96","2568/328.2212mz/4.57min","946528.3","600501.9","696996.44","1013061.44","1358105.6","1530418.4"
"97","2569/375.1845mz/4.6min","263503.7","206835.42","484806.84","375067.25","481331.16","1157996.1"
"98","2570/296.0928mz/4.57min","1185961.8","1156385.5","1085837.5","945761.0","826408.44","625499.6"
"99","2571/354.2397mz/4.58min","114021.67","80524.625","101180.21","208928.23","199109.64","206664.14"
"100","2572/495.2826mz/4.59min","123851.45","64109.797","150162.02","58923.082","57613.555","61364.797"
