"","Filename","GF_MC_RCG_Ctrl_1_neg_20210511_Run68.mzML","GF_MC_RCG_Ctrl_2_neg_20210511_Run147.mzML","GF_MC_RCG_Ctrl_3_neg_20210511_Run159.mzML","GF_PF_MC_RCG_1_neg_20210511_Run79.mzML","GF_PF_MC_RCG_2_neg_20210511_Run97.mzML","GF_PF_MC_RCG_3_neg_20210511_Run198.mzML"
"1","Class","CTRL","CTRL","CTRL","EXP","EXP","EXP"
"2","2436/706.186mz/4.01min","80683.54","27793.355","166997.4","322533.2","543045.6","178986.11"
"3","2437/214.1085mz/4.03min","17204.16","60359.65","15992.213","545210.6","226520.83","571503.7"
"4","2438/287.1612mz/4.02min","0.0","0.0","0.0","215753.56","104298.72","467186.62"
"5","2439/621.3255mz/4.02min","1853581.1","1528722.8","2167807.5","2862262.0","2945277.2","2667713.5"
"6","2440/667.3459mz/4.01min","212680.06","171454.8","194869.52","132833.3","106747.23","246152.34"
"7","2441/471.2614mz/4.03min","181898.94","170892.33","137127.52","0.0","0.0","0.0"
"8","2442/745.3571mz/4.04min","7194900.5","6141912.0","6747823.0","3902100.0","3526088.0","2889503.2"
"9","2443/765.403mz/4.04min","96957.22","70725.336","113264.86","0.0","0.0","0.0"
"10","2444/382.1984mz/4.04min","7727658.0","6049860.0","8194853.5","1826453.1","2005398.4","1195809.5"
"11","2445/584.293mz/4.03min","84503.25","56628.94","158266.95","176776.28","227570.62","226882.1"
"12","2447/428.1858mz/4.04min","1363033.0","973108.0","1952037.5","104268.44","456872.9","0.0"
"13","2448/465.2716mz/4.05min","144070.1","113529.31","123786.3","470068.44","512179.0","436545.8"
"14","2449/255.1351mz/4.05min","63826.008","47808.203","118989.5","132841.98","110204.78","384507.53"
"15","2450/329.1718mz/4.05min","672650.8","492870.25","773020.3","393558.16","376372.0","309233.22"
"16","2451/356.1826mz/4.05min","179869.88","110655.31","240713.98","52824.332","62259.855","33384.414"
"17","2452/285.1133mz/4.06min","533892.6","472009.4","652698.3","852378.3","982784.8","1040000.8"
"18","2453/584.3106mz/4.07min","191121.48","163076.92","150156.3","824735.06","639287.5","881462.2"
"19","2454/550.2884mz/4.07min","540934.6","420115.6","573566.75","1087247.5","935522.0","766017.6"
"20","2455/499.2565mz/4.08min","315601.5","261977.5","302579.62","947389.1","706470.56","1059675.2"
"21","2456/396.2139mz/4.08min","1971380.0","1506228.5","2066352.2","1184200.6","1191699.0","722941.3"
"22","2458/508.2776mz/4.09min","273635.6","235209.12","255129.17","116820.56","112909.234","73853.04"
"23","2460/488.2039mz/4.09min","402677.22","309851.28","361096.38","800295.5","797121.44","900750.44"
"24","2461/214.1449mz/4.09min","634296.75","308328.97","751591.75","614039.3","378212.16","230809.23"
"25","2464/964.5147mz/4.11min","425830.2","340923.9","404060.9","1018716.3","886088.4","1225402.8"
"26","2465/495.2823mz/4.11min","274386.34","218096.95","375948.25","32142.709","33496.645","7888.824"
"27","2467/656.2939mz/4.07min","346911.03","305582.38","483801.66","62635.734","175642.66","140024.72"
"28","2468/227.1291mz/4.13min","28924.922","15049.108","15070.371","60443.324","54315.645","114060.32"
"29","2471/681.3467mz/4.14min","3254456.0","2343162.2","4301857.5","1454058.0","1652347.4","1163019.8"
"30","2472/188.0176mz/4.15min","3246776.5","2942660.5","4380338.5","2640156.2","2874532.5","1521623.6"
"31","2473/232.0073mz/4.15min","2449076.0","2279041.8","3380081.2","1994909.6","2177028.2","1190947.5"
"32","2474/269.0567mz/4.16min","15151.44","11029.223","33234.51","208310.38","221266.25","591758.25"
"33","2475/513.2723mz/4.17min","242952.73","195333.52","240945.28","208159.97","194292.38","125926.734"
"34","2476/215.1288mz/4.18min","835442.06","684140.25","1166281.1","1849732.4","2209438.0","2939233.0"
"35","2477/374.2084mz/4.19min","336342.84","270274.4","321320.9","167607.6","168713.31","131841.52"
"36","2478/248.1292mz/4.28min","3511564.8","2072379.8","2982521.2","1799943.6","1769405.6","275235.44"
"37","2479/301.1404mz/4.2min","78926.28","50168.12","141716.67","304718.72","354688.62","251686.14"
"38","2480/297.1132mz/4.2min","1471068.8","1271326.6","1213587.4","1586707.9","1352216.0","1349602.9"
"39","2481/329.1718mz/4.18min","195357.16","173596.19","228785.92","25133.402","34902.766","29483.992"
"40","2486/340.224mz/4.22min","47499.918","39181.035","42138.11","114992.88","96902.37","144529.83"
"41","2487/400.2089mz/4.22min","45516.742","11653.283","60501.766","219439.42","222896.34","255978.89"
"42","2488/329.0668mz/4.23min","0.0","0.0","0.0","72130.5","78731.305","432266.5"
"43","2489/234.1135mz/4.23min","264444.75","225183.45","349510.88","214549.53","189794.3","57871.066"
"44","2491/451.2925mz/4.25min","988044.25","884752.7","790346.25","152116.11","125659.42","3434.2114"
"45","2492/354.2398mz/4.24min","1932429.4","1568771.8","1858786.2","2000767.6","1779248.2","1283612.1"
"46","2493/527.2512mz/4.24min","786193.25","813958.75","485970.7","1599918.4","872734.6","2131479.2"
"47","2495/268.098mz/4.27min","567332.6","541729.3","639307.6","241910.27","263006.7","193781.83"
"48","2496/471.2611mz/4.27min","229542.27","200427.47","184967.47","0.0","0.0","0.0"
"49","2497/612.3151mz/4.27min","315056.38","305727.34","385217.44","262314.66","229532.75","394229.47"
"50","2499/374.2085mz/4.26min","230905.22","174396.84","195051.3","128631.11","101856.836","61463.35"
"51","2503/327.2177mz/4.31min","5754758.5","4860329.0","5517806.5","8112103.5","8199594.0","10331995.0"
"52","2506/201.1496mz/4.32min","35983.594","33192.047","30096.65","216801.44","242600.19","305568.28"
"53","2507/227.129mz/4.33min","529859.0","616815.0","542421.0","767509.0","996943.06","1276833.2"
"54","2508/253.119mz/4.34min","125310.25","129875.61","149091.34","372903.25","178422.66","431329.9"
