"MetaboAnalyst_ID","GF_MC_RCG_Ctrl_1_neg_20210511_Run68.mzML","GF_MC_RCG_Ctrl_2_neg_20210511_Run147.mzML","GF_MC_RCG_Ctrl_3_neg_20210511_Run159.mzML","GF_PF_MC_RCG_1_neg_20210511_Run79.mzML","GF_PF_MC_RCG_2_neg_20210511_Run97.mzML","GF_PF_MC_RCG_3_neg_20210511_Run198.mzML","shared_name"
"2493/527.2512mz/4.24min",2.97471724451678,2.89628405933764,2.82706699671243,3.49658037438371,3.26699697833598,3.61411068428598,"2493"
"2495/268.098mz/4.27min",2.83302570170266,2.71946404418761,2.94616675267628,2.67613696638971,2.74608167649095,2.57274283249331,"2495"
"2497/612.3151mz/4.27min",2.57757637318385,2.47101620966936,2.72616288769953,2.71130520472927,2.68695955189402,2.88117871719887,"2497"
"2503/327.2177mz/4.31min",3.83921500660122,3.67234728830095,3.8822233172122,4.20161602170092,4.23990712526765,4.29961377111826,"2503"
"2507/227.129mz/4.33min",2.80334828620225,2.77583662245331,2.87479339406508,3.17756602744047,3.32478513680109,3.39156375483431,"2507"
"2511/242.1762mz/4.36min",2.81095653774807,2.69652987227163,2.83043194001312,2.89472711026614,2.93592637916859,2.9913251943904,"2511"
"2514/398.2296mz/4.37min",2.85462319518195,2.62094630954554,3.09383925056122,2.64424158286779,2.87592098516127,2.22998026911438,"2514"
"2517/282.1136mz/4.37min",3.90927305679844,3.75004025216207,3.98893749382933,3.65215185858171,3.71018296539397,3.18988508080465,"2517"
"2518/649.3569mz/4.39min",3.27049972755158,3.09903197247329,3.40464080613344,3.16788778430285,3.16349680002677,2.9877754793053,"2518"
"2522/718.451mz/4.41min",2.76974655548899,2.63352712217822,2.82065050935576,2.7801391880979,2.56759889852104,1.79094528518209,"2522"
"2523/488.2402mz/4.42min",2.77062885193671,2.53716807810501,2.93579752331923,2.4191133813459,2.59325341694176,2.08188364114553,"2523"
"2525/343.2124mz/4.43min",2.39882274991444,2.27953161909383,2.45650095553409,2.959516643912,2.83223253725399,3.06451676323677,"2525"
"2528/229.1444mz/4.52min",3.58393386927109,3.36255327229946,3.86605129967179,4.18123483348375,4.33408591529762,4.37578510387934,"2528"
"2529/755.3621mz/4.45min",2.85882560892198,2.68390385007965,3.03877251726865,2.01145609927708,2.09003933994311,2.076284405839,"2529"
"2531/325.177mz/4.47min",3.05169195604341,2.85254951499456,3.16209536270062,2.60118791067961,2.62749180852395,2.31332792677955,"2531"
"2537/481.2664mz/4.48min",2.5851151107384,2.38563817678421,2.67254781495155,2.78757676993224,2.74332121756204,2.72797889882186,"2537"
"2540/229.1274mz/4.48min",2.72764955464428,2.55202550425145,2.85567234907892,3.24041635142377,3.28465170053025,3.29688491196849,"2540"
"2541/184.1342mz/4.49min",3.28641269541062,3.12346805251915,3.40958424959658,3.80368682785651,3.85159394618052,3.86969950540123,"2541"
"2542/228.1242mz/4.49min",3.70094121656989,3.52718345922621,3.82451550818735,4.21526078847358,4.25367898851921,4.27824761817094,"2542"
"2543/347.1974mz/4.49min",2.66932358863812,2.47712416425677,2.63796492107495,2.88246989854921,2.80950246027116,2.71852756130414,"2543"
