sample_name,filepath
POS_TJGIp11_1_Run25.mzML,POS_TJGIp11_1_Run25.mzML
POS_TJGIp11_2_Run123.mzML,POS_TJGIp11_2_Run123.mzML
POS_TJGIp11_3_Run149.mzML,POS_TJGIp11_3_Run149.mzML
POS_TJGI2pt1_EV_gpdA_CTRL_1_Run13.mzML,POS_TJGI2pt1_EV_gpdA_CTRL_1_Run13.mzML
POS_TJGI2pt1_EV_gpdA_CTRL_2_Run143.mzML,POS_TJGI2pt1_EV_gpdA_CTRL_2_Run143.mzML
POS_TJGI2pt1_EV_gpdA_CTRL_3_Run194.mzML,POS_TJGI2pt1_EV_gpdA_CTRL_3_Run194.mzML
2024_POS_Anid-TJGIp11_1_Run167.mzML,2024_POS_Anid-TJGIp11_1_Run167.mzML
2024_POS_Anid-TJGIp11_2_Run205.mzML,2024_POS_Anid-TJGIp11_2_Run205.mzML
2024_POS_Anid-TJGIp11_3_Run252.mzML,2024_POS_Anid-TJGIp11_3_Run252.mzML
2024_POS_Anid-EV-gpdA_CTRL_1_Run188.mzML,2024_POS_Anid-EV-gpdA_CTRL_1_Run188.mzML
2024_POS_Anid-EV-gpdA_CTRL_2_Run208.mzML,2024_POS_Anid-EV-gpdA_CTRL_2_Run208.mzML
2024_POS_Anid-EV-gpdA_CTRL_3_Run238.mzML,2024_POS_Anid-EV-gpdA_CTRL_3_Run238.mzML
