row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,NEG_TJGI2pt1_EV_gpdA_CTRL_3_Run195.mzML Peak area,NEG_TJGIp10_3_Run210.mzML Peak area,NEG_TJGI2pt1_EV_gpdA_CTRL_2_Run144.mzML Peak area,NEG_TJGIp10_2_Run133.mzML Peak area,NEG_TJGI2pt1_EV_gpdA_CTRL_1_Run14.mzML Peak area,NEG_TJGIp10_1_Run23.mzML Peak area,
53,89.02431767222998,0.5050412,,,,,,,,,,,1364576.5,722853.0,1474720.8,1184007.9,159543.7,419892.4,
14,92.92795663522315,0.353469,,,,76,,,,,,,584895.7,616276.2,252152.98,259299.45,718702.06,520707.5,
2719,92.92796784430449,10.266926,,,,,,,,,,,0,0,0,0,348263.6,74226.48,
2798,96.96005104866373,11.029339,,,,,,,,,,,4319244.5,4585300.5,4220628.0,4324941.5,2944546.8,3115445.2,
1330,96.96005967781919,6.3330417,,,,,,,,,,,25278.012,3327.4246,3536.235,14466.222,3309.3074,1216807.6,
12,96.96010861561469,0.3452871,,,,76,,,,,,,3457486.8,3478614.5,3391302.0,3105224.8,5279361.0,5227569.5,
41,96.96954400864779,0.39668646,,,,76,,,,,,,3194722.0,3314370.5,2817780.0,3741006.0,3762788.5,5216732.0,
2489,99.9257579611633,8.446459,,,,,,,,,,,4429146.5,5508575.0,6907487.0,5848276.5,7719770.5,5.115589E7,
2362,99.92576330392534,8.156088,,,,12,,,,,,,3.2378754E7,2.6871986E7,3.806818E7,3.5324324E7,3.0641618E7,2890582.5,
2067,100.93357129818536,7.7137218,,,,21,,,,,,,1.792739E7,7033233.0,2401822.5,3976173.8,9500205.0,7697843.5,
2384,100.9335794072195,8.156104,,,,12,,,,,,,4393055.0,1.1088763E7,1.8416428E7,1.9250722E7,9976747.0,1.6244761E7,
1831,100.93359968467757,7.4512925,,,,,,,,,,,2023011.1,1914451.9,1967155.8,2122715.8,2290097.0,1698691.6,
2722,102.95684129770369,10.275752,,,,,,,,,,,30093.826,50324.887,77245.35,40156.023,697101.75,234219.72,
