"","Filename","NEG_TJGI15pt3_EV_alcA-Control_1_Run32.mzML","NEG_TJGI15pt3_EV_alcA-Control_2_Run115.mzML","NEG_TJGI15pt3_EV_alcA-Control_3_Run204.mzML","NEG_TJGIp2_1_Run38.mzML","NEG_TJGIp2_2_Run94.mzML","NEG_TJGIp2_3_Run162.mzML"
"1","Class","CTRL","CTRL","CTRL","EXP","EXP","EXP"
"2","77/218.1034mz/2.11min","1986247.5","2228749.8","2710956.0","2421105.5","2248989.2","2107633.0"
"3","78/145.0506mz/2.14min","1106338.2","1026941.06","1326368.9","1266662.5","1189157.1","1202761.8"
"4","79/118.051mz/2.28min","0.0","390735.03","150826.5","20242.262","4672.626","27540.13"
"5","82/158.0822mz/2.37min","233479.2","274345.84","332609.88","302178.62","357171.84","314716.16"
"6","83/194.0458mz/2.39min","1609258.8","1813843.2","2139740.0","1913724.8","2149701.0","2087747.5"
"7","84/144.0454mz/2.4min","1157537.1","1319045.4","1455662.1","868065.44","862902.9","894932.6"
"8","85/188.0353mz/2.41min","1692900.9","2059580.0","2387149.5","1300468.4","1348096.5","1466273.1"
"9","86/136.0404mz/2.41min","818329.06","652536.8","773130.7","808422.4","766984.7","818198.94"
"10","87/175.0611mz/2.43min","1486586.5","1411843.0","1914304.5","1332304.0","1482920.6","1370636.1"
"11","88/139.0401mz/2.46min","592632.4","642751.44","742142.7","230766.81","354401.34","482436.7"
"12","89/181.0717mz/2.56min","0.0","82378.3","26008.918","24634.2","230466.23","0.0"
"13","90/130.0873mz/2.57min","38307.04","139935.44","172575.66","41925.414","340982.8","57842.273"
"14","91/172.098mz/2.55min","30476.516","38202.93","54200.137","40902.277","41844.31","45386.617"
"15","92/228.0878mz/2.57min","753315.44","417336.62","498275.94","491574.56","479613.0","629599.25"
"16","93/121.0295mz/2.57min","638061.44","818958.6","839435.0","776410.06","997937.56","925385.8"
"17","94/159.0663mz/2.61min","332953.25","320898.0","393009.72","358789.28","342298.03","340736.3"
"18","95/178.051mz/2.62min","622003.2","602802.94","712450.5","571457.75","543377.7","538608.5"
"19","96/158.0822mz/2.73min","816245.3","1053163.0","1315479.2","1002108.0","1042827.56","794972.1"
"20","97/136.0404mz/2.73min","66161.14","129846.07","167205.69","50290.734","79499.78","112776.55"
"21","98/107.0503mz/2.76min","595567.7","649416.2","798886.56","493218.03","499940.78","519034.3"
"22","99/151.04mz/2.76min","427729.84","478197.75","596941.2","354189.8","382667.66","392649.72"
"23","100/131.0713mz/2.78min","4101108.8","3590300.8","4442848.0","3689142.0","3467577.0","3658365.2"
"24","101/188.0353mz/2.79min","74767.61","74520.31","97247.41","58557.64","56816.438","80287.01"
"25","102/457.1869mz/2.8min","540976.44","0.0","5248.1226","0.0","0.0","0.0"
"26","103/501.1765mz/2.79min","2235403.5","24619.193","96303.375","0.0","5157.2393","0.0"
"27","104/158.0822mz/2.81min","827401.56","1078931.0","1284084.1","967254.3","1009230.25","783247.3"
"28","105/159.0663mz/2.87min","627582.8","531884.5","655401.25","658724.2","599474.1","578955.2"
"29","106/426.1898mz/2.89min","140842.95","245380.86","272410.38","267515.12","263782.94","215028.61"
"30","107/185.0819mz/2.89min","56959.445","47552.36","54623.066","58910.883","52048.125","38645.797"
"31","108/172.0979mz/2.91min","1627517.1","1472463.9","1040718.06","1033205.0","1805102.0","1688579.9"
"32","109/130.0873mz/2.91min","166496.08","202936.02","204167.9","180169.22","374564.12","116956.97"
"33","110/118.051mz/2.92min","117083.08","282126.3","42014.984","12173.205","94903.25","3698.189"
"34","111/186.1135mz/2.95min","1179859.0","924461.06","1100495.5","927908.7","831483.8","999656.44"
"35","112/171.1027mz/2.96min","687633.5","507766.84","591816.1","499496.12","377369.1","272356.3"
"36","113/189.0768mz/2.96min","438997.56","370401.44","500234.94","359607.97","373637.28","375289.2"
"37","114/426.1897mz/2.97min","308615.3","378038.34","423064.12","414031.3","435016.47","397014.03"
