"","filter","NEG_TJGI15pt3_EV_alcA-Control_1_Run32.mzML","NEG_TJGI15pt3_EV_alcA-Control_2_Run115.mzML","NEG_TJGI15pt3_EV_alcA-Control_3_Run204.mzML","NEG_TJGIp2_1_Run38.mzML","NEG_TJGIp2_2_Run94.mzML","NEG_TJGIp2_3_Run162.mzML"
"77/218.1034mz/2.11min",2238869.5,1986247.5,2228749.8,2710956,2421105.5,2248989.2,2107633
"78/145.0506mz/2.14min",1195959.45,1106338.2,1026941.06,1326368.9,1266662.5,1189157.1,1202761.8
"79/118.051mz/2.28min",23891.196,934.5252,390735.03,150826.5,20242.262,4672.626,27540.13
"82/158.0822mz/2.37min",308447.39,233479.2,274345.84,332609.88,302178.62,357171.84,314716.16
"83/194.0458mz/2.39min",2000736.15,1609258.8,1813843.2,2139740,1913724.8,2149701,2087747.5
"84/144.0454mz/2.4min",1026234.85,1157537.1,1319045.4,1455662.1,868065.44,862902.9,894932.6
"85/188.0353mz/2.41min",1579587,1692900.9,2059580,2387149.5,1300468.4,1348096.5,1466273.1
"86/136.0404mz/2.41min",790776.55,818329.06,652536.8,773130.7,808422.4,766984.7,818198.94
"87/175.0611mz/2.43min",1447381.8,1486586.5,1411843,1914304.5,1332304,1482920.6,1370636.1
"88/139.0401mz/2.46min",537534.55,592632.4,642751.44,742142.7,230766.81,354401.34,482436.7
"89/181.0717mz/2.56min",25321.559,4926.84,82378.3,26008.918,24634.2,230466.23,4926.84
"90/130.0873mz/2.57min",98888.8565,38307.04,139935.44,172575.66,41925.414,340982.8,57842.273
"91/172.098mz/2.55min",41373.2935,30476.516,38202.93,54200.137,40902.277,41844.31,45386.617
"92/228.0878mz/2.57min",494925.25,753315.44,417336.62,498275.94,491574.56,479613,629599.25
"93/121.0295mz/2.57min",829196.8,638061.44,818958.6,839435,776410.06,997937.56,925385.8
"94/159.0663mz/2.61min",341517.165,332953.25,320898,393009.72,358789.28,342298.03,340736.3
"95/178.051mz/2.62min",587130.345,622003.2,602802.94,712450.5,571457.75,543377.7,538608.5
"96/158.0822mz/2.73min",1022467.78,816245.3,1053163,1315479.2,1002108,1042827.56,794972.1
"97/136.0404mz/2.73min",96138.165,66161.14,129846.07,167205.69,50290.734,79499.78,112776.55
"98/107.0503mz/2.76min",557301,595567.7,649416.2,798886.56,493218.03,499940.78,519034.3
"99/151.04mz/2.76min",410189.78,427729.84,478197.75,596941.2,354189.8,382667.66,392649.72
"100/131.0713mz/2.78min",3673753.6,4101108.8,3590300.8,4442848,3689142,3467577,3658365.2
"101/188.0353mz/2.79min",74643.96,74767.61,74520.31,97247.41,58557.64,56816.438,80287.01
"102/457.1869mz/2.8min",1049.62452,540976.44,1049.62452,5248.1226,1049.62452,1049.62452,1049.62452
"103/501.1765mz/2.79min",14888.21615,2235403.5,24619.193,96303.375,1031.44786,5157.2393,1031.44786
