"","filter","Yeast_HE_D5-Ctrl_a_neg_20190515_Run37.mzML","Yeast_HE_D5-Ctrl_b_neg_20190515_Run40.mzML","Yeast_HE_D5-Ctrl_c_neg_20190515_Run43.mzML","NEG_D5-227-C3-a_Run275.mzML","NEG_D5-227-C3-b_Run278.mzML","NEG_D5-227-C3-c_Run281.mzML"
"32/217.1047mz/2.24min",523894.464,873157.44,1119584.6,874888.25,174631.488,174631.488,174631.488
"33/140.0683mz/2.44min",25944.5508,43240.918,86922.38,86683.18,8648.1836,8648.1836,8648.1836
"34/316.2115mz/2.52min",103540.74,378905,172567.9,192132.47,34513.58,34513.58,34513.58
"35/121.0294mz/2.66min",371561.364,123853.788,123853.788,123853.788,619268.94,752210.94,745175.2
"36/316.2116mz/2.68min",65269.806,483951.94,316461.5,108783.01,21756.602,21756.602,21756.602
"37/89.0598mz/2.75min",217075.56,1227202.5,462431.1,361792.6,72358.52,72358.52,72358.52
"38/272.1855mz/2.75min",171957.264,457010.9,316054.78,286595.44,57319.088,57319.088,57319.088
"39/217.1071mz/2.8min",151120.266,302399.5,251867.11,562677.25,50373.422,50373.422,50373.422
"40/257.0995mz/2.8min",330793.86,635531,551323.1,1194898,110264.62,110264.62,110264.62
"41/120.0445mz/2.83min",1335024,2561646,2504766,2225040,445008,445008,445008
"42/138.0551mz/2.83min",381230.064,729429,699165.94,635383.44,127076.688,127076.688,127076.688
"43/131.0712mz/2.9min",110149.23,36716.41,36716.41,36716.41,895713.8,183582.05,566716.06
"45/172.0978mz/3.04min",320334.96,106778.32,106778.32,106778.32,542728.2,562740.4,533891.6
"46/165.0555mz/3.09min",328509.06,109503.02,109503.02,109503.02,598551.8,547515.1,1035119.1
"47/345.1518mz/3.13min",110835.204,252543.84,184725.34,539637.94,36945.068,36945.068,36945.068
"48/172.1333mz/3.19min",600517.236,1050209.2,1000862.06,1013033.6,200172.412,200172.412,200172.412
"49/194.1153mz/3.19min",3330414,5550690,5608868.5,5752086.5,1110138,1110138,1110138
"51/239.089mz/3.35min",351015.3,585025.5,621064.56,785703.9,117005.1,117005.1,117005.1
"52/219.0571mz/3.52min",283480.896,472468.16,704063.7,571939.8,94493.632,94493.632,94493.632
"53/217.0422mz/3.53min",316473.864,105491.288,105491.288,105491.288,570434.9,821959.8,527456.44
"54/233.0726mz/3.55min",37149.138,111962.734,61915.23,174515.22,12383.046,12383.046,12383.046
"55/255.0545mz/3.55min",24391.4838,103437.08,40652.473,154486.44,8130.4946,8130.4946,8130.4946
"56/201.0596mz/3.65min",90344.814,183206.77,150574.69,383144.03,30114.938,30114.938,30114.938
"57/217.1071mz/3.66min",57614.676,123977.27,96024.46,165238.33,19204.892,19204.892,19204.892
"58/385.1465mz/3.65min",155597.862,311265.3,259329.77,648033.3,51865.954,51865.954,51865.954
"59/361.1502mz/3.65min",354656.436,118218.812,118218.812,118218.812,591094.06,603917.9,651141.3
"60/345.1541mz/3.66min",27907.35,50080.805,46512.25,134678.56,9302.45,9302.45,9302.45
"61/140.0683mz/3.74min",42593.748,70989.58,104845.33,104798.42,14197.916,14197.916,14197.916
"62/322.0966mz/3.77min",33235.374,60915.984,55392.29,106577.98,11078.458,11078.458,11078.458
"63/302.1304mz/3.8min",380991.75,955356.5,634986.25,1293005.6,126997.25,126997.25,126997.25
"64/324.1123mz/3.8min",1018935.96,2224620.2,1698226.6,3029360.2,339645.32,339645.32,339645.32
"65/217.1072mz/3.85min",33809.094,77007.41,56348.49,150358.2,11269.698,11269.698,11269.698
"66/468.2438mz/3.85min",159622.668,326846.06,266037.78,521222.72,53207.556,53207.556,53207.556
"67/449.2027mz/3.84min",565675.35,188558.45,188558.45,188558.45,966568.2,1069532.1,942792.25
"68/245.0858mz/3.85min",279396.636,520364.78,465661.06,900811.2,93132.212,93132.212,93132.212
"69/433.2065mz/3.85min",65022.132,140299.77,108370.22,256059.61,21674.044,21674.044,21674.044
"70/451.2171mz/3.85min",286467.24,556432.06,477445.4,979511.1,95489.08,95489.08,95489.08
"71/473.1992mz/3.85min",1065112.92,2087157.5,1775188.2,3451053.8,355037.64,355037.64,355037.64
"72/300.1147mz/3.9min",440068.26,959815.4,733447.1,1374672.9,146689.42,146689.42,146689.42
"73/322.0965mz/3.9min",366396.264,789315.5,610660.44,1131831,122132.088,122132.088,122132.088
"74/203.0621mz/3.91min",95517.852,159196.42,175056.88,221874,31839.284,31839.284,31839.284
"75/561.2514mz/4.0min",78819.63,252184.88,131366.05,417414.56,26273.21,26273.21,26273.21
"76/222.1464mz/4.05min",324361.74,555436.4,555364,540602.9,108120.58,108120.58,108120.58
"77/325.1255mz/4.24min",485530.38,856377.1,824488.94,809217.3,161843.46,161843.46,161843.46
"78/233.0726mz/4.36min",189769.704,430908.72,316282.84,681919.6,63256.568,63256.568,63256.568
"79/255.0544mz/4.36min",194979.24,429370.25,324965.4,696547.7,64993.08,64993.08,64993.08
"80/266.1726mz/4.37min",50049.786,88478.78,83416.31,90807.68,16683.262,16683.262,16683.262
"81/242.1761mz/4.37min",64341.552,21447.184,21447.184,21447.184,107235.92,120688.92,449989.9
"82/226.1801mz/4.37min",70369.266,138396.81,117282.11,127039.375,23456.422,23456.422,23456.422
"84/236.162mz/4.45min",39876.8904,82167.91,66461.484,77752.49,13292.2968,13292.2968,13292.2968
"86/689.2987mz/4.5min",258681.972,553162.1,431136.62,874201.06,86227.324,86227.324,86227.324
"87/433.2067mz/4.54min",2832180,5378270,4720300,8173895.5,944060,944060,944060
"88/450.2335mz/4.54min",1368530.52,2713164.2,2280884.2,3885283.5,456176.84,456176.84,456176.84
"89/455.1886mz/4.54min",19847373.6,36426240,33078956,46258470,6615791.2,6615791.2,6615791.2
"90/236.0805mz/4.54min",1237309.86,2251770.5,2062183.1,3239293.5,412436.62,412436.62,412436.62
