"","Filename","Yeast_HE_D5-Ctrl_a_neg_20190515_Run37.mzML","Yeast_HE_D5-Ctrl_b_neg_20190515_Run40.mzML","Yeast_HE_D5-Ctrl_c_neg_20190515_Run43.mzML","NEG_D5-227-C3-a_Run275.mzML","NEG_D5-227-C3-b_Run278.mzML","NEG_D5-227-C3-c_Run281.mzML"
"1","Class","CTRL","CTRL","CTRL","EXP","EXP","EXP"
"2","32/217.1047mz/2.24min","873157.44","1119584.6","874888.25","0.0","0.0","0.0"
"3","33/140.0683mz/2.44min","43240.918","86922.38","86683.18","0.0","0.0","0.0"
"4","34/316.2115mz/2.52min","378905.0","172567.9","192132.47","0.0","0.0","0.0"
"5","35/121.0294mz/2.66min","0.0","0.0","0.0","619268.94","752210.94","745175.2"
"6","36/316.2116mz/2.68min","483951.94","316461.5","108783.01","0.0","0.0","0.0"
"7","37/89.0598mz/2.75min","1227202.5","462431.1","361792.6","0.0","0.0","0.0"
"8","38/272.1855mz/2.75min","457010.9","316054.78","286595.44","0.0","0.0","0.0"
"9","39/217.1071mz/2.8min","302399.5","251867.11","562677.25","0.0","0.0","0.0"
"10","40/257.0995mz/2.8min","635531.0","551323.1","1194898.0","0.0","0.0","0.0"
"11","41/120.0445mz/2.83min","2561646.0","2504766.0","2225040.0","0.0","0.0","0.0"
"12","42/138.0551mz/2.83min","729429.0","699165.94","635383.44","0.0","0.0","0.0"
"13","43/131.0712mz/2.9min","0.0","0.0","0.0","895713.8","183582.05","566716.06"
"14","45/172.0978mz/3.04min","0.0","0.0","0.0","542728.2","562740.4","533891.6"
"15","46/165.0555mz/3.09min","0.0","0.0","0.0","598551.8","547515.1","1035119.1"
"16","47/345.1518mz/3.13min","252543.84","184725.34","539637.94","0.0","0.0","0.0"
"17","48/172.1333mz/3.19min","1050209.2","1000862.06","1013033.6","0.0","0.0","0.0"
"18","49/194.1153mz/3.19min","5550690.0","5608868.5","5752086.5","0.0","0.0","0.0"
"19","51/239.089mz/3.35min","585025.5","621064.56","785703.9","0.0","0.0","0.0"
"20","52/219.0571mz/3.52min","472468.16","704063.7","571939.8","0.0","0.0","0.0"
"21","53/217.0422mz/3.53min","0.0","0.0","0.0","570434.9","821959.8","527456.44"
"22","54/233.0726mz/3.55min","111962.734","61915.23","174515.22","0.0","0.0","0.0"
"23","55/255.0545mz/3.55min","103437.08","40652.473","154486.44","0.0","0.0","0.0"
"24","56/201.0596mz/3.65min","183206.77","150574.69","383144.03","0.0","0.0","0.0"
"25","57/217.1071mz/3.66min","123977.27","96024.46","165238.33","0.0","0.0","0.0"
"26","58/385.1465mz/3.65min","311265.3","259329.77","648033.3","0.0","0.0","0.0"
"27","59/361.1502mz/3.65min","0.0","0.0","0.0","591094.06","603917.9","651141.3"
"28","60/345.1541mz/3.66min","50080.805","46512.25","134678.56","0.0","0.0","0.0"
"29","61/140.0683mz/3.74min","70989.58","104845.33","104798.42","0.0","0.0","0.0"
"30","62/322.0966mz/3.77min","60915.984","55392.29","106577.98","0.0","0.0","0.0"
"31","63/302.1304mz/3.8min","955356.5","634986.25","1293005.6","0.0","0.0","0.0"
"32","64/324.1123mz/3.8min","2224620.2","1698226.6","3029360.2","0.0","0.0","0.0"
"33","65/217.1072mz/3.85min","77007.41","56348.49","150358.2","0.0","0.0","0.0"
"34","66/468.2438mz/3.85min","326846.06","266037.78","521222.72","0.0","0.0","0.0"
"35","67/449.2027mz/3.84min","0.0","0.0","0.0","966568.2","1069532.1","942792.25"
"36","68/245.0858mz/3.85min","520364.78","465661.06","900811.2","0.0","0.0","0.0"
"37","69/433.2065mz/3.85min","140299.77","108370.22","256059.61","0.0","0.0","0.0"
"38","70/451.2171mz/3.85min","556432.06","477445.4","979511.1","0.0","0.0","0.0"
"39","71/473.1992mz/3.85min","2087157.5","1775188.2","3451053.8","0.0","0.0","0.0"
"40","72/300.1147mz/3.9min","959815.4","733447.1","1374672.9","0.0","0.0","0.0"
"41","73/322.0965mz/3.9min","789315.5","610660.44","1131831.0","0.0","0.0","0.0"
"42","74/203.0621mz/3.91min","159196.42","175056.88","221874.0","0.0","0.0","0.0"
"43","75/561.2514mz/4.0min","252184.88","131366.05","417414.56","0.0","0.0","0.0"
"44","76/222.1464mz/4.05min","555436.4","555364.0","540602.9","0.0","0.0","0.0"
"45","77/325.1255mz/4.24min","856377.1","824488.94","809217.3","0.0","0.0","0.0"
"46","78/233.0726mz/4.36min","430908.72","316282.84","681919.6","0.0","0.0","0.0"
"47","79/255.0544mz/4.36min","429370.25","324965.4","696547.7","0.0","0.0","0.0"
"48","80/266.1726mz/4.37min","88478.78","83416.31","90807.68","0.0","0.0","0.0"
"49","81/242.1761mz/4.37min","0.0","0.0","0.0","107235.92","120688.92","449989.9"
"50","82/226.1801mz/4.37min","138396.81","117282.11","127039.375","0.0","0.0","0.0"
"51","84/236.162mz/4.45min","82167.91","66461.484","77752.49","0.0","0.0","0.0"
"52","86/689.2987mz/4.5min","553162.1","431136.62","874201.06","0.0","0.0","0.0"
"53","87/433.2067mz/4.54min","5378270.0","4720300.0","8173895.5","0.0","0.0","0.0"
"54","88/450.2335mz/4.54min","2713164.2","2280884.2","3885283.5","0.0","0.0","0.0"
"55","89/455.1886mz/4.54min","36426240.0","33078956.0","46258470.0","0.0","0.0","0.0"
"56","90/236.0805mz/4.54min","2251770.5","2062183.1","3239293.5","0.0","0.0","0.0"
"57","92/244.0667mz/4.55min","392515.88","343792.88","535368.5","0.0","0.0","0.0"
"58","93/469.109mz/4.69min","404024.0","341365.66","429135.84","0.0","0.0","0.0"
"59","94/211.9707mz/4.69min","3885960.8","4098365.8","4073209.0","0.0","0.0","0.0"
"60","96/229.9813mz/4.69min","8713632.0","9201769.0","9118387.0","0.0","0.0","0.0"
"61","97/231.9791mz/4.69min","8553489.0","9007000.0","8944106.0","0.0","0.0","0.0"
"62","98/232.9823mz/4.69min","706129.5","762901.06","750166.3","0.0","0.0","0.0"
"63","99/230.9845mz/4.69min","722326.3","755746.25","758790.56","0.0","0.0","0.0"
"64","100/227.9665mz/4.69min","0.0","0.0","0.0","2091111.4","2059085.1","2128619.0"
"65","101/229.9643mz/4.69min","0.0","0.0","0.0","2026771.0","1989605.2","2074159.4"
"66","102/295.9538mz/4.69min","0.0","0.0","0.0","483182.9","486913.38","486064.56"
"67","103/297.9517mz/4.69min","0.0","0.0","0.0","471604.78","466037.66","474316.66"
"68","104/447.127mz/4.69min","489896.84","396407.16","514181.6","0.0","0.0","0.0"
"69","105/247.0883mz/4.7min","456514.1","474250.84","599881.7","0.0","0.0","0.0"
