Filename,2024_NEG_Anid-EV-SA-OA_CTRL_1_Run174.mzML,2024_NEG_Anid-EV-SA-OA_CTRL_2_Run218.mzML,2024_NEG_Anid-EV-SA-OA_CTRL_3_Run245.mzML,2024_NEG_Anid-SA-OA_1_Run171.mzML,2024_NEG_Anid-SA-OA_2_Run192.mzML,2024_NEG_Anid-SA-OA_3_Run236.mzML
Class,CTRL,CTRL,CTRL,EXP,EXP,EXP
65/158.0822mz/2.03min,500899.88,633377.44,1368861.6,464550.12,366682.3,413521.25
66/259.1299mz/2.03min,1185901.2,1060308.2,109044.09,720207.4,248904.61,403879.28
67/217.0718mz/2.04min,325328.0,319955.8,303515.66,911837.4,206100.56,272782.06
70/287.0521mz/2.07min,520806.03,1471942.0,312153.75,446251.7,883077.6,904441.1
71/224.0564mz/2.07min,2246162.0,3941616.5,1492447.1,1883672.1,2041740.5,2103467.5
73/129.0557mz/2.08min,175410.34,263743.28,40268.457,224197.97,24898.61,189817.39
75/231.0985mz/2.1min,669858.25,815100.8,268181.97,280550.88,133409.78,167804.25
76/220.0649mz/2.09min,2492483.5,3202291.8,1824628.0,3014395.2,2235525.8,1956272.5
77/149.0278mz/2.1min,689850.94,806393.75,581340.25,1267203.5,572400.6,601949.94
78/163.9861mz/2.12min,5317767.5,5073853.5,4346139.5,6530354.0,5416347.0,5359139.5
79/117.0558mz/2.12min,1422908.2,1073013.4,3193668.8,1400443.5,793328.06,790726.44
81/167.035mz/2.15min,3551862.8,1792669.4,706875.25,1538947.1,973581.2,1669505.9
84/218.1034mz/2.18min,2072500.8,2025261.0,2224940.8,2415444.5,1662724.0,1455662.4
86/197.0455mz/2.2min,552624.4,388235.94,994565.8,711368.3,592110.6,567588.0
87/293.0667mz/2.21min,382106.44,278729.4,544117.0,900349.25,272756.47,427552.78
88/175.0611mz/2.21min,193080.16,371592.66,287911.56,293367.06,378987.94,248623.2
89/145.0506mz/2.21min,3415575.8,3208633.2,1757513.5,1984164.2,1181187.8,1797971.1
90/199.0613mz/2.23min,61003.23,157124.08,85023.85,292711.3,83794.92,45921.16
91/287.1249mz/2.26min,525799.44,734951.5,500220.9,612754.3,178138.06,434973.28
92/125.0245mz/2.26min,4236392.5,2699467.2,486300.66,3432505.0,957179.25,1470953.9
93/181.0507mz/2.27min,502010.8,362468.4,1057356.4,673779.7,426748.1,344034.94
94/131.0714mz/2.3min,491348.1,270174.0,162428.16,407767.2,97510.53,183428.7
97/213.0404mz/2.33min,1600705.8,3837481.5,189862.16,983480.56,2068254.8,2451033.5
98/275.0561mz/2.32min,33713.11,0.0,189313.28,0.0,32264.102,20606.707
99/274.0933mz/2.33min,4182448.8,3447492.0,2667774.0,1190006.9,628865.7,1678814.8
100/212.0645mz/2.33min,523647.38,1064121.5,631554.7,1997649.5,555552.5,706268.06
102/230.1034mz/2.35min,288966.34,219581.56,176184.14,58203.523,20957.143,110581.39
103/211.0612mz/2.33min,5487106.0,9668502.0,6714785.0,19774816.0,8183288.0,7293883.5
104/193.0505mz/2.33min,122328.61,185088.4,112738.305,479410.25,178569.16,148495.27
105/167.0713mz/2.34min,35557.453,100999.76,44927.453,198311.64,63471.39,52656.82
108/343.0756mz/2.34min,174368.52,141737.72,199931.4,307165.62,209063.12,210395.06
110/261.1171mz/2.35min,331179.75,209653.78,248903.48,275053.84,117548.7,245256.23
111/260.1138mz/2.34min,3003033.8,2603943.5,2298867.0,2274523.0,1107621.8,2100087.0
113/326.086mz/2.34min,174523.52,181214.92,257032.48,679364.9,282205.44,231600.77
116/497.1776mz/2.36min,1150642.8,1329248.6,887061.0,379162.34,840175.06,1063851.2
119/185.1011mz/2.38min,555865.1,464734.88,317220.9,199597.45,80987.03,306843.25
121/519.2089mz/2.38min,1614004.5,1656051.8,906907.9,395336.88,800347.75,1040896.1
122/517.2039mz/2.38min,39729700.0,38296004.0,22638372.0,11428809.0,18064378.0,25251852.0
123/535.2145mz/2.38min,4101736.5,3930740.5,2084739.0,937697.06,1615510.4,2307279.0
124/260.1033mz/2.38min,2873307.2,2533526.0,1651234.0,1117140.8,1380734.0,1748588.6
125/258.0984mz/2.38min,197116060.0,178996770.0,119814490.0,80596820.0,97378824.0,123289816.0
126/557.1964mz/2.38min,557746.2,501684.34,239792.9,188132.89,173855.5,401959.06
128/184.0979mz/2.38min,6338246.5,5264916.0,3544015.5,2533587.5,2741592.0,3455209.5
129/102.056mz/2.38min,3137483.2,2562734.2,1740945.2,1258545.6,1291043.2,1685422.8
130/214.1085mz/2.38min,24024092.0,19837944.0,13423339.0,9843603.0,10479706.0,13545324.0
131/196.0979mz/2.38min,1923627.2,1595286.9,1030371.5,736358.7,826279.75,1012867.9
133/215.1117mz/2.38min,2538366.8,2054358.8,1379775.5,966390.9,1111835.9,1385865.5
134/259.1017mz/2.37min,23733266.0,21465406.0,14703069.0,9887117.0,11873950.0,15134643.0
135/539.1859mz/2.38min,4734752.0,4244408.0,3352542.8,2804050.8,3327590.2,3761441.0
136/820.2735mz/2.38min,83337.086,198376.36,221658.84,290638.12,359241.56,177930.34
141/130.0591mz/2.42min,175120.84,29621.922,600361.3,64025.164,153710.42,126487.984
142/129.0557mz/2.42min,5327915.0,2590275.2,10028343.0,3938416.2,2903136.0,2615401.2
143/677.2945mz/2.42min,508433.16,374004.2,239904.75,184464.62,285023.03,339700.06
144/675.2885mz/2.42min,5683678.5,4401523.0,2570428.8,2059435.0,3202152.2,3916529.8
145/224.0644mz/2.43min,409060.12,423176.0,35991.05,67321.77,0.0,151492.34
146/309.119mz/2.43min,504244.03,143693.28,965106.9,444430.53,115990.87,208548.12
148/175.0611mz/2.43min,273644.2,408458.12,1211108.9,350704.4,319685.84,284730.6
149/223.0611mz/2.43min,3494797.5,3681657.0,478051.3,804149.2,85172.31,1397222.4
150/833.3729mz/2.44min,434707.16,290124.53,370564.84,292712.62,512599.0,551705.3
151/416.1825mz/2.44min,8290858.5,6505527.0,8725724.0,7342149.5,10102984.0,9948429.0
152/479.1783mz/2.44min,1349701.8,1050626.5,1671756.1,1464760.5,2117549.0,2054299.8
153/204.0302mz/2.44min,117357.625,368104.66,272258.72,196981.6,254771.36,184829.97
154/235.0644mz/2.45min,103268.76,19394.975,351008.8,32418.527,10657.265,35039.957
157/188.0353mz/2.46min,229061.83,138434.52,108910.66,454623.3,151081.58,141804.75
159/194.0458mz/2.46min,1276755.8,1463259.1,1122433.1,1326219.2,1122412.4,1075287.6
162/259.1299mz/2.47min,1158294.1,1718939.4,798741.44,1512718.1,782046.94,1076755.4
163/261.1173mz/2.48min,168513.23,154342.56,136222.64,101815.66,94556.74,123378.234
166/279.051mz/2.48min,160837.81,68946.38,184259.94,47934.766,307320.56,235538.7
167/230.1034mz/2.48min,397555.1,325098.62,191546.83,269653.53,238168.16,299625.1
169/716.3224mz/2.49min,2678790.0,4002061.8,2377551.0,3061976.5,2187744.2,2165052.0
170/752.299mz/2.49min,530769.9,1096380.0,783084.9,684335.56,585411.06,665307.1
171/779.3179mz/2.49min,1017745.2,1490898.1,995204.2,1241597.4,868152.44,855516.8
172/167.0349mz/2.49min,803028.94,859318.6,814597.25,370945.8,702136.8,637472.3
173/208.0614mz/2.49min,114097.61,6968.8115,70390.97,0.0,80506.32,150233.73
174/363.1082mz/2.5min,309991.3,318230.0,158162.72,0.0,162690.97,168508.14
175/244.0462mz/2.5min,438386.06,434959.47,154266.34,57305.312,91827.42,369366.5
176/182.0539mz/2.5min,780731.8,688675.7,465705.8,68122.64,486847.88,509368.38
177/242.1034mz/2.51min,510676.94,189141.92,209149.89,68599.91,186879.48,659386.7
178/181.0506mz/2.51min,8225493.5,7636350.0,5186258.0,907074.56,5402680.5,5405944.5
180/786.2858mz/2.51min,229720.75,329856.44,52987.57,355852.7,187528.45,176825.12
181/113.0608mz/2.52min,120546.32,88050.36,271435.53,120528.47,82975.305,53035.812
182/140.0434mz/2.52min,440358.03,375732.34,357780.66,673875.25,415717.34,390237.3
183/139.0401mz/2.52min,7188951.0,6159052.5,5568631.5,10482487.0,6859806.0,6730825.5
184/175.0612mz/2.52min,9224900.0,7206495.5,34772240.0,7752795.0,5673234.5,5258533.5
185/95.0502mz/2.52min,579127.94,431861.3,428528.2,914699.75,493108.28,509885.5
186/176.0645mz/2.53min,658644.8,510358.66,2635900.2,510552.53,345044.1,345017.84
187/260.0388mz/2.52min,104266.24,40477.73,330926.66,107892.52,62999.54,79401.664
188/373.1114mz/2.52min,18460.537,18359.377,510442.5,11858.529,0.0,0.0
190/157.0506mz/2.53min,184624.62,200980.45,270673.72,175305.34,140988.84,138402.83
191/153.0193mz/2.54min,355864.2,1110048.1,327690.7,199898.6,366110.38,370211.06
192/261.0881mz/2.54min,171018.5,237322.47,0.0,686455.5,181848.44,260962.2
193/303.1562mz/2.54min,1366288.5,1223329.8,752666.75,2213187.2,631324.4,933877.6
194/203.0462mz/2.54min,0.0,0.0,731504.75,0.0,0.0,0.0
196/309.119mz/2.56min,442850.62,49524.727,1669333.8,312163.7,98971.3,192491.47
198/285.1456mz/2.55min,780384.8,980886.7,1490002.8,2302218.8,1246041.1,1080243.1
199/477.209mz/2.56min,247550.25,177305.1,979995.8,225519.88,139255.86,121443.5
