Filename,2024_POS_CC_1_Run20.mzML,2024_POS_CC_2_Run47.mzML,2024_POS_CC_3_Run61.mzML,2024_POS_CC-VPA_1_Run26.mzML,2024_POS_CC-VPA_2_Run35.mzML,2024_POS_CC-VPA_3_Run76.mzML
Class,CTRL,CTRL,CTRL,EXP,EXP,EXP
99/244.1907mz/2.1min,362358.0,378928.16,448430.34,307426.66,525212.1,422510.03
100/99.5121mz/2.11min,297106.94,646871.1,642649.8,638568.75,244737.95,549190.94
101/181.0971mz/2.12min,898039.1,811825.75,944581.0,1018357.56,1876907.1,972396.6
102/245.0954mz/2.12min,4122480.2,3831443.2,4424619.0,4638589.5,8784264.0,4549913.5
103/302.1961mz/2.17min,49615.59,63591.703,76567.086,31329.102,60916.7,69640.586
104/184.1695mz/2.21min,1963623.9,2006927.0,2359434.5,1646339.5,2665836.2,2241493.0
105/217.1247mz/2.25min,490726.38,512937.16,524780.9,501905.6,474243.97,475508.16
106/218.1281mz/2.25min,6703308.0,7037200.0,7092236.5,6861139.0,6502514.5,6383575.0
107/200.1046mz/2.25min,5724253.5,6020740.5,5971879.5,5947078.0,5438563.0,5351898.5
109/195.1227mz/2.29min,662007.2,661755.6,609265.1,617123.75,778880.7,647633.2
110/244.2012mz/2.36min,2119867.8,1235168.4,1254858.4,2147731.5,2111869.8,2053836.6
112/302.1961mz/2.37min,577454.4,460546.97,503479.28,475001.38,664532.9,367384.06
113/244.2012mz/2.51min,317576.8,316261.53,321047.5,322345.53,320194.47,322071.6
114/184.1695mz/2.52min,189120.73,199355.02,262391.03,155702.42,261791.45,249075.4
115/316.2117mz/2.58min,518763.5,555945.0,515751.84,306306.2,363534.62,360658.22
116/261.1234mz/2.6min,3745073.2,3550931.0,3679835.0,4126006.8,7528732.0,3580228.2
117/180.1019mz/2.66min,304599.34,289440.38,351532.84,378114.6,621144.9,292324.5
118/259.2202mz/2.66min,444309.44,450825.1,453464.7,448286.34,483413.56,463438.2
119/130.159mz/2.69min,415925.8,421903.75,418963.97,388257.3,570850.6,407016.6
120/185.0855mz/2.7min,777895.7,528040.94,382658.53,653211.9,774935.8,919407.2
121/197.1285mz/2.71min,2253950.2,2233381.2,2507296.8,2596728.0,5271904.5,2405259.5
122/202.1801mz/2.73min,117968.21,137273.95,177111.53,95297.0,171281.27,160461.12
123/316.2118mz/2.74min,1072906.8,1166596.2,1235190.8,652820.94,804883.4,811533.56
124/214.1801mz/2.75min,77211.89,85959.45,88138.39,63524.0,90685.94,73464.57
125/185.1284mz/2.8min,77001.2,61179.35,73187.625,89469.484,217889.4,88999.44
126/259.2202mz/2.79min,201252.77,200408.77,200241.4,201042.77,194456.23,195985.67
127/272.1856mz/2.82min,1246104.6,1329863.4,1344371.1,958135.8,1228810.0,1025878.44
128/120.0443mz/2.82min,583206.75,258310.25,378867.56,261429.9,362032.9,291551.56
129/138.0549mz/2.82min,601815.75,265142.75,393499.62,268257.06,375671.66,295781.0
130/181.0971mz/2.84min,85198.02,95668.05,72708.77,74672.2,114006.63,52489.656
131/185.1284mz/2.87min,55443.945,68127.84,79606.73,79955.18,189029.08,65901.836
132/183.0917mz/2.96min,757174.4,518081.8,571238.75,552665.5,1072160.5,733635.94
133/244.2012mz/3.06min,39026.684,44383.53,44044.227,43158.637,30518.21,36842.047
134/211.1441mz/3.14min,2833066.5,2714042.2,2883836.8,3195446.2,5816375.5,2740333.5
135/211.144mz/3.24min,3156233.5,2982399.8,3417069.0,3721597.5,7202271.5,3556694.5
136/245.1284mz/3.26min,1398522.4,1330699.2,1425901.0,1589152.4,3005737.2,1369285.1
137/214.0498mz/3.32min,4383463.0,3823617.2,6604240.5,3697411.5,10656628.0,7637550.0
138/320.1703mz/3.29min,44587.94,36998.15,42043.977,38441.477,55710.51,39767.676
139/215.053mz/3.31min,548937.3,502543.1,880827.2,497579.38,1323070.6,989236.6
140/182.1903mz/3.35min,366698.97,362229.62,320492.4,323858.3,380840.5,231451.06
141/245.1284mz/3.39min,3259170.0,2998391.5,3290411.8,3668925.8,6945503.5,2989813.8
143/228.2321mz/3.46min,374266.97,387021.8,435638.53,338511.03,448942.16,361173.6
144/264.1335mz/3.47min,1062805.0,737559.6,876122.44,884297.5,1101118.5,1157296.2
145/213.1597mz/3.51min,199110.61,88225.41,229716.78,150939.44,460743.16,246169.31
148/215.053mz/3.54min,2483226.5,1904962.6,3271536.0,2224346.5,2712889.8,2085054.5
149/214.0499mz/3.54min,27752528.0,21875316.0,26346566.0,24282580.0,25569760.0,19675018.0
150/274.1648mz/3.54min,835814.9,809188.4,832806.6,834730.7,807497.44,770057.06
151/228.2321mz/3.54min,147417.58,139505.05,161905.42,127252.61,181617.0,139731.5
152/228.2321mz/3.66min,1943579.0,1970114.9,2159286.5,1680255.8,2228932.8,1831442.2
153/246.1335mz/3.67min,215748.77,202918.1,201266.3,209579.23,215881.27,205958.02
154/586.2703mz/3.73min,1014120.25,897805.44,367355.75,909314.0,1265135.1,778768.5
155/320.1703mz/3.75min,70265.625,54729.83,52197.117,55141.242,63683.586,51065.285
156/195.1379mz/3.83min,77177.36,83246.664,99103.6,106147.03,79950.72,95726.82
157/514.2855mz/3.97min,951709.75,1089534.6,1340759.6,945739.0,1268559.1,1020215.7
158/394.2222mz/4.15min,340853.97,262886.66,301948.3,309372.62,590222.4,336049.72
160/321.1738mz/4.32min,944117.44,756909.06,690009.6,740845.2,939297.75,714522.1
161/320.1703mz/4.32min,6276044.5,4979478.0,4532468.0,5155798.5,6180318.5,4731913.5
162/325.1257mz/4.32min,694140.5,478547.88,467068.2,593595.0,716697.2,532366.6
163/195.1379mz/4.34min,826656.94,741257.94,812256.3,810930.7,851382.7,762861.4
164/364.1965mz/4.4min,492407.03,402542.47,407481.97,415860.03,496726.34,402804.62
165/226.1801mz/4.42min,1213328.6,1208796.8,1239245.2,1222089.2,1236696.1,1329071.6
166/244.1906mz/4.42min,836944.6,809258.7,819670.94,833878.7,850297.56,929302.0
169/408.2226mz/4.47min,523569.12,495124.94,503237.3,422492.84,567916.2,501148.97
170/214.1801mz/4.51min,566948.5,409036.22,281583.0,424623.22,408388.75,724226.6
171/412.2457mz/4.55min,38495.562,35457.67,43226.742,35660.13,46685.75,42937.93
172/392.1914mz/4.56min,2679363.2,2131720.2,2003049.5,2116573.5,2758971.2,1954955.0
