"MetaboAnalyst_ID","POS_D5.Ctrl.a.P.EAMeOH_Run28.mzML","POS_D5.Ctrl.b.P.EAMeOH_Run31.mzML","POS_D5.Ctrl.c.P.EAMeOH_Run34.mzML","POS_D5.211.C2.a_Run118.mzML","POS_D5.211.C2.b_Run121.mzML","POS_D5.211.C2.c_Run124.mzML","shared_name"
"200/158.0813mz/2.06min",2.60828061356449,2.63403749967933,2.75196449835038,2.63276284844792,2.68955460581489,2.64498951799919,"200"
"201/380.1482mz/2.09min",2.20493214747681,2.20978667800059,2.23425227579875,2.04270279704046,2.12028946887807,2.08111006478815,"201"
"204/205.0972mz/2.24min",2.37157543670866,2.38427386802235,2.71083165829082,2.12264935598566,2.10667539960286,2.01880575961749,"204"
"206/188.0706mz/2.24min",2.51915554948197,2.54459900637483,2.86286861250518,2.26705074277692,2.28114488717863,2.1711356485255,"206"
"207/217.1047mz/2.25min",2.22714521268822,2.19531246519341,2.23347816355649,2.08980133851931,1.99325539281619,2.06663305606167,"207"
"208/206.0448mz/2.3min",2.02030543898722,2.05497716900141,2.13934862558334,1.83339558597894,1.85246589631615,1.80006691839988,"208"
"210/261.1443mz/2.43min",1.63666412669155,1.69915257017086,1.84452459012276,1.80047079502306,1.80888768059366,1.79471241593607,"210"
"211/190.0498mz/2.43min",2.12807280931506,2.12753587615869,2.26958829436801,2.24079491142338,2.24984076221105,2.21594601179944,"211"
"217/232.1159mz/2.61min",2.59255575621539,2.55925649219376,2.70057493449872,2.62706529596216,2.69317263169601,2.60664741962601,"217"
"218/214.0862mz/2.61min",2.4588736583051,2.43899144976132,2.58153313982651,2.48970645421369,2.5568448290027,2.46162905104708,"218"
"219/188.0706mz/2.61min",1.73990760920961,1.7251058829997,1.87511761036436,1.76736896668643,1.83468729264911,1.73617815517424,"219"
"220/231.1128mz/2.61min",3.43368936109478,3.40072820600605,3.5422160312249,3.4682329858411,3.534767376261,3.44936540933072,"220"
"221/158.0964mz/2.61min",2.56070217146615,2.54263351511737,2.68376046775506,2.59257406814641,2.65703424107219,2.56795502691522,"221"
"223/130.1591mz/2.65min",2.78604571346953,2.75009688993763,2.85821018178763,2.83663962171145,2.80971220915668,2.84028694511153,"223"
