"","Filename","POS_D5-Ctrl-a-P-EAMeOH_Run28.mzML","POS_D5-Ctrl-b-P-EAMeOH_Run31.mzML","POS_D5-Ctrl-c-P-EAMeOH_Run34.mzML","POS_D5-211-C2-a_Run118.mzML","POS_D5-211-C2-b_Run121.mzML","POS_D5-211-C2-c_Run124.mzML"
"1","Class","CTRL","CTRL","CTRL","EXP","EXP","EXP"
"62","272/324.1121mz/3.81min","2587120.5","1681654.9","3355229.0","3399692.8","3066508.0","2597258.2"
"63","273/217.1071mz/3.85min","67970.01","50655.504","132733.48","128212.984","154546.38","129947.57"
"64","274/245.0857mz/3.85min","518819.56","424705.7","846159.9","905108.6","986171.44","838954.94"
"65","275/433.2062mz/3.85min","131128.58","99037.06","232264.58","233591.66","270876.56","225800.31"
"66","276/451.2169mz/3.85min","513950.03","414420.06","859355.06","898569.8","1045394.6","874768.56"
"67","277/473.199mz/3.85min","1912798.6","1554312.4","2963324.8","3305064.2","3667412.0","3090193.0"
"68","278/519.2408mz/3.91min","181073.64","308488.88","265078.88","428926.72","378649.66","171102.4"
"69","279/322.0965mz/3.9min","788573.94","570616.56","1057596.9","981467.1","1019852.1","889925.56"
"70","280/300.1146mz/3.9min","757769.7","551402.3","1037504.6","948006.2","993400.9","875025.75"
"71","281/561.2513mz/4.0min","265480.97","174576.11","420086.0","361960.2","385058.97","322918.56"
"72","282/222.1464mz/4.06min","955115.94","980712.06","964789.3","644412.25","630745.75","635733.06"
"73","283/325.1255mz/4.25min","1583260.5","1528237.1","1479621.2","1017176.8","963225.9","854351.44"
"74","284/255.0544mz/4.37min","402634.62","315403.9","628271.3","229195.38","193056.83","183462.34"
"75","285/233.0725mz/4.36min","320252.12","231804.45","479347.22","178065.3","149558.05","139737.78"
"76","286/226.1801mz/4.38min","197493.38","170621.11","186580.23","274993.47","312235.38","303538.12"
"77","287/244.1907mz/4.38min","83366.7","63701.723","74144.56","128197.17","144289.88","137249.2"
"78","288/266.1725mz/4.38min","146818.17","118264.06","136822.86","213490.36","246346.25","229202.83"
"79","289/236.162mz/4.45min","163352.25","151623.72","177733.6","162627.27","136587.28","110661.164"
"80","290/397.1464mz/4.49min","494671.75","503326.38","453133.97","314161.53","291679.53","266185.88"
"81","291/689.2984mz/4.5min","474250.75","358575.4","751538.4","680014.75","713742.75","642615.2"
"82","292/244.0666mz/4.55min","218457.75","182002.38","307984.84","418614.6","460007.25","409819.28"
"83","294/236.0804mz/4.55min","2166959.2","1832987.5","2958121.8","2686752.5","2988245.5","2688840.8"
"84","295/433.2064mz/4.55min","4836569.5","4095306.0","7164602.0","6465757.5","7048794.0","6342867.5"
"85","296/450.2332mz/4.55min","1432475.8","1112257.6","1988622.9","2099529.0","2290147.8","2010197.2"
"86","297/455.1884mz/4.55min","32546796.0","29498876.0","41604456.0","39619304.0","41393020.0","38987010.0"
"87","299/211.9706mz/4.69min","3761432.2","3963934.0","3843235.2","4358281.5","4157135.5","4255841.5"
"88","300/232.9822mz/4.69min","655927.06","670648.5","673756.44","814209.2","777634.3","820938.2"
"89","302/229.9812mz/4.69min","8030920.0","8279314.5","8181102.5","9898482.0","9482180.0","9805603.0"
"90","303/231.979mz/4.69min","7866489.5","8120750.5","8046694.5","9699942.0","9286462.0","9592556.0"
"91","304/230.9844mz/4.69min","653265.5","687448.1","673436.9","817503.8","780380.9","824131.2"
"92","305/469.1088mz/4.7min","419921.3","341815.03","437213.72","429241.84","401149.16","385440.84"
"93","306/447.1268mz/4.7min","408332.06","322271.2","415406.34","414116.78","396022.4","377117.78"
"94","307/269.07mz/4.7min","399851.88","399975.8","508238.9","249617.05","240888.19","246974.06"
"95","308/247.0882mz/4.7min","366489.66","348629.6","440457.3","237269.36","225403.62","212483.03"
"96","310/568.296mz/4.73min","551706.94","512918.5","419508.53","589094.4","582953.3","571897.06"
"97","311/573.2514mz/4.73min","5792151.5","5721766.0","4949339.0","5602818.0","5561443.5","5474913.5"
"98","313/318.2999mz/4.81min","93410.31","105996.734","101911.586","94488.195","93179.57","85906.79"
"99","314/228.1958mz/4.82min","375877.94","280987.28","417873.06","658740.44","474340.94","452458.5"
"100","315/250.1776mz/4.82min","948250.1","780248.9","1038158.0","1582340.5","1146851.0","1125227.9"
