"","filter","POS_D5-Ctrl-a-P-EAMeOH_Run28.mzML","POS_D5-Ctrl-b-P-EAMeOH_Run31.mzML","POS_D5-Ctrl-c-P-EAMeOH_Run34.mzML","POS_D5-211-C2-a_Run118.mzML","POS_D5-211-C2-b_Run121.mzML","POS_D5-211-C2-c_Run124.mzML"
"195/140.0683mz/2.03min",65690.687,56098.25,66494.78,64886.594,74080.59,57847.062,126241.17
"196/216.1958mz/2.05min",175147.39,123451.92,854342,682929.5,213158.78,54465.086,137136
"197/159.0845mz/2.06min",294937.8,221095.39,244161.97,329342.25,286175.9,327235.5,303699.7
"200/158.0813mz/2.06min",4289598.75,3258711.5,3564773,4621429.5,4249437.5,4639410.5,4329760
"201/380.1482mz/2.09min",1269090.3,1287352.4,1342088.2,1403020.8,1092122.6,1250828.2,1181909.9
"203/384.1145mz/2.2min",355642.615,227080.97,211205.06,231374.98,479910.25,517966.4,508701.6
"204/205.0972mz/2.24min",1601165.9,1889473.2,2005710.5,4203814,1312858.6,1212226,1023953.1
"205/118.065mz/2.24min",11242.128,18736.88,27449.295,91962.84,3747.376,3747.376,3747.376
"206/188.0706mz/2.24min",2242415.45,2654121.8,2901305,5965961.5,1830709.1,1811561.5,1454152.5
"207/217.1047mz/2.25min",1257659.25,1354910.2,1298096.1,1400522.2,1217222.4,933605.9,1143160.9
"208/206.0448mz/2.3min",758320.75,841532.2,939661.75,1127614,674472.4,675109.3,618787.06
"209/298.0965mz/2.4min",257009.085,165949.45,147939.86,192235.17,340900.5,371439.94,321783
"210/261.1443mz/2.43min",591288.22,347879.97,414139.78,571921.5,625229.4,610654.94,611204.75
"211/190.0498mz/2.43min",1567077.15,1078544.6,1110529.9,1521949.1,1723310.4,1685578.4,1612205.2
"212/114.0914mz/2.46min",331085.08,446847.9,425655.5,710169.8,166193.05,188490.19,236514.66
"213/138.0551mz/2.48min",95722.17,31907.39,31907.39,31907.39,159536.95,221247.98,175086.31
"214/308.0908mz/2.48min",52681.218,17560.406,17560.406,17560.406,87802.03,132354.34,99219.836
"215/316.2115mz/2.53min",192116.415,268065.12,200268.27,162397.98,183964.56,137519.5,214150.9
"216/159.0997mz/2.61min",444927.72,337958.03,334168.9,459910.84,457084.1,494081.28,432771.34
"217/232.1159mz/2.61min",4034793.5,3142831.2,3000895.5,4105695.8,4194052.8,4678222,3963891.2
"218/214.0862mz/2.61min",2947725.5,2310143.5,2275023.2,3121368,3056856.5,3417850.2,2838594.5
"219/188.0706mz/2.61min",556741.075,441238,439643.1,613662.3,579345.4,648030.56,534136.75
"220/231.1128mz/2.61min",28053802,21799908,20831598,28512012,29093876,32484454,27595592
"221/158.0964mz/2.61min",3749930.8,2920569,2888204.2,3949774.5,3873848.8,4304695.5,3626012.8
"223/130.1591mz/2.65min",6010232,4906943,4656839.5,5902310,6795293.5,6118154,6788303.5
"225/316.2114mz/2.69min",284989.75,357380.88,293891.1,276088.4,275748.62,152753.33,435347.44
"226/229.0972mz/2.72min",318063.75,258583.14,164046.72,331139.3,306094.44,363718.3,330033.06
"227/188.0706mz/2.73min",275765.8,213001.58,202611.86,297273.78,288548.66,327009.12,262982.94
"229/158.0964mz/2.73min",2076187.95,1661273.4,1558858.2,2197853,2152754,2392681.5,1999621.9
"230/214.0862mz/2.73min",1497232.8,1191871.6,1134119.4,1627504.1,1544793.2,1730447.6,1449672.4
"231/231.1128mz/2.73min",15335988.5,12102498,10989282,15640242,15802961,18014404,15031735
"232/140.0682mz/2.76min",150613.245,157618.16,225053.98,81816.42,84187.22,173859.25,143608.33
"233/89.0598mz/2.74min",42034.662,14011.554,14011.554,14011.554,70057.77,255338.25,577848.44
"234/272.1854mz/2.77min",368624.6,532850.94,390768.22,356902.2,380347,306183.22,325422.44
"236/257.0994mz/2.8min",2143286.7,1258433.4,1022689.6,2232620.2,2368642,2484759,2053953.2
"237/217.107mz/2.8min",860775.025,506157.47,397873.1,885208.25,927325.3,1029404.9,836341.8
"239/120.0444mz/2.83min",4771115.6,2543060.2,2441997,2199576,6999171,7765307.5,11893218
"240/138.055mz/2.84min",1372428.25,698418.4,669039.94,613342.94,2046438.1,2331914.2,3411837.5
"241/171.0991mz/2.89min",644089.88,484666.1,684216.7,603963.06,447921.1,2601455.5,2559831.5
"242/183.0917mz/2.89min",4217513.4,6084376,5680325,9126121,2443340.2,353233.75,2754701.8
"243/195.1128mz/2.91min",173500.227,37788.508,16853.7,45498.484,344018.72,329224.72,301501.97
"244/308.0908mz/3.0min",19512.6624,6504.2208,6504.2208,6504.2208,32521.104,75737.9,225610.2
"246/196.0944mz/3.04min",342049.03,217634.48,205941.1,403131.5,357746.44,393024.16,326351.62
"247/132.1019mz/3.04min",104133.9805,36134.035,34993.055,83291.195,202530.23,124976.766,141359.45
"250/345.1516mz/3.13min",1260036.35,757030.75,598221.6,1368859.4,1288142.5,1333570.4,1231930.2
"252/194.1152mz/3.2min",7151283.5,8468201,8448022,8008537.5,5852550,6294029.5,5973171.5
"253/172.1332mz/3.2min",1317401.7,1602680.4,1548411.6,1547962.5,1064886.8,1086840.9,1086062.9
"254/212.1256mz/3.2min",695189.35,856573.75,859901.06,819286.7,571092,556817.6,556020.8
"258/140.0682mz/3.3min",83864.045,113293.76,67920.3,69037.52,94452.55,123178.14,73275.54
"259/195.1128mz/3.3min",954115.68,115955.78,108849.01,199893.86,1708337.5,2253032.2,1965609.9
"260/239.0888mz/3.35min",507272.8,594833.6,671162.4,1082356.8,83247.88,105565.25,419712
"261/217.1066mz/3.34min",31024.279,54164.57,27791.21,125476.695,4313.2866,862.65732,34257.348
"262/219.057mz/3.52min",1518711.5,1427008.4,1573650.2,1756512.5,1532058,1505365,1474935.6
"263/241.0387mz/3.52min",377696.905,364304.47,399893.84,447873.94,381227.97,374165.84,363280.34
"264/255.0544mz/3.56min",122222.715,103732.12,56798.332,163293.23,134020.12,138854.17,110425.31
"265/233.0725mz/3.56min",104376.075,98887.7,45660.926,147360.75,109864.45,125067.2,96746.164
"266/217.1071mz/3.65min",146788.725,102474.664,75877.95,231755.61,144755.95,158358.97,148821.5
"268/385.1464mz/3.66min",385559.83,274036.9,219594.1,578604.7,386594.6,412454.88,384525.06
"270/322.0964mz/3.77min",141447.785,113034.76,69872.13,154266.84,160664.9,157827.61,128628.73
"271/302.1302mz/3.8min",963205.52,880517.5,564643,1239223.1,1034340.94,1095256.1,892070.1
"272/324.1121mz/3.81min",2831883.1,2587120.5,1681654.9,3355229,3399692.8,3066508,2597258.2
"273/217.1071mz/3.85min",129080.277,67970.01,50655.504,132733.48,128212.984,154546.38,129947.57
"274/245.0857mz/3.85min",842557.42,518819.56,424705.7,846159.9,905108.6,986171.44,838954.94
"275/433.2062mz/3.85min",229032.445,131128.58,99037.06,232264.58,233591.66,270876.56,225800.31
"276/451.2169mz/3.85min",867061.81,513950.03,414420.06,859355.06,898569.8,1045394.6,874768.56
"277/473.199mz/3.85min",3026758.9,1912798.6,1554312.4,2963324.8,3305064.2,3667412,3090193
"278/519.2408mz/3.91min",286783.88,181073.64,308488.88,265078.88,428926.72,378649.66,171102.4
"279/322.0965mz/3.9min",935696.33,788573.94,570616.56,1057596.9,981467.1,1019852.1,889925.56
"280/300.1146mz/3.9min",911515.975,757769.7,551402.3,1037504.6,948006.2,993400.9,875025.75
