row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,Yeast_HE_D5-Ctrl_b_pos_20190515_Run40.mzML Peak area,Yeast_HE_D5-Ctrl_a_pos_20190515_Run37.mzML Peak area,POS_D5-227-C2-b_Run250.mzML Peak area,Yeast_HE_D5-Ctrl_c_pos_20190515_Run43.mzML Peak area,POS_D5-227-C2-c_Run253.mzML Peak area,POS_D5-227-C2-a_Run247.mzML Peak area,Unnamed: 19
587,80.94789854925881,10.183544,,,,,,,,,,,849612.6,930464.2,403799.44,815978.7,405689.94,389625.25,
394,80.94792042926686,7.76934,,,,22.0,,,,,,,878339.6,608120.56,347054.94,868997.2,297389.38,328523.4,
425,80.9479225902203,7.8598332,,,,10.0,,,,,,,766733.0,554205.44,271765.47,662708.0,396810.38,491575.4,
296,80.94794213467695,7.368608500000001,,,,14.0,,,,,,,605250.75,453578.38,339458.0,696817.56,364193.5,354076.84,
688,81.52054604450241,10.484124000000001,,,,48.0,,,,,,,27274882.0,29259034.0,32856118.0,27966768.0,32278918.0,23440550.0,
23,84.95981610040438,0.4279976,,,,11.0,,,,,,,2772350.2,4082067.2,10737569.0,10379863.0,10484465.0,10353247.0,
37,89.05982144219531,2.7420685000000002,,,,,,,,,,,453200.8,1227202.5,936129.1,361792.6,1215461.8,485499.66,
629,89.5067000849881,10.32639,,,,49.0,,,,,,,11440640.0,11433834.0,13302231.0,12806039.0,17062242.0,14230885.0,
700,89.5067363906283,10.596269,,,,,,,,,,,2905338.8,678554.06,568128.0,2941082.5,2450606.8,3126205.8,
656,90.5067303160074,10.365899,,,,49.0,,,,,,,4709399.5,4638022.0,4694211.0,4725757.5,4735045.5,4810816.5,
692,90.52592206341671,10.497914,,,,48.0,,,,,,,40922364.0,41356480.0,24822420.0,37602390.0,36748452.0,29180542.0,
375,90.97670846016243,7.7672105,,,,22.0,43.0,[M-H2O+2H]+2,,2.0,395;375,197.94976,730679.2,602204.5,929086.4,801242.75,1019981.75,1043801.3,
433,90.97671875223934,7.8742776,,,,10.0,47.0,[M-H2O+2H]+2,,2.0,433;427,197.94978999999998,1133448.1,912886.9,1630293.5,1185922.0,1623362.0,1438515.2,
283,90.97673879518669,7.372202400000001,,,,14.0,36.0,[M-H2O+2H]+2,,2.0,283;280,197.94978999999998,1378564.1,1160519.4,1718750.2,1555573.4,1988186.8,1945137.9,
661,91.50443310054823,10.369392999999999,,,,49.0,,,,,,,1792999.4,1763337.5,1704407.9,1804893.0,1808772.8,1790277.9,
677,94.0451388955914,10.450231,,,,48.0,,,,,,,4974401.0,4939875.0,5176801.0,4732135.5,5359296.0,4142359.2,
624,97.5144502620757,10.323783,,,,49.0,,,,,,,1307722.9,1388868.0,1565853.5,1278102.9,1576315.6,1685280.2,
704,97.51448768327772,10.716213,,,,,,,,,,,360516.94,451961.25,208170.5,245712.39,242090.14,760977.75,
6,97.96885960193815,0.03590226,,,,0.0,,,,,,,110124.95,84880.164,434628.9,114579.016,401462.84,482617.1,
11,97.96886787489628,0.32001922,,,,9.0,,,,,,,158515.05,189730.44,292608.3,188352.1,431364.2,341079.72,
693,97.99140410438223,10.506310000000001,,,,48.0,,,,,,,9588389.0,9013835.0,9819086.0,9387882.0,8956553.0,9812845.0,
626,98.51208389468023,10.324649,,,,49.0,,,,,,,23580524.0,22551964.0,24593990.0,22928398.0,29395830.0,24693602.0,
701,98.5121118829196,10.664525999999999,,,,,,,,,,,7622412.5,7480318.5,1239331.8,7780089.0,5968895.0,12296655.0,
585,101.07099101020016,10.168414,,,,,,,,,,,2069560.2,2094739.4,2054225.8,2024342.4,1814729.0,1777753.2,
499,101.07099618872248,8.378246,,,,,,,,,,,2505489.2,2469903.8,2514168.8,2490413.8,2307226.0,8099605.0,
679,102.03390748022957,10.476199000000001,,,,48.0,,,,,,,140281650.0,138539550.0,152603920.0,145151520.0,153865760.0,117689656.0,
680,102.53547358073835,10.477071,,,,48.0,,,,,,,12205041.0,11980027.0,13279691.0,12592613.0,13354965.0,10155177.0,
684,104.03025876855793,10.480453500000001,,,,48.0,,,,,,,3615046.0,3202513.0,3912967.8,3703096.5,3905741.8,3022367.2,
144,105.03355696174988,5.6739809999999995,,,,17.0,,,,,,,2467678.5,1846915.0,2954106.5,2597630.5,3065472.2,3517533.8,
630,109.0224970592461,10.3264475,,,,49.0,55.0,[M+NH4]+,,2.0,617;630,90.98881999999999,7381046.5,5669208.0,6374409.0,5644671.0,6717247.5,6716341.0,
664,109.52172680365244,10.372841000000001,,,,49.0,,,,,,,5096003.0,4941068.0,5148620.5,5259094.5,5180832.0,4799263.0,
627,110.02011243973676,10.32552,,,,49.0,,,,,,,90465080.0,89302420.0,97503940.0,91335480.0,124272190.0,105829944.0,
628,110.5217834142053,10.3256,,,,49.0,56.0,[M+Na]+,,2.0,628;631,87.53233,6168187.0,6615303.0,7487245.5,7821718.5,9395432.0,7996542.0,
648,111.0202229340167,10.361478,,,,49.0,59.0,[M+NH4]+,,2.0,648;639,92.98662,79394250.0,79155110.0,78323464.0,80734264.0,79718790.0,78843360.0,
695,111.03905083031036,10.5182495,,,,48.0,,,,,,,12155978.0,10615713.0,10015402.0,11574239.0,9850555.0,10299864.0,
662,111.51895399702651,10.370155,,,,49.0,,,,,,,2008572.1,1924844.1,1889881.4,2014142.6,1965228.0,1958243.6,
323,111.51899139373,7.6307445000000005,,,,,,,,,,,112764.1,171755.89,155150.47,132539.55,497428.94,115176.72,
651,111.52179722522749,10.363296499999999,,,,49.0,,,,,,,6787262.5,6691522.5,6660409.0,6880642.5,6756736.0,6707978.5,
331,111.52187194220407,7.648593400000001,,,,,,,,,,,708016.6,348962.22,859903.2,706798.44,842393.25,1734701.9,
649,112.01785667487131,10.361478,,,,49.0,,,,,,,31093494.0,30950596.0,30665812.0,31442178.0,31061120.0,30693832.0,
658,112.51959173954809,10.367555,,,,49.0,,,,,,,2206800.8,2166385.2,2187884.2,2212751.0,2259877.5,2213132.2,
654,113.01661124524703,10.365044000000001,,,,49.0,,,,,,,4348225.0,4360230.5,4321800.0,4455318.5,4365076.5,4356133.0,
330,113.01668707745527,7.612208,,,,,,,,,,,468588.56,471196.44,1124492.0,449537.28,347437.38,592264.06,
633,113.96361568444208,10.328922,,,,49.0,,,,,,,7057517.0,8225338.5,8200771.0,7176085.0,6747171.0,9633619.0,
5,113.963801531689,0.036802594,,,,0.0,,,,,,,2782697.0,2728314.8,3085942.5,2835497.2,2672475.8,2648536.8,
16,113.96380841899122,0.32454765,,,,9.0,,,,,,,2057201.1,1645683.8,1490221.8,2389126.8,2069820.5,2756805.0,
653,114.01651386680624,10.364188,,,,49.0,,,,,,,1105818.0,1043150.6,1076265.1,1113333.8,1105705.8,1068340.5,
670,115.96401202675537,10.379619,,,,49.0,,,,,,,2001137.5,2156360.2,2340899.2,2425267.5,2095945.0,2047892.1,
19,116.97198586527679,0.32726458,,,,9.0,,,,,,,983248.2,600445.75,867173.0,930963.44,803396.75,1002278.44,
