row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,POS_D5-211-C3-b_Run148.mzML Peak area,POS_D5-211-C3-c_Run151.mzML Peak area,POS_D5-211-C3-a_Run145.mzML Peak area,Yeast_HE_D5-Ctrl_b_pos_20190515_Run40.mzML Peak area,Yeast_HE_D5-Ctrl_a_pos_20190515_Run37.mzML Peak area,Yeast_HE_D5-Ctrl_c_pos_20190515_Run43.mzML Peak area,
553,80.94788961845306,10.184056,,,,,,,,,,,543809.44,549396.25,544707.2,849612.6,930464.2,815978.7,
371,80.94792510868986,7.787027,,,,42,,,,,,,338676.03,226137.44,361612.22,878339.6,608120.56,868997.2,
457,80.94792896886685,8.243838,,,,,,,,,,,1905554.8,681244.06,641820.56,761370.44,712925.7,410737.34,
396,80.94793097043782,7.8723636,,,,7,,,,,,,886063.44,937707.25,850290.8,766733.0,554205.44,662708.0,
281,80.94793761127609,7.3747582,,,,31,,,,,,,199728.73,158364.28,220054.17,605250.75,453578.38,696817.56,
652,81.52054546072898,10.49144,,,,12,,,,,,,2.864032E7,3.2772052E7,3.3225942E7,2.7274882E7,2.9259034E7,2.7966768E7,
24,84.95979812081168,0.43652096,,,,36,,,,,,,1.0306742E7,1.0213088E7,1.0940524E7,2980972.5,4228403.0,1.0379863E7,
42,89.05980710152248,2.7440488,,,,,,,,,,,291523.2,419799.34,350893.8,462431.1,1227202.5,361792.6,
593,89.50669335969526,10.32586,,,,30,,,,,,,1.6601691E7,1.4881762E7,1.7858314E7,1.144064E7,1.1433834E7,1.2806039E7,
617,90.50672548489017,10.366803,,,,30,,,,,,,4526890.0,4543099.5,4535206.0,4709399.5,4638022.0,4725757.5,
653,90.52592074784782,10.493382,,,,12,,,,,,,3.5638772E7,2.9837634E7,4.3823492E7,4.0922364E7,4.135648E7,3.760239E7,
372,90.97671435865375,7.771539,,,,42,,,,,,,611558.9,524348.4,421874.1,730679.2,602204.5,801242.75,
